,White ,Black,Asian,Other,Hispanic
5 years,0.4986,0.1352,0.0482,0.0632,0.2548
6 Years,0.5,0.136,0.047,0.062,0.255
7 Years,0.501,0.135,0.048,0.061,0.255
8 Years,0.51,0.134,0.047,0.058,0.251
9 Years,0.509,0.135,0.047,0.059,0.25
10 years,0.514,0.134,0.047,0.056,0.25
11 years,0.518,0.135,0.047,0.055,0.245
12 years,0.522,0.134,0.047,0.054,0.243
13 years,0.527,0.135,0.047,0.053,0.237
14 years,0.528,0.138,0.046,0.053,0.235
15 years,0.538,0.137,0.045,0.05,0.23
16 years,0.538,0.14,0.046,0.05,0.226
17 years,0.541,0.14,0.046,0.048,0.224
18 years,0.539,0.143,0.05,0.048,0.219
19 years,0.54,0.143,0.052,0.046,0.219
20 years,0.54,0.147,0.051,0.043,0.219
21 years,0.546,0.148,0.052,0.041,0.215
22 years,0.546,0.147,0.054,0.04,0.213
23 years,0.548,0.148,0.056,0.039,0.209
24 years,0.554,0.144,0.057,0.039,0.205
25 - 40 years,0.565,0.13,0.067,0.032,0.206
41-50 years,0.615,0.124,0.062,0.025,0.174
51-60 years,0.695,0.117,0.048,0.022,0.119
61-70 years,0.747,0.101,0.045,0.018,0.089
71-80 years,0.777,0.088,0.042,0.014,0.079
81-90 years,0.807,0.074,0.037,0.011,0.07
