ID,group,raw
201024,14,18
201027,20,23
202002,26,24
202003,26,25
202004,26,29
203010,13,17
203015,15,21
203016,16,27
203017,20,22
203018,24,17
203028,13,14
204005,14,15
204014,14,17
204017,18,18
205016,16,22
205020,16,20
205027,13,21
205031,18,29
205032,23,17
205037,22,19
205038,25,15
206004,14,16
206007,17,19
206008,14,17
206009,13,19
207014,16,27
207015,15,24
207016,15,17
207017,15,17
207018,15,17
207019,15,21
207020,15,24
207021,17,26
208015,20,26
209015,20,16
210010,18,20
210011,20,26
210012,24,29
210030,25,21
210031,21,17
210032,17,19
210034,23,19
210035,15,24
210036,13,17
210040,17,25
210041,21,26
210042,23,19
210047,21,17
210048,23,25
211006,20,25
211009,22,26
211017,20,26
211018,22,24
211020,20,29
211021,26,29
211024,16,21
211027,17,27
211029,19,28
211030,23,28
211032,23,29
211035,13,24
211036,17,29
211038,23,26
211039,17,26
211041,19,26
211042,19,25
211044,21,28
211049,23,26
211050,23,23
211052,17,22
211062,15,28
211063,17,26
211064,21,27
211065,25,27
211066,21,28
211067,15,23
211068,21,26
211069,21,24
211071,21,23
211075,13,21
212006,14,19
212007,16,17
212008,18,17
212009,18,16
212010,18,18
212011,20,19
212012,20,17
212013,20,17
212014,20,20
212015,22,20
212016,22,21
212017,23,20
212018,23,17
212019,23,19
212020,24,18
212021,24,18
212022,24,19
212023,24,16
212024,24,19
212025,26,22
212026,26,23
212027,26,17
212028,26,17
212029,26,17
213002,24,23
213017,15,16
213018,19,26
214012,14,16
214013,16,23
214017,20,18
214018,24,11
214024,14,24
214028,18,23
214029,14,27
214034,20,26
214035,20,22
214044,14,23
214060,15,26
214068,17,22
216005,24,17
217021,16,26
217022,18,20
218007,16,20
218009,22,21
218010,22,19
218011,24,22
218012,24,27
218013,24,22
218014,26,25
219007,14,16
219008,13,18
221001,24,28
221002,20,29
221003,22,26
221004,22,24
221006,26,25
221007,22,27
221008,22,24
221009,22,26
221011,24,28
221012,20,25
221013,20,27
221014,20,25
221015,26,26
221016,20,23
221017,22,28
221018,22,27
221019,26,26
222026,22,17
223010,13,19
223011,14,16
223015,14,22
223017,18,18
223018,18,16
223019,20,22
223020,18,24
223021,18,26
223024,20,20
223027,24,22
223028,15,25
223031,24,27
223032,26,17
223034,19,21
223036,13,17
223042,21,17
223047,19,26
223048,13,18
223052,25,17
223053,21,16
223054,17,18
223055,15,16
223058,13,15
223061,25,15
223062,19,15
223063,15,15
223064,23,18
223065,21,17
223066,13,16
223068,19,21
223069,13,16
223070,13,17
223075,17,16
225010,16,27
226020,18,17
226021,18,21
226022,18,16
226023,14,18
226024,14,15
226025,18,19
226048,14,19
226049,14,18
226050,20,27
226051,20,24
227007,14,18
227016,21,17
227017,26,23
227020,16,17
227021,15,15
227026,18,23
228004,26,27
228006,26,27
228007,14,18
228009,25,26
228010,25,25
231038,16,18
231039,16,29
231043,20,26
231045,22,29
231046,22,29
231047,24,28
231050,26,17
232001,14,24
232010,26,26
232011,26,24
232013,24,21
232014,16,19
232017,13,19
232018,26,17
232022,14,16
232024,14,24
232032,26,18
232050,26,28
232051,15,25
232053,13,19
232058,25,27
232059,21,17
232060,25,29
232063,19,26
232064,17,18
232066,21,20
232067,19,19
232069,15,17
232071,25,17
232072,21,27
232073,21,27
232074,17,21
234043,14,17
234044,14,17
234047,16,14
234051,14,17
235009,18,18
235022,20,18
236019,14,20
236022,16,23
236023,18,17
236026,20,26
236027,20,19
236029,16,25
236031,26,20
236043,20,22
239001,26,24
239005,24,22
239007,20,19
239011,24,25
239012,24,22
239013,24,26
239016,16,15
239017,26,22
239020,22,21
240005,16,28
240013,18,24
240015,14,22
240016,26,27
241015,16,19
243004,18,17
243007,14,17
243009,26,29
243011,22,28
243012,20,20
243013,20,21
243017,26,18
243019,23,29
243023,13,26
243025,23,25
243027,21,19
243028,23,23
243031,23,25
243033,17,16
244034,13,16
244035,13,17
244036,13,16
244037,14,17
244038,14,17
244040,15,15
244041,16,18
244042,15,18
244043,15,18
244045,15,15
244046,16,16
246002,14,27
246003,18,16
246004,20,15
246005,22,20
246006,14,25
246010,21,18
246011,15,19
246015,19,26
246017,25,22
246018,17,17
246019,15,18
246020,17,16
248013,16,16
248014,16,17
248016,26,27
248017,24,12
248023,18,24
248024,25,26
248025,13,17
248030,20,16
248031,24,23
248033,21,20
248034,17,19
248035,21,12
248037,23,21
248039,21,17
248040,14,27
248042,13,15
248047,18,23
248048,24,19
248049,14,19
248050,20,18
248051,24,20
248053,14,16
249015,20,29
249017,20,24
249023,18,18
251002,18,18
252019,22,20
253003,16,25
253010,16,20
253011,16,17
253013,14,21
253014,24,20
253018,18,18
253019,18,23
253020,16,26
253022,18,18
253024,16,19
253025,22,23
253027,14,21
253030,16,19
253035,18,28
253037,14,16
253038,16,23
253042,22,19
253043,16,18
253045,24,20
253046,14,24
253048,18,17
253049,22,21
254023,21,22
254024,15,21
254025,19,26
255005,22,21
255006,14,20
255007,20,23
255013,13,15
256003,19,24
256005,15,22
256007,13,24
256008,17,25
256013,25,25
256015,19,23
256017,17,24
256020,23,19
256021,15,23
256022,17,22
256023,19,24
256024,23,20
256025,17,25
256029,15,24
256031,25,22
256032,19,23
256038,23,24
256039,13,21
256041,15,26
256042,21,28
256043,25,29
256044,15,28
256048,17,21
256050,13,17
258007,26,18
258019,22,18
259016,20,20
259021,22,16
259022,24,26
259024,26,25
259032,15,16
259040,19,22
259041,17,19
259043,17,15
259048,13,19
261004,26,23
261011,18,22
261012,16,15
261014,18,19
261015,26,26
261018,22,19
261019,14,17
261020,22,23
261021,26,29
261022,14,19
261023,14,14
261026,16,22
261029,20,23
261030,13,19
261033,14,17
261035,22,17
261036,13,15
261039,13,17
261040,16,22
261041,22,25
261042,13,14
261043,26,16
261044,13,14
261045,13,16
261047,17,19
261048,15,22
261049,15,21
262011,16,22
262012,16,25
262013,14,21
262021,20,19
262022,16,17
262046,17,24
262070,15,18
263001,23,20
263002,25,17
263003,25,16
263004,23,13
263005,21,17
263006,23,16
263007,23,15
264002,26,29
264003,22,21
264007,18,18
264027,14,23
264037,16,19
264045,20,24
264048,15,23
265001,16,16
265002,14,18
265003,14,16
265004,18,17
265005,14,23
265006,14,19
265007,16,16
265008,16,16
265009,14,17
265010,14,16
265011,20,19
265013,16,21
265017,19,18
265018,13,18
265020,13,17
265021,23,19
266006,19,17
266008,23,16
266009,15,15
266010,21,18
266011,19,17
266012,19,19
266014,23,23
267001,21,24
267002,21,24
267003,13,19
267004,15,19
267005,19,27
267006,19,17
267007,19,21
267008,13,18
267009,15,24
267010,21,23
267011,19,17
267012,23,21
267014,21,21
267016,19,26
267017,25,23
267018,17,19
267019,21,19
267020,15,24
267021,19,26
267022,22,23
267023,20,23
267024,14,22
268007,15,25
268008,23,27
269002,13,27
269003,19,23
269004,23,24
269005,17,19
269007,25,27
269008,13,18
269009,17,21
271002,15,21
271003,15,17
271004,15,23
271005,15,17
271006,17,25
271007,19,21
271008,18,22
271009,19,17
271010,26,21
271011,17,23
271015,17,26
302019,13,15
302022,13,17
302023,13,21
302024,13,21
302025,15,22
302026,15,18
302028,19,26
302029,21,10
302031,21,28
302033,23,25
305002,23,26
305006,13,19
305007,21,20
305008,19,19
305009,13,20
305010,13,16
305016,23,24
305017,13,18
305021,23,22
305024,21,18
305028,15,22
305029,15,22
307005,13,18
307006,13,17
307007,15,25
307009,15,18
307010,15,17
307011,15,16
307012,17,19
307013,17,19
307014,17,17
307016,23,21
307017,15,22
309003,21,23
309005,13,21
309006,15,24
309007,17,19
309009,13,21
309010,13,19
309011,25,18
309012,23,29
309013,17,18
309018,23,29
309019,17,20
309022,23,29
309023,23,29
309028,23,29
309030,19,27
309031,15,19
309032,13,29
309037,23,29
309038,21,29
309040,21,24
309041,13,29
309042,13,19
309045,13,23
309046,17,29
309047,21,29
309048,19,25
309049,19,29
313005,25,23
313006,13,20
313009,17,24
313010,21,23
313012,21,26
313014,15,18
313015,17,24
313016,15,19
313026,20,23
314003,13,24
314005,17,15
314006,17,23
314013,14,17
314015,14,22
316006,17,24
316007,21,25
316010,19,23
316012,24,24
316013,16,26
316014,16,19
317001,21,24
317004,15,17
317010,15,16
317013,24,16
317014,16,14
318003,17,24
318004,15,20
318008,19,17
318016,16,24
319007,19,28
319008,23,29
321002,19,29
321003,19,23
321004,21,18
321006,19,27
321010,19,27
321011,15,23
321013,19,19
321014,23,27
325002,16,20
325013,14,19
325014,14,18
326001,14,15
326005,18,22
327002,17,26
327009,14,27
327030,16,25
327032,26,27
327036,14,21
327037,16,20
327040,24,29
327042,26,26
327043,20,26
327049,22,27
328010,14,15
329002,15,20
329003,15,22
329006,22,20
329008,20,19
329014,14,14
329017,16,14
329018,16,25
330001,16,15
330002,16,12
330007,20,16
330011,24,14
330013,20,14
330014,20,18
331011,14,17
331012,16,22
331013,18,18
331014,18,18
331015,20,18
331016,24,23
333009,24,17
336004,14,18
336005,16,22
336007,20,18
336008,20,20
336010,18,27
336011,22,21
336013,16,23
336016,14,17
336017,18,18
338001,18,19
338010,16,13
338015,26,26
339003,14,21
339004,20,19
342002,18,21
342003,22,26
342006,22,17
342012,14,21
342013,20,28
342019,16,10
342020,18,15
342023,20,23
342024,22,24
342027,20,22
342028,14,15
342030,26,15
342031,26,18
342033,26,18
342034,16,15
342037,26,17
342038,24,29
342045,16,27
342047,20,25
346003,18,14
346004,14,22
346011,26,24
346012,24,26
349002,25,18
353007,16,18
353008,16,13
353009,20,19
353012,20,18
353013,20,16
353017,22,15
353018,24,15
354015,17,27
354016,17,27
354017,17,23
354018,17,22
354019,19,27
354020,21,23
354021,21,27
354022,21,21
354023,21,24
354024,21,27
354025,23,24
354026,23,28
354027,25,22
354028,25,19
354029,25,24
354030,25,22
354031,25,29
354032,25,21
354033,25,20
354034,25,21
354035,25,25
360005,13,20
360023,14,18
361013,14,23
361019,18,19
361020,16,17
361021,22,22
361023,22,24
361025,20,24
361026,20,27
361028,24,16
362001,20,17
362005,14,19
362007,18,18
501001,14,17
501004,14,18
501006,18,21
501007,14,18
501008,18,17
501009,26,25
501013,16,24
501014,14,20
501018,18,20
501020,18,27
501021,18,28
501022,18,17
501023,18,16
501024,18,17
501028,20,19
501029,20,15
