ID,group,raw
201021,8,17
201024,14,21
201027,20,30
202002,26,30
202003,26,26
202004,26,32
203006,10,15
203007,10,21
203008,12,15
203009,12,22
203010,13,22
203012,12,25
203013,12,26
203015,15,28
203016,16,29
203017,20,29
203018,24,27
203028,13,16
204005,14,24
204013,12,21
204014,14,22
204017,18,24
205012,10,22
205016,16,28
205017,8,25
205020,16,27
205023,8,18
205027,13,22
205031,18,33
205032,23,33
205037,22,26
205038,25,31
206004,14,23
206007,17,21
206008,14,20
206009,13,24
206010,7,18
207009,8,12
207010,8,7
207011,10,12
207012,12,18
207013,12,11
207014,16,23
207015,15,25
207016,15,19
207017,15,14
207018,15,20
207019,15,26
207020,15,24
207021,17,25
208013,6,12
208015,20,19
208019,8,7
208023,10,13
208024,12,20
209015,20,18
210009,6,18
210010,18,30
210011,20,26
210012,24,25
210019,11,20
210025,9,18
210030,25,26
210031,21,19
210032,17,20
210034,23,20
210035,15,21
210036,13,22
210037,5,6
210040,17,22
210041,21,26
210042,23,20
210043,5,8
210046,9,12
210047,21,16
210048,23,22
211002,10,29
211006,20,26
211007,8,19
211009,22,29
211010,12,20
211014,12,21
211016,8,18
211017,20,24
211018,22,23
211020,20,25
211021,26,31
211024,16,22
211027,17,29
211028,9,24
211029,19,27
211030,23,30
211032,23,32
211033,11,22
211034,9,14
211035,13,18
211036,17,18
211038,23,21
211039,17,20
211041,19,25
211042,19,25
211044,21,32
211049,23,24
211050,23,23
211051,9,14
211052,17,21
211062,15,17
211063,17,23
211064,21,25
211065,25,23
211066,21,24
211067,15,14
211068,21,17
211069,21,29
211071,21,26
211074,11,16
211075,13,19
212003,10,21
212004,8,13
212005,12,19
212006,14,20
212007,16,19
212008,18,25
212009,18,22
212010,18,23
212011,20,30
212012,20,27
212013,20,25
212014,20,26
212015,22,33
212016,22,28
212017,23,36
212018,23,27
212019,23,23
212020,24,30
212021,24,24
212022,24,14
212023,24,22
212024,24,28
212025,26,29
212026,26,36
212027,26,33
212028,26,23
212029,26,33
213002,24,32
213005,7,18
213008,7,16
213017,15,27
213018,19,30
214009,10,15
214012,14,22
214013,16,21
214014,12,20
214015,10,20
214017,20,29
214018,24,21
214021,8,17
214024,14,23
214028,18,30
214029,14,18
214031,8,19
214032,8,16
214034,20,26
214035,20,22
214040,10,23
214044,14,20
214052,11,24
214056,7,17
214058,9,19
214060,15,23
214068,17,32
214069,9,23
214072,11,26
214074,11,18
216005,24,33
217015,8,16
217016,8,16
217017,8,14
217019,12,21
217020,12,17
217021,16,28
217022,18,25
218003,8,18
218004,10,18
218005,10,18
218006,12,24
218007,16,19
218009,22,31
218010,22,19
218011,24,30
218012,24,30
218013,24,26
218014,26,33
219006,7,9
219007,14,23
219008,13,25
220016,8,20
220017,8,12
220018,8,7
220019,8,8
220020,8,6
220021,8,10
221001,24,21
221002,20,19
221003,22,23
221004,22,20
221005,22,23
221006,26,31
221007,22,20
221008,22,14
221009,22,18
221011,24,20
221012,20,28
221013,20,20
221014,20,25
221015,26,26
221016,20,19
221017,22,20
221018,22,21
221019,26,27
222023,6,20
222026,22,24
222028,10,23
223002,9,9
223005,10,15
223006,8,15
223007,10,19
223008,10,16
223009,12,18
223010,13,24
223011,14,18
223012,10,10
223013,12,23
223015,14,21
223016,12,9
223017,18,21
223018,18,20
223019,20,22
223020,18,17
223021,18,25
223022,6,10
223024,20,17
223027,24,22
223028,15,19
223029,7,17
223031,24,26
223032,26,18
223033,9,18
223034,19,22
223036,13,11
223037,7,8
223042,21,25
223047,19,23
223048,13,19
223049,11,17
223051,7,14
223052,25,24
223053,21,26
223054,17,24
223055,15,19
223056,11,18
223058,13,14
223061,25,22
223062,19,21
223063,15,28
223064,23,24
223065,21,19
223066,13,18
223067,9,9
223068,19,15
223069,13,10
223070,13,16
223071,7,9
223072,7,11
223073,11,10
223074,7,9
223075,17,20
225005,8,18
225006,10,28
225009,10,21
225010,16,31
226012,8,18
226013,8,16
226014,8,20
226015,8,13
226017,8,11
226020,18,23
226021,18,26
226022,18,27
226023,14,15
226024,14,16
226025,18,26
226026,10,18
226027,10,15
226028,10,17
226029,10,18
226030,10,19
226031,10,18
226032,8,20
226033,12,23
226034,12,25
226036,12,23
226037,10,15
226038,12,18
226039,10,23
226040,10,25
226041,8,26
226042,10,22
226043,8,17
226044,10,26
226045,6,12
226046,10,18
226047,8,19
226048,14,27
226049,14,25
226050,20,31
226051,20,33
227004,9,18
227005,11,21
227006,8,17
227007,14,19
227008,11,35
227010,12,32
227011,12,24
227016,21,25
227017,26,34
227020,16,24
227021,15,24
227026,18,31
228004,26,31
228006,26,32
228007,14,18
228009,25,29
228010,25,30
231038,16,18
231039,16,17
231043,20,15
231045,22,24
231046,22,23
231047,24,29
231050,26,17
232001,14,17
232002,12,15
232008,12,25
232009,12,21
232010,26,33
232011,26,29
232013,24,32
232014,16,19
232017,13,27
232018,26,26
232022,14,22
232023,8,19
232024,14,24
232027,8,16
232028,9,17
232029,10,19
232032,26,30
232050,26,35
232051,15,26
232052,11,24
232053,13,19
232058,25,33
232059,21,22
232060,25,33
232063,19,27
232064,17,21
232066,21,21
232067,19,21
232069,15,17
232071,25,26
232072,21,31
232073,21,29
232074,17,30
232075,9,13
234017,8,13
234018,8,11
234019,8,16
234020,8,16
234021,8,16
234037,10,19
234038,10,16
234039,10,16
234040,10,16
234041,12,17
234042,12,21
234043,14,17
234044,14,28
234047,16,19
234048,8,13
234049,8,18
234050,12,19
234051,14,27
235009,18,30
235010,12,8
235022,20,27
236001,4,11
236003,4,12
236005,4,14
236006,6,10
236007,6,23
236008,8,16
236010,8,19
236011,10,23
236012,10,19
236013,10,27
236016,12,30
236019,14,27
236022,16,24
236023,18,31
236026,20,27
236027,20,29
236029,16,28
236031,26,35
236041,10,21
236043,20,33
236044,6,13
236045,4,17
236047,4,12
236048,4,11
239001,26,27
239005,24,31
239007,20,32
239011,24,28
239012,24,31
239013,24,33
239016,16,28
239017,26,32
239019,10,18
239020,22,26
239021,4,6
239022,6,5
240004,12,22
240005,16,24
240006,8,19
240007,8,13
240008,4,9
240009,6,13
240011,6,14
240013,18,25
240014,10,19
240015,14,25
240016,26,25
240025,3,12
240026,6,18
240027,6,14
240028,5,12
240029,6,16
240030,5,16
240031,6,19
240032,6,12
240034,6,14
240035,6,18
241003,8,15
241008,8,16
241009,10,16
241012,10,16
241014,10,15
241015,16,30
241016,8,20
241017,10,19
241020,10,24
241022,10,18
241024,8,24
241028,6,16
243004,18,27
243005,10,14
243007,14,18
243008,12,25
243009,26,37
243010,12,15
243011,22,36
243012,20,17
243013,20,26
243014,12,18
243017,26,21
243019,23,31
243023,13,29
243024,11,9
243025,23,21
243027,21,34
243028,23,34
243029,5,7
243030,5,12
243031,23,30
243032,7,14
243033,17,25
244005,3,3
244006,3,2
244016,7,7
244018,9,5
244024,12,5
244028,12,7
244034,13,7
244035,13,6
244036,13,7
244037,14,2
244038,14,5
244040,15,7
244041,16,6
244042,15,3
244043,15,4
244045,15,1
244046,16,3
246001,12,18
246002,14,25
246003,18,21
246004,20,13
246005,22,31
246006,14,23
246007,10,23
246008,6,14
246009,8,23
246010,21,26
246011,15,21
246012,3,9
246013,9,12
246015,19,28
246017,25,15
246018,17,26
246019,15,25
246020,17,29
246021,7,14
248001,4,9
248004,4,6
248005,6,9
248006,10,16
248007,6,19
248008,6,11
248012,12,18
248013,16,18
248014,16,18
248016,26,37
248017,24,17
248023,18,26
248024,25,29
248025,13,13
248030,20,21
248031,24,28
248033,21,29
248034,17,26
248035,21,22
248036,7,3
248037,23,26
248039,21,23
248040,14,20
248041,11,16
248042,13,10
248043,7,10
248045,10,10
248046,10,17
248047,18,27
248048,24,21
248049,14,24
248050,20,20
248051,24,28
248053,14,26
249006,11,16
249014,10,16
249015,20,29
249017,20,14
249018,12,10
249019,6,4
249021,6,6
249023,18,14
249024,8,6
251002,18,28
251006,7,17
252001,8,12
252002,12,19
252010,10,9
252019,22,22
253001,8,13
253002,4,8
253003,16,27
253004,12,19
253005,10,22
253006,6,14
253008,6,17
253009,6,15
253010,16,22
253011,16,25
253012,12,19
253013,14,26
253014,24,23
253015,12,17
253016,8,17
253017,4,17
253018,18,23
253019,18,32
253020,16,28
253021,8,19
253022,18,21
253023,6,13
253024,16,25
253025,22,32
253026,8,21
253027,14,27
253028,12,19
253029,10,17
253030,16,24
253031,8,17
253033,6,10
253034,10,19
253035,18,26
253036,6,11
253037,14,24
253038,16,29
253039,4,12
253040,8,17
253041,6,14
253042,22,26
253043,16,27
253044,10,16
253045,24,32
253046,14,24
253047,8,13
253048,18,30
253049,22,30
253050,4,11
254001,4,15
254002,4,12
254003,4,14
254004,4,8
254005,4,15
254008,6,16
254009,6,14
254011,8,18
254013,8,19
254017,10,24
254019,11,22
254020,12,17
254021,12,20
254023,21,30
254024,15,23
254025,19,26
255001,11,17
255003,6,16
255004,12,21
255005,22,28
255006,14,29
255007,20,34
255010,11,21
255012,7,16
255013,13,19
255014,7,11
256002,8,20
256003,19,25
256005,15,22
256006,5,14
256007,13,20
256008,17,24
256009,5,20
256011,9,16
256013,25,30
256015,19,27
256017,17,31
256020,23,29
256021,15,29
256022,17,24
256023,19,29
256024,23,32
256025,17,33
256026,7,20
256027,9,21
256028,11,24
256029,15,30
256031,25,33
256032,19,28
256033,11,24
256035,11,21
256037,7,14
256038,23,24
256039,13,22
256040,9,17
256041,15,27
256042,21,36
256043,25,31
256044,15,30
256045,5,16
256048,17,22
256050,13,17
257023,7,15
257024,7,15
257025,7,9
257032,7,16
258007,26,33
258019,22,23
258032,5,8
258033,11,14
259010,4,15
259015,8,21
259016,20,22
259017,12,19
259018,8,9
259019,8,10
259020,8,18
259021,22,21
259022,24,28
259024,26,31
259025,8,16
259030,8,17
259032,15,22
259033,3,10
259036,3,16
259037,3,12
259038,11,12
259039,11,21
259040,19,25
259041,17,23
259042,11,14
259043,17,11
259044,9,8
259046,9,20
259047,5,9
259048,13,20
259049,3,16
259050,3,12
260001,12,24
260002,6,14
260003,8,17
260005,6,6
260007,3,10
260009,8,12
260016,6,11
260017,6,17
261001,8,20
261002,8,20
261003,3,7
261004,26,29
261006,6,21
261007,8,17
261008,6,18
261009,6,16
261010,6,13
261011,18,30
261012,16,19
261013,12,22
261014,18,28
261015,26,33
261017,6,14
261018,22,26
261019,14,24
261020,22,31
261021,26,33
261022,14,18
261023,14,22
261024,11,25
261025,11,18
261026,16,29
261027,3,10
261028,9,19
261029,20,21
261030,13,23
261033,14,26
261035,22,23
261036,13,21
261037,8,16
261039,13,23
261040,16,30
261041,22,28
261042,13,20
261043,26,29
261044,13,16
261045,13,21
261046,3,9
261047,17,27
261048,15,22
261049,15,26
262004,4,7
262008,4,8
262010,12,22
262011,16,22
262012,16,29
262013,14,23
262014,6,8
262015,12,21
262016,8,8
262021,20,27
262022,16,24
262024,8,9
262025,12,19
262035,7,19
262036,11,31
262042,7,14
262046,17,14
262048,7,12
262052,9,10
262059,9,21
262064,11,19
262070,15,26
262072,7,16
262073,7,20
262074,9,18
263001,23,18
263002,25,21
263003,25,19
263004,23,17
263005,21,11
263006,23,11
263007,23,12
264002,26,35
264003,22,26
