ID,group,raw
201016,6,31
201017,8,38
201020,10,31
201021,8,44
201022,12,46
201023,14,46
201024,14,38
201027,20,42
201028,24,42
201032,26,45
202001,26,46
202002,26,45
202003,26,45
202004,26,47
203006,10,31
203007,10,33
203008,12,20
203009,12,44
203010,13,38
203011,12,24
203012,12,42
203013,12,41
203015,15,43
203016,16,44
203017,20,47
203018,24,44
203028,13,32
204004,8,44
204005,14,46
204007,14,44
204010,20,47
204011,14,45
204012,12,45
204013,12,45
204014,14,44
204017,18,45
205010,16,41
205012,10,36
205016,16,45
205017,8,41
205019,10,40
205021,14,43
205030,23,46
205031,18,47
205032,23,46
205035,20,45
205037,22,45
205039,16,43
205040,14,41
206004,14,45
206007,17,41
206008,14,42
206009,13,45
206010,7,38
207009,8,19
207010,8,18
207011,10,16
207012,12,26
207013,12,6
207014,16,29
207015,15,31
207016,15,25
207017,15,14
207018,15,27
207019,15,29
207020,15,19
207021,17,21
208013,6,24
208015,20,42
208017,18,24
208019,8,18
208023,10,21
208024,12,37
208026,24,45
209007,24,46
209015,20,19
210007,12,38
210008,6,41
210009,6,43
210010,18,46
210011,20,43
210012,24,45
210019,11,32
210025,9,38
210030,25,45
210031,21,47
210032,17,43
210034,23,43
210035,15,42
210036,13,38
210037,5,17
210040,17,43
210041,21,46
210042,23,41
210043,5,17
210046,9,40
210047,21,44
210048,23,44
211002,10,42
211006,20,43
211007,8,41
211009,22,44
211010,12,32
211014,12,26
211016,8,45
211017,20,42
211018,22,44
211020,20,42
211021,26,42
211024,16,40
211027,17,44
211028,9,40
211029,19,45
211030,23,46
211032,23,42
211033,11,44
211034,9,28
211036,17,45
211038,23,30
211039,17,43
211041,19,44
211042,19,44
211049,23,45
211050,23,40
211051,9,34
211052,17,40
211062,15,33
211063,17,41
211064,21,46
211065,25,44
211066,21,41
211067,15,22
211068,21,45
211069,21,45
211071,21,45
211075,13,37
212003,10,43
212004,8,19
212006,14,42
212007,16,26
212008,18,22
212009,18,27
212010,18,28
212011,20,44
212012,20,41
212013,20,38
212014,20,45
212015,22,46
212016,22,43
212017,23,44
212018,23,42
212019,23,42
212020,24,42
212021,24,35
212022,24,20
212023,24,39
212024,24,45
212025,26,45
212026,26,47
212027,26,47
212028,26,42
212029,26,41
213002,24,42
213005,7,42
213008,7,36
213017,15,44
213018,19,46
214012,14,42
214013,16,35
214015,10,42
214017,20,42
214018,24,29
