ID,group,raw
201024,14,80
201027,20,85
202002,26,95
202003,26,100
202004,26,100
203010,13,86
203015,15,90
203016,16,96
203017,20,90
203018,24,91
203028,13,73
204005,14,91
204014,14,96
204017,18,95
205016,16,90
205020,16,83
205027,13,34
205031,18,98
205032,23,90
205037,22,93
205038,25,93
206004,14,89
206007,17,89
206008,14,89
206009,13,92
207014,16,75
207015,15,75
207016,15,38
207017,15,50
207018,15,73
207019,15,73
207020,15,76
207021,17,60
208015,20,71
209015,20,80
210010,18,88
210011,20,96
210012,24,99
210030,25,82
210031,21,86
210032,17,92
210034,23,87
210035,15,93
210036,13,88
210040,17,85
210041,21,80
210042,23,89
210047,21,91
210048,23,87
211006,20,96
211009,22,84
211017,20,79
211018,22,92
211020,20,92
211021,26,92
211024,16,80
211027,17,94
211029,19,89
211030,23,96
211032,23,100
211035,13,62
211036,17,90
211038,23,94
211039,17,83
211041,19,92
211042,19,92
211044,21,86
211049,23,76
211050,23,88
211052,17,79
211062,15,83
211063,17,81
211064,21,93
211065,25,92
211066,21,93
211067,15,75
211068,21,88
211069,21,94
211071,21,95
211075,13,77
212006,14,91
212007,16,77
212008,18,74
212009,18,71
212010,18,82
212011,20,89
212012,20,76
212013,20,77
212014,20,84
212015,22,99
212016,22,95
212017,23,99
212018,23,87
212019,23,81
212020,24,94
212021,24,69
212022,24,21
212023,24,80
212024,24,92
212025,26,84
212026,26,100
212027,26,99
212028,26,90
212029,26,78
213002,24,63
213017,15,76
213018,19,88
214012,14,74
214013,16,75
214017,20,92
214018,24,83
214024,14,82
214028,18,90
214029,14,83
214034,20,94
214035,20,77
214044,14,91
214060,15,95
214068,17,91
216005,24,97
217021,16,66
217022,18,57
218007,16,73
218009,22,95
218010,22,88
218011,24,87
218012,24,96
218013,24,86
218014,26,79
219007,14,78
219008,13,92
221001,24,99
221002,20,80
221003,22,58
221004,22,68
221006,26,70
221007,22,74
221008,22,64
221009,22,72
221011,24,72
221012,20,72
221013,20,72
221014,20,63
221015,26,70
221016,20,64
221017,22,62
221018,22,71
221019,26,72
222026,22,89
223010,13,78
223011,14,82
223015,14,83
223017,18,79
223018,18,76
223019,20,82
223020,18,69
223021,18,84
223024,20,89
223027,24,94
223028,15,89
223031,24,89
223032,26,91
223034,19,80
223036,13,67
223042,21,87
223047,19,76
223048,13,69
223052,25,97
223053,21,93
223054,17,71
223055,15,91
223058,13,58
223061,25,85
223062,19,91
223063,15,92
223064,23,94
223065,21,89
