ID,group,raw
201021,8,35
201024,14,31
201027,20,38
202002,26,47
202003,26,44
202004,26,46
203006,10,24
203007,10,26
203008,12,6
203009,12,40
203010,13,37
203012,12,37
203013,12,36
203015,15,37
203016,16,44
203017,20,43
203018,24,45
203028,13,23
204005,14,46
204013,12,43
204014,14,51
204017,18,41
205012,10,34
205016,16,43
205017,8,42
205020,16,34
205023,8,12
205027,13,17
205031,18,47
205032,23,45
205037,22,38
205038,25,40
206004,14,46
206007,17,32
206008,14,39
206009,13,36
206010,7,26
207009,8,10
207010,8,16
207011,10,20
207012,12,28
207013,12,10
207014,16,25
207015,15,21
207016,15,19
207017,15,9
207018,15,23
207019,15,22
207020,15,17
207021,17,18
208013,6,16
208015,20,37
208019,8,13
208023,10,14
208024,12,29
209015,20,11
210009,6,35
210010,18,40
210011,20,45
210012,24,44
210019,11,29
210025,9,28
210030,25,40
210031,21,41
210032,17,42
210034,23,40
210035,15,42
210036,13,34
210037,5,10
210040,17,42
210041,21,45
210042,23,40
210043,5,14
210046,9,37
210047,21,38
210048,23,39
211002,10,41
211006,20,46
211007,8,32
211009,22,44
211010,12,19
211014,12,19
211016,8,35
211017,20,32
211018,22,41
211020,20,43
211021,26,40
211024,16,40
211027,17,43
211028,9,36
211029,19,41
211030,23,45
211032,23,44
211033,11,49
211034,9,21
211035,13,24
211036,17,40
211038,23,28
211039,17,40
211041,19,44
211042,19,41
211044,21,30
211049,23,41
211050,23,38
211051,9,22
211052,17,28
211062,15,28
211063,17,36
211064,21,45
211065,25,41
211066,21,35
211067,15,20
211068,21,35
211069,21,52
211071,21,44
211074,11,29
211075,13,29
212003,10,38
212004,8,11
212005,12,21
212006,14,41
212007,16,20
212008,18,17
212009,18,21
212010,18,26
212011,20,38
212012,20,26
212013,20,35
212014,20,41
212015,22,32
212016,22,39
212017,23,45
212018,23,36
212019,23,36
212020,24,41
212021,24,23
212022,24,13
212023,24,28
212024,24,37
212025,26,40
212026,26,39
212027,26,54
212028,26,24
212029,26,27
213002,24,34
213005,7,31
213008,7,28
213017,15,41
213018,19,45
214009,10,26
214012,14,30
214013,16,30
214014,12,18
214015,10,38
214017,20,42
214018,24,16
214021,8,34
214024,14,38
214028,18,41
214029,14,35
214031,8,33
214032,8,35
214034,20,41
214035,20,36
214040,10,25
214044,14,41
214052,11,36
214056,7,24
214058,9,35
214060,15,43
214068,17,37
214069,9,30
214072,11,39
214074,11,28
216005,24,37
217015,8,26
217016,8,28
217017,8,34
217019,12,31
217020,12,19
217021,16,36
217022,18,38
218003,8,25
218004,10,33
218005,10,36
218006,12,42
218007,16,42
218009,22,49
218010,22,37
218011,24,45
218012,24,48
218013,24,37
218014,26,37
219006,7,25
219007,14,24
219008,13,39
220016,8,32
220017,8,12
220018,8,10
220019,8,15
220020,8,8
220021,8,17
221001,24,38
221002,20,34
221003,22,43
221004,22,36
221005,22,38
221006,26,35
221007,22,40
221008,22,37
221009,22,19
221011,24,42
221012,20,34
221013,20,36
221014,20,39
221015,26,41
221016,20,32
221017,22,41
221018,22,37
221019,26,40
222023,6,32
222026,22,37
222028,10,29
223002,9,24
223005,10,40
223006,8,29
223007,10,36
223008,10,9
223009,12,24
223010,13,18
223011,14,35
223012,10,24
223013,12,37
223015,14,34
223016,12,26
223017,18,17
223018,18,29
223019,20,37
223020,18,19
223021,18,31
223022,6,2
223024,20,38
223027,24,43
223028,15,41
223029,7,31
223031,24,27
223032,26,47
223033,9,36
223034,19,41
223036,13,24
223037,7,35
223042,21,44
223047,19,34
223048,13,32
223049,11,14
223051,7,31
223052,25,45
223053,21,42
223054,17,33
223055,15,38
223056,11,22
223058,13,29
223061,25,39
223062,19,35
223063,15,38
223064,23,41
223065,21,46
223066,13,38
223067,9,26
223068,19,21
223069,13,27
223070,13,9
223071,7,5
223072,7,1
223073,11,24
223074,7,23
223075,17,32
225005,8,24
225006,10,32
225009,10,17
225010,16,35
226012,8,18
226013,8,23
226014,8,17
226015,8,8
226017,8,20
226020,18,24
226021,18,38
226022,18,31
226023,14,31
226024,14,14
226025,18,25
226026,10,26
226027,10,30
226028,10,13
226029,10,41
226030,10,20
226031,10,28
226032,8,28
226033,12,31
226034,12,27
226036,12,29
226037,10,30
226038,12,36
226039,10,6
226040,10,36
226041,8,33
226042,10,32
226043,8,38
226044,10,36
226045,6,18
226046,10,24
226047,8,21
226048,14,34
226049,14,38
226050,20,45
226051,20,42
227004,9,8
227005,11,35
227006,8,41
227007,14,34
227008,11,40
227010,12,41
227011,12,42
227016,21,39
227017,26,40
227020,16,24
227021,15,43
227026,18,36
228004,26,51
228006,26,45
228007,14,26
228009,25,36
228010,25,42
231038,16,16
231039,16,26
231043,20,16
231045,22,15
231046,22,3
231047,24,18
231050,26,15
232001,14,26
232002,12,28
232008,12,37
232009,12,15
232010,26,47
232011,26,41
232013,24,38
232014,16,34
232017,13,41
232018,26,29
232022,14,29
232023,8,14
232024,14,31
232027,8,17
232028,9,38
232029,10,33
232032,26,39
232050,26,42
232051,15,43
