ID,group,raw
201024,14,21
201027,20,20
202002,26,25
202003,26,19
202004,26,28
203010,13,17
203015,15,19
203016,16,18
203017,20,22
203018,24,23
203028,13,19
204005,14,21
204014,14,16
204017,18,18
205016,16,24
205020,16,19
205027,13,23
205031,18,28
205032,23,18
205037,22,15
205038,25,12
206004,14,19
206007,17,24
206008,14,18
206009,13,24
207014,16,24
207015,15,23
207016,15,15
207017,15,15
207018,15,16
207019,15,20
207020,15,23
207021,17,20
208015,20,23
209015,20,19
210010,18,22
210011,20,21
210012,24,23
210030,25,19
210031,21,19
210032,17,19
210034,23,20
210035,15,22
210036,13,18
210040,17,24
210041,21,20
210042,23,18
210047,21,17
210048,23,25
211006,20,27
211009,22,26
211017,20,28
211018,22,28
211020,20,29
211021,26,29
211024,16,25
211027,17,26
211029,19,27
211030,23,26
211032,23,27
211035,13,19
211036,17,22
211038,23,26
211039,17,27
211041,19,22
211042,19,26
211044,21,24
211049,23,26
211050,23,25
211052,17,25
211062,15,25
211063,17,28
211064,21,27
211065,25,22
211066,21,22
211067,15,24
211068,21,21
211069,21,22
211071,21,18
211075,13,19
212006,14,21
212007,16,17
212008,18,19
212009,18,17
212010,18,20
212011,20,22
212012,20,19
212013,20,19
212014,20,21
212015,22,22
212016,22,19
212017,23,23
212018,23,19
212019,23,20
212020,24,17
212021,24,19
212022,24,20
212023,24,15
212024,24,22
212025,26,24
212026,26,20
212027,26,13
212028,26,20
212029,26,19
213002,24,28
213017,15,23
213018,19,24
214012,14,18
214013,16,19
214017,20,18
214018,24,11
214024,14,18
214028,18,21
214029,14,24
214034,20,20
214035,20,20
214044,14,22
214060,15,20
214068,17,21
216005,24,13
217021,16,25
217022,18,25
218007,16,19
218009,22,18
218010,22,19
218011,24,27
218012,24,26
218013,24,19
218014,26,24
219007,14,21
219008,13,19
221001,24,28
221002,20,28
221003,22,27
221004,22,24
221006,26,26
221007,22,24
221008,22,21
221009,22,23
221011,24,24
221012,20,23
221013,20,22
221014,20,22
221015,26,28
221016,20,19
221017,22,23
221018,22,23
221019,26,19
222026,22,20
223010,13,21
223011,14,18
223015,14,18
223017,18,21
223018,18,12
223019,20,20
223020,18,23
223021,18,24
223024,20,20
223027,24,17
223028,15,20
223031,24,18
223032,26,16
223034,19,21
223036,13,20
223042,21,17
223047,19,17
223048,13,16
223052,25,21
223053,21,18
223054,17,18
223055,15,21
223058,13,18
223061,25,15
223062,19,14
223063,15,15
223064,23,18
223065,21,18
223066,13,17
223068,19,19
223069,13,19
223070,13,19
223075,17,18
225010,16,26
226020,18,20
226021,18,19
226022,18,17
226023,14,18
226024,14,16
226025,18,23
226048,14,24
226049,14,21
226050,20,28
226051,20,25
227007,14,21
227016,21,20
227017,26,24
227020,16,23
227021,15,19
227026,18,21
228004,26,26
228006,26,28
228007,14,18
228009,25,26
228010,25,17
231038,16,19
231039,16,21
231043,20,19
231045,22,23
231046,22,25
231047,24,25
231050,26,28
232001,14,19
232010,26,23
232011,26,22
232013,24,18
232014,16,18
232017,13,20
232018,26,20
232022,14,22
232024,14,20
232032,26,24
232050,26,21
232051,15,21
232053,13,23
232058,25,25
232059,21,22
232060,25,22
232063,19,24
232064,17,19
232066,21,19
232067,19,20
232069,15,18
232071,25,19
232072,21,25
232073,21,21
232074,17,20
234043,14,18
234044,14,19
234047,16,18
234051,14,20
235009,18,13
235022,20,17
236019,14,19
236022,16,21
236023,18,24
236026,20,24
236027,20,16
236029,16,27
236031,26,25
236043,20,22
239001,26,23
239005,24,17
239007,20,17
239011,24,19
239012,24,19
239013,24,20
239016,16,18
239017,26,26
239020,22,18
240005,16,22
240013,18,18
240015,14,17
240016,26,28
241015,16,21
243004,18,21
243007,14,18
243009,26,27
243011,22,29
243012,20,26
243013,20,21
243017,26,17
243019,23,24
243023,13,20
243025,23,24
243027,21,18
243028,23,23
243031,23,28
243033,17,19
244034,13,21
244035,13,17
244036,13,17
244037,14,21
244038,14,20
244040,15,19
244041,16,20
244042,15,20
244043,15,19
244045,15,18
244046,16,19
246002,14,21
246003,18,15
246004,20,12
246005,22,18
246006,14,19
246010,21,17
246011,15,20
246015,19,21
246017,25,15
246018,17,15
246019,15,19
246020,17,16
248013,16,19
248014,16,19
248016,26,18
248017,24,18
248023,18,29
248024,25,28
248025,13,19
248030,20,18
248031,24,23
248033,21,21
248034,17,20
248035,21,14
248037,23,19
248039,21,15
248040,14,27
248042,13,20
248047,18,24
248048,24,21
248049,14,21
248050,20,20
248051,24,21
248053,14,22
249015,20,22
249017,20,21
249023,18,17
251002,18,26
252019,22,26
253003,16,25
253010,16,20
253011,16,19
253013,14,22
253014,24,22
253018,18,22
253019,18,23
253020,16,26
253022,18,20
253024,16,24
253025,22,27
253027,14,24
253030,16,15
253035,18,19
253037,14,21
253038,16,24
253042,22,17
253043,16,18
253045,24,25
253046,14,24
253048,18,27
253049,22,20
254023,21,26
254024,15,25
254025,19,20
255005,22,20
255006,14,21
255007,20,20
255013,13,15
256003,19,26
256005,15,19
256007,13,20
256008,17,27
256013,25,24
256015,19,23
256017,17,26
256020,23,20
256021,15,25
256022,17,20
256023,19,26
256024,23,26
256025,17,24
256029,15,26
256031,25,19
256032,19,23
256038,23,20
256039,13,22
256041,15,23
256042,21,27
256043,25,29
256044,15,29
256048,17,23
256050,13,20
258007,26,20
258019,22,21
259016,20,20
259021,22,18
259022,24,25
259024,26,16
259032,15,20
259040,19,16
259041,17,16
259043,17,20
259048,13,20
261004,26,19
261011,18,20
261012,16,20
261014,18,18
261015,26,26
261018,22,16
261019,14,21
261020,22,22
261021,26,26
261022,14,18
261023,14,17
261026,16,25
261029,20,26
261030,13,19
261033,14,22
261035,22,17
261036,13,23
261039,13,17
261040,16,23
261041,22,22
261042,13,22
261043,26,19
261044,13,18
261045,13,18
261047,17,27
261048,15,27
261049,15,23
262011,16,23
262012,16,18
262013,14,18
262021,20,22
262022,16,16
262046,17,20
262070,15,20
263001,23,15
263002,25,18
263003,25,18
263004,23,16
263005,21,17
263006,23,21
263007,23,23
264002,26,27
264003,22,27
264007,18,21
264027,14,19
264037,16,27
264045,20,27
264048,15,19
265001,16,15
265002,14,22
265003,14,15
265004,18,19
265005,14,19
265006,14,18
265007,16,19
265008,16,14
265009,14,17
265010,14,15
265011,20,19
265013,16,23
265017,19,15
265018,13,18
265020,13,16
265021,23,16
266006,19,21
266008,23,13
