ID,group,raw
201021,8,7
201024,14,5
201027,20,6
202002,26,7
202003,26,8
202004,26,8
203006,10,4
203007,10,3
203008,12,8
203009,12,7
203010,13,7
203012,12,9
203013,12,9
203015,15,10
203016,16,12
203017,20,9
203018,24,9
203028,13,6
204005,14,9
204013,12,4
204014,14,7
204017,18,8
205012,10,6
205016,16,9
205017,8,8
205020,16,5
205023,8,6
205027,13,5
205031,18,10
205032,23,10
205037,22,6
205038,25,5
206004,14,7
206007,17,12
206008,14,6
206009,13,11
206010,7,7
207009,8,7
207010,8,6
207011,10,7
207012,12,8
207013,12,4
207014,16,6
207015,15,8
207016,15,4
207017,15,3
207018,15,9
207019,15,7
207020,15,7
207021,17,9
208013,6,5
208015,20,3
208019,8,5
208023,10,3
208024,12,5
209015,20,9
210009,6,7
210010,18,7
210011,20,12
210012,24,7
210019,11,9
210025,9,4
210030,25,6
210031,21,3
210032,17,7
210034,23,6
210035,15,7
210036,13,7
210037,5,3
210040,17,10
210041,21,11
210042,23,6
210043,5,5
210046,9,5
210047,21,5
210048,23,6
211002,10,9
211006,20,8
211007,8,7
211009,22,11
211010,12,3
211014,12,6
211016,8,6
211017,20,5
211018,22,7
211020,20,10
211021,26,12
211024,16,5
211027,17,11
211028,9,10
211029,19,9
211030,23,6
211032,23,10
211033,11,10
211034,9,6
211035,13,3
211036,17,5
211038,23,6
211039,17,8
211041,19,7
211042,19,10
211044,21,6
211049,23,9
211050,23,6
211051,9,9
211052,17,10
211062,15,5
211063,17,7
211064,21,8
211065,25,5
211066,21,6
211067,15,3
211068,21,5
211069,21,9
211071,21,8
211074,11,9
211075,13,5
212003,10,10
212004,8,3
212005,12,4
212006,14,10
212007,16,6
212008,18,5
212009,18,6
212010,18,6
212011,20,8
212012,20,8
212013,20,6
212014,20,7
212015,22,10
212016,22,4
212017,23,9
212018,23,5
212019,23,7
212020,24,5
212021,24,9
212022,24,7
212023,24,6
212024,24,9
212025,26,11
212026,26,9
212027,26,9
212028,26,7
212029,26,8
213002,24,4
213005,7,5
213008,7,8
213017,15,9
213018,19,9
214009,10,7
214012,14,3
214013,16,6
214014,12,7
214015,10,9
214017,20,6
214018,24,3
214021,8,13
214024,14,5
214028,18,6
214029,14,10
214031,8,3
214032,8,6
214034,20,7
214035,20,7
214040,10,4
214044,14,5
214052,11,8
214056,7,5
214058,9,5
214060,15,10
214068,17,8
214069,9,9
214072,11,8
214074,11,5
216005,24,5
217015,8,7
217016,8,7
217017,8,6
217019,12,7
217020,12,6
217021,16,9
217022,18,8
218003,8,4
218004,10,9
218005,10,4
218006,12,6
218007,16,6
218009,22,12
218010,22,6
218011,24,11
218012,24,9
218013,24,5
218014,26,11
219006,7,5
219007,14,9
219008,13,7
220016,8,6
220017,8,5
220018,8,7
220019,8,3
220020,8,3
220021,8,2
221001,24,4
221002,20,9
221003,22,9
221004,22,5
221005,22,6
221006,26,8
221007,22,9
221008,22,5
221009,22,6
221011,24,5
221012,20,4
221013,20,7
221014,20,6
221015,26,9
221016,20,6
221017,22,7
221018,22,7
221019,26,8
222023,6,7
222026,22,7
222028,10,4
223002,9,4
223005,10,3
223006,8,4
223007,10,8
223008,10,4
223009,12,3
223010,13,11
223011,14,7
223012,10,6
223013,12,8
223015,14,6
223016,12,4
223017,18,4
223018,18,4
223019,20,7
223020,18,6
223021,18,5
223022,6,1
223024,20,4
223027,24,3
223028,15,5
223029,7,3
223031,24,5
223032,26,6
223033,9,8
223034,19,9
223036,13,4
223037,7,4
223042,21,5
223047,19,8
223048,13,7
223049,11,6
223051,7,3
223052,25,4
223053,21,4
223054,17,7
223055,15,10
223056,11,5
223058,13,2
223061,25,7
223062,19,6
223063,15,7
223064,23,7
223065,21,7
223066,13,8
223067,9,4
223068,19,3
223069,13,3
223070,13,3
223071,7,3
223072,7,2
223073,11,5
223074,7,4
223075,17,3
225005,8,2
225006,10,5
225009,10,14
225010,16,9
226012,8,5
226013,8,3
226014,8,5
226015,8,5
226017,8,5
226020,18,6
226021,18,7
226022,18,6
226023,14,4
226024,14,5
226025,18,5
226026,10,4
226027,10,4
226028,10,9
226029,10,6
226030,10,5
226031,10,6
226032,8,7
226033,12,7
226034,12,9
226036,12,7
226037,10,8
226038,12,4
226039,10,4
226040,10,7
226041,8,7
226042,10,5
226043,8,8
226044,10,6
226045,6,5
226046,10,8
226047,8,2
226048,14,8
226049,14,7
226050,20,8
226051,20,10
227004,9,7
227005,11,7
227006,8,9
227007,14,8
227008,11,6
227010,12,8
227011,12,7
227016,21,5
227017,26,9
227020,16,7
227021,15,8
227026,18,8
228004,26,11
228006,26,13
228007,14,8
228009,25,9
228010,25,6
231038,16,5
231039,16,7
231043,20,9
231045,22,8
231046,22,6
231047,24,11
231050,26,9
232001,14,5
232002,12,6
232008,12,5
232009,12,5
232010,26,8
232011,26,8
232013,24,10
232014,16,4
232017,13,6
232018,26,6
232022,14,3
232023,8,4
232024,14,4
232027,8,7
232028,9,11
232029,10,6
232032,26,6
232050,26,12
232051,15,8
232052,11,4
232053,13,6
232058,25,10
232059,21,9
232060,25,6
232063,19,8
232064,17,7
232066,21,9
232067,19,11
232069,15,5
232071,25,7
232072,21,6
232073,21,10
232074,17,6
232075,9,3
234017,8,7
234018,8,4
234019,8,6
234020,8,6
234021,8,5
234037,10,8
234038,10,6
234039,10,5
234040,10,5
234041,12,4
234042,12,3
234043,14,8
234044,14,6
234047,16,4
234048,8,4
234049,8,3
234050,12,5
234051,14,11
235009,18,6
235010,12,4
235022,20,5
236001,4,5
236003,4,5
236005,4,5
236006,6,5
236007,6,6
236008,8,8
236010,8,7
236011,10,8
236012,10,5
236013,10,7
236016,12,12
236019,14,9
236022,16,5
236023,18,11
236026,20,8
236027,20,6
236029,16,10
236031,26,7
236041,10,7
236043,20,7
236044,6,6
236045,4,5
236047,4,3
236048,4,4
239001,26,8
239005,24,7
239007,20,8
239011,24,5
239012,24,10
239013,24,13
239016,16,7
239017,26,11
239019,10,7
239020,22,7
239021,4,7
239022,6,3
240004,12,7
240005,16,6
240006,8,4
240007,8,4
240008,4,2
240009,6,6
240011,6,4
240013,18,7
240014,10,4
240015,14,7
240016,26,7
240025,3,6
240026,6,5
240027,6,6
240028,5,8
240029,6,4
240030,5,5
240031,6,5
240032,6,6
240034,6,6
240035,6,7
241003,8,3
241008,8,3
241009,10,6
241012,10,7
241014,10,6
241015,16,10
241016,8,6
241017,10,5
241020,10,11
241022,10,5
241024,8,5
241028,6,8
243004,18,6
243005,10,5
243007,14,4
243008,12,3
243009,26,16
243010,12,7
243011,22,12
243012,20,7
243013,20,7
243014,12,9
243017,26,6
243019,23,9
243023,13,8
243024,11,4
243025,23,8
243027,21,10
243028,23,12
243029,5,6
243030,5,5
243031,23,13
243032,7,5
243033,17,7
244005,3,8
244006,3,4
244016,7,10
244018,9,9
244024,12,8
244028,12,9
244034,13,11
244035,13,8
244036,13,6
244037,14,8
244038,14,7
244040,15,7
244041,16,7
244042,15,6
244043,15,6
244045,15,4
244046,16,5
246001,12,6
246002,14,8
246003,18,6
246004,20,9
246005,22,7
246006,14,7
246007,10,8
246008,6,7
246009,8,9
246010,21,6
246011,15,6
246012,3,3
246013,9,5
246015,19,6
246017,25,6
246018,17,4
246019,15,6
246020,17,9
246021,7,3
248001,4,4
248004,4,4
248005,6,3
248006,10,5
248007,6,7
248008,6,1
248012,12,3
248013,16,7
248014,16,7
248016,26,13
248017,24,6
248023,18,8
248024,25,12
248025,13,3
248030,20,8
248031,24,8
248033,21,8
248034,17,8
248035,21,4
248036,7,0
248037,23,6
248039,21,8
248040,14,8
248041,11,6
248042,13,3
248043,7,3
248045,10,5
248046,10,6
248047,18,12
248048,24,5
248049,14,7
248050,20,6
248051,24,8
248053,14,3
249006,11,4
249014,10,10
249015,20,8
249017,20,5
249018,12,4
249019,6,3
249021,6,3
249023,18,5
249024,8,6
251002,18,9
251006,7,8
252001,8,5
252002,12,7
252010,10,6
252019,22,9
253001,8,4
253002,4,3
253003,16,7
253004,12,6
253005,10,9
253006,6,4
253008,6,4
253009,6,4
253010,16,7
253011,16,6
253012,12,10
253013,14,3
253014,24,9
253015,12,7
253016,8,6
253017,4,3
253018,18,7
253019,18,5
253020,16,8
253021,8,4
253022,18,7
253023,6,3
253024,16,7
253025,22,12
253026,8,5
253027,14,5
253028,12,6
253029,10,6
253030,16,5
253031,8,6
253033,6,5
253034,10,5
253035,18,11
253036,6,5
253037,14,7
253038,16,9
253039,4,1
253040,8,5
253041,6,5
253042,22,7
253043,16,6
253044,10,3
253045,24,7
253046,14,9
253047,8,4
253048,18,7
253049,22,11
253050,4,3
254001,4,6
254002,4,4
254003,4,4
254004,4,3
254005,4,4
254008,6,5
254009,6,7
254011,8,5
254013,8,9
254017,10,5
254019,11,5
254020,12,9
254021,12,9
254023,21,6
254024,15,9
254025,19,10
255001,11,5
255003,6,4
255004,12,8
255005,22,7
255006,14,14
255007,20,7
255010,11,3
255012,7,2
255013,13,6
255014,7,4
256002,8,5
256003,19,6
256005,15,7
256006,5,4
256007,13,9
256008,17,8
256009,5,3
256011,9,5
256013,25,10
256015,19,10
256017,17,12
256020,23,9
256021,15,9
256022,17,5
256023,19,13
256024,23,10
256025,17,12
256026,7,9
256027,9,11
256028,11,9
256029,15,10
256031,25,6
256032,19,11
256033,11,9
256035,11,6
256037,7,6
256038,23,12
256039,13,10
256040,9,7
256041,15,6
256042,21,14
256043,25,10
256044,15,10
256045,5,4
256048,17,9
256050,13,6
257023,7,6
257024,7,4
257025,7,3
257032,7,4
258007,26,9
258019,22,9
258032,5,3
258033,11,7
259010,4,5
259015,8,9
259016,20,6
259017,12,5
259018,8,4
259019,8,6
259020,8,4
259021,22,6
259022,24,9
259024,26,11
259025,8,3
259030,8,4
259032,15,6
259033,3,6
259036,3,3
259037,3,2
259038,11,3
259039,11,7
259040,19,6
259041,17,8
259042,11,8
259043,17,3
259044,9,4
259046,9,7
259047,5,7
259048,13,5
259049,3,3
259050,3,3
260001,12,14
260002,6,3
260003,8,6
260005,6,2
260007,3,4
260009,8,6
260016,6,3
260017,6,6
261001,8,6
261002,8,7
261003,3,0
261004,26,8
261006,6,6
261007,8,5
261008,6,4
261009,6,3
261010,6,4
261011,18,5
261012,16,7
261013,12,7
261014,18,6
