ID,TODself_tot,TODparent_tot,TODteacher_tot
201016,77,57, 
201017,84,63, 
201021,69,53, 
201022,81,52, 
201023,80, , 
201024,84,60, 
201027,86,57, 
201028,62,53, 
201032,41,27, 
202001,65,49, 
202002,59, , 
202004,86,60, 
203006,84,76, 
203007,46,34,39
203008,97,69, 
203009,54,50, 
203010,49,34, 
203011, ,78, 
203012,54,41, 
203013,88,45, 
203015,54,39, 
203016,49,37, 
203017,63,44, 
203028,100,54, 
204004, ,38, 
204010, ,46, 
204011, ,34, 
204012, ,64, 
205010,49,33, 
205012,62,54,68
205016,64,41,41
205017,54,37, 
205019,85,64, 
205021,53,54,51
205030,60,42,57
205031,44,52,54
205032,105,79, 
205035,69,40,69
205037,61,53,41
205039,74,29, 
205040,81,50, 
206004,50,52,54
206007,107,71, 
206008,69,47,68
206009,87,41, 
206010,86,52, 
207010,75,59,67
207011,89,62,70
207012,72,54,63
207013,87,65,74
207014,70,54,63
207015,73,55,64
207016,81,62,73
207017,103,73,83
207018,75,54,61
207019,91,68,81
207020,78,54,63
207021,77,58,65
208015,82,62, 
208017,53,28, 
208019,86,67,71
208023,71,59, 
208024,67,57, 
209015, ,54, 
210007,71,60, 
210008,67,28, 
210009,81,47, 
210010,104,26, 
210011,55,30, 
210012,58,51, 
210019,94,57, 
210025,85,50, 
210030,61,40, 
210031,66,55, 
210032,80,45, 
210034,76,67, 
210035,71,41, 
210036,76,29, 
210037,112,74, 
210040,88,55, 
210041,78,51, 
210042,93,55, 
210043,87,56, 
210046,87,50, 
210047,86,52, 
210048,84,89, 
211002,72,31, 
211006,78,47,35
211007,80,45,41
211009,74,44,63
211010,105,72, 
211014, ,60,68
211016,51,35,34
211017,52,43, 
211018,74,61,63
211020,68,46,40
211021,60,47, 
211024,73,58, 
211027,51,59,53
211028,58,32, 
211029,91,36, 
211030,68,33, 
211032,71,40,38
211034,86,62,44
211036,101,70, 
211038,94,61, 
211039,90,60, 
211041,63,50,56
211042,61,32,41
211049,66,37, 
211050,78,56, 
211051,79,60, 
211052,81,57, 
211062,79,56, 
211063,71,55,66
211064,53,38,46
211065,83,37, 
211066,84,65, 
211067,90,66, 
211068,110,66, 
211069,68,41,48
211071,65, , 
211075, ,43,43
212003,80,55,49
212004,64,59,68
212006,81,52,61
212007,91,53,54
212008,76,63, 
212009,83,67, 
212010,82,66, 
212011,62, , 
212012,87,67, 
212013,85,64, 
212014,73,57, 
212015,45,38,39
212016,77,60,82
212017,47,35, 
212018,74,58,65
212019,79,58,69
212020,73,43,63
212021,78,68,68
212022,111,68,90
212023,87, ,79
212024,57,49, 
212025,62,37,39
212026,48,45,49
212027,83,57,65
212028,72,67, 
212029,86,67, 
213002,71,31, 
213005, ,47,67
213017,87,52, 
213018,74,47, 
214012,55,38, 
214013,71,44,63
214015,57,39,38
214017,83,60, 
214018,72,54, 
214021,84,65,38
214024,64,42, 
214028,91,52,54
214029,70,40,33
214031,54,44,44
214032,87,52, 
214034,49,37,56
214035,83,55, 
214040,83,52, 
214041,92,65, 
214051,53,37,64
214052,45,38, 
214053,61,46, 
214056,67,49, 
214058,59,52, 
214060,38,30,37
214067,50,40,32
214068,60,28,40
214069,58,49, 
214072,62,34,43
214074, ,64, 
214075,64,62, 
216004,69,38, 
216005,67,52, 
217015, ,54, 
217016, , ,58
217017, ,54,63
217019, , ,68
217020, , ,72
217021,70, , 
217022,78, ,66
218003,74,44, 
218004,67,49, 
218005,76,42, 
218006,74,31, 
218007,66,46, 
218009,75,33, 
218010,72,44, 
218011,45,39, 
218012,70,38, 
218013,67,32, 
218014,70,60, 
219006,102, , 
219007,97,70, 
219008,66,47, 
221001,84, , 
221002,77, , 
221003,58, ,43
221004,73, ,40
221005,71, , 
221006,79,51, 
221007,93, , 
221008,77, , 
221009,76, , 
221010,78, , 
221011,58, , 
221012,70, , 
221013,92, , 
221014,83, , 
221015,84, ,64
221016,73, , 
221017,98, , 
221018,76, , 
221019,84, ,63
222023,71,49,55
222026, ,53, 
222028,89,62, 
223002,93,71, 
223005,71,44, 
223006,96,59, 
223007,81,51, 
223008,93,69, 
223009,94,72, 
223010,80,62, 
223011,57,52, 
223012,96,65, 
223013,81,28, 
223014,84, , 
223015,73,57, 
223016,86,58, 
223017,97,63, 
223018,90,61, 
223019,93,37, 
223020,84,71, 
223021,71,37, 
223023,69,47, 
223024,90,65, 
223027,60,34, 
223028,80,60, 
223029,79, , 
223030,81,48, 
223031,74,71, 
223032,82, , 
223033,89, , 
223034,90,54, 
223036,79, , 
223037,78,42, 
223042,80,42, 
223047,100,36, 
223048,77,36, 
223049,99,91, 
223051,77,57, 
223052,80,58, 
223053,78,59, 
223054,97,63, 
223055,78,49, 
223056,94,55, 
223058,102,100, 
223061,93,66, 
223062,86,74, 
223063,74,63, 
223064,78,37, 
223065,86,47, 
223066,87,54, 
223067,97,50, 
223068,101,71, 
223069,107,73, 
223070,87,68, 
223071,96,69, 
223072,84,52, 
223073,88,58, 
223074,90,58, 
223075,91,54, 
225005,75,50,69
225006,71,30,46
225009,75,55,82
225010,74,54,37
226013,99, ,74
226014,93, ,74
226015,85, , 
226019,79, , 
226020,116, ,72
226023,104, ,75
226024,102, ,85
226025,83, ,68
226026,97, ,92
226027,94,66, 
226028,88, ,95
226029,93, , 
226030,81,56,51
226032,69,50,41
226034,83,59,74
226036,94,51,54
226038,86,67,82
226041,59, ,56
226043,100, ,61
226044,56, ,40
226045,90, ,66
226046,81,68,73
226048,72,49,62
226049,51,28,67
226050,66,45,42
227005,62,42,55
227006,62,38, 
227007,80,39, 
227008,44,32, 
227011,77,49, 
227012,92,68, 
227016,78,66, 
227017,80,41, 
227021,86,52, 
227026,79,48, 
228004,38, , 
228006,62,46, 
228007,71,76, 
228009,71,51, 
228010,71,41, 
232001,96,67,47
232002,91,65,56
232008,84,60,38
232010,56,73, 
232011,61,35,34
232012, ,39, 
232014,44,62,46
232017,49,45,46
232018,78, , 
232022,81,62, 
232023,90,67, 
232024,45,37, 
232027, ,51, 
232028,46,30, 
232029,39,29, 
232050,51,32, 
232051,60, , 
232052,72,44, 
232053,85,55,51
