ID,noweight,agestrat,gradestrat,gender,educ,ethnic,region,demo_wt,sege_sum,sege_sum_w,rlne_sum,rlne_sum_w,rhme_sum,rhme_sum_w,snwe_sum,snwe_sum_w,lswe_sum,lswe_sum_w,lske_sum,lske_sum_w,ORF_noNeg,ORF_noNeg_w
201001,,5:0-5:7,K_Spring,female,HS_grad,asian,south,0.6439404263398837,17,11,59,38,18,12,16,10,17,11,27,17,96,62
201008,,7:0-7:5,1_Spring,male,HS_grad,asian,south,0.686555724143473,9,6,97,67,27,19,21,14,31,21,29,20,131,90
201010,,8:0-9:3,2_Spring,male,BA_plus,white,south,1.2192146957307326,22,27,60,73,21,26,29,35,38,46,34,41,171,208
203001,,7:0-7:5,K_Spring,male,BA_plus,white,midwest,1.0507849079731348,19,20,75,79,24,25,24,25,33,35,29,30,164,172
203002,1,7:0-7:5,1_Spring,male,some_college,white,midwest,1.2105136657100941,15,15,88,88,13,13,19,19,32,32,23,23,129,129
203003,,8:0-9:3,2_Spring,female,BA_plus,white,midwest,0.9855614888010669,22,22,110,108,30,30,31,31,39,38,34,34,236,233
203004,,8:0-9:3,2_Spring,female,BA_plus,hispanic,midwest,0.6736901286983921,25,17,79,53,29,20,30,20,38,26,34,23,233,157
204001,,8:0-9:3,2_Spring,female,BA_plus,white,south,1.143536647295701,25,29,79,90,30,34,28,32,38,43,34,39,188,215
204006,,8:0-9:3,2_Spring,female,BA_plus,white,south,1.143536647295701,17,19,103,118,26,30,24,27,36,41,33,38,188,215
205001,,8:0-9:3,2_Spring,female,BA_plus,asian,south,0.5313674779135221,19,10,67,36,25,13,22,12,37,20,33,18,160,85
205004,,5:8-5:11,K_Spring,female,BA_plus,asian,south,0.5313674779135221,19,10,66,35,19,10,20,11,22,12,26,14,113,60
205008,1,8:0-9:3,2_Spring,male,BA_plus,white,south,1.2192146957307326,25,25,76,76,25,25,20,20,33,33,31,31,137,137
205009,,7:6-7:11,1_Spring,male,BA_plus,asian,south,0.5665328167991954,17,10,80,45,20,11,17,10,35,20,31,18,160,91
205013,,6:8-6:11,K_Spring,male,BA_plus,white,south,1.2192146957307326,14,17,62,76,29,35,16,20,24,29,27,33,125,152
205014,1,7:6-7:11,1_Spring,male,HS_grad,black,south,0.9680245632841558,18,18,50,50,11,11,10,10,15,15,20,20,100,100
205028,1,6:8-6:11,1_Spring,male,BA_plus,hispanic,south,0.8334060478326991,17,17,51,51,30,30,24,24,38,38,34,34,208,208
205029,,5:8-5:11,K_Spring,female,BA_plus,white,south,1.143536647295701,19,22,91,104,21,24,22,25,37,42,34,39,194,222
205036,,7:0-7:5,2_Fall,male,BA_plus,white,south,1.2192146957307326,18,22,49,60,21,26,21,26,34,41,31,38,140,171
206001,,6:0-6:3,K_Spring,female,BA_plus,asian,northeast,0.5013136303276122,21,11,64,32,25,13,17,9,19,10,26,13,123,62
206002,,7:6-7:11,2_Spring,female,BA_plus,asian,northeast,0.5013136303276122,24,12,103,52,28,14,21,11,38,19,34,17,227,114
206005,,7:0-7:5,1_Fall,male,BA_plus,white,northeast,1.150256593921656,21,24,93,107,28,32,31,36,38,44,33,38,212,244
206011,,8:0-9:3,2_Spring,female,BA_plus,white,northeast,1.078858853611985,21,23,89,96,31,33,29,31,37,40,34,37,243,262
207001,,6:4-6:7,K_Spring,male,some_college,black,midwest,0.7930949137746769,11,9,41,33,13,10,16,13,18,14,19,15,138,109
207002,,5:8-5:11,K_Spring,female,HS_grad,white,midwest,1.1943577875234865,6,7,21,25,10,12,14,17,19,23,18,21,141,168
207004,1,6:8-6:11,1_Spring,male,HS_grad,hispanic,midwest,0.8704443410292948,6,6,23,23,19,19,18,18,23,23,14,14,113,113
207006,,7:0-7:5,1_Spring,male,HS_grad,black,midwest,0.8342957193742065,13,11,35,29,27,23,20,17,27,23,28,23,149,124
207007,,6:8-6:11,1_Spring,male,HS_grad,black,midwest,0.8342957193742065,15,13,35,29,26,22,22,18,25,21,26,22,144,120
207008,1,8:0-9:3,2_Spring,male,no_HS,hispanic,midwest,1.5070898687004668,18,18,11,11,12,12,11,11,19,19,17,17,102,102
207022,,6:4-6:7,K_Fall,female,HS_grad,black,midwest,0.7825100313563148,13,10,36,28,18,14,20,16,23,18,27,21,145,113
207023,,5:0-5:7,K_Fall,male,some_college,black,midwest,0.7930949137746769,6,5,46,36,17,13,19,15,21,17,17,13,114,90
207024,1,5:0-5:7,K_Fall,female,HS_grad,black,midwest,0.7825100313563148,7,7,51,51,13,13,18,18,23,23,19,19,124,124
