ID,group,raw
201001,5,16
201008,7,30
201010,8,37
203001,7,32
203002,7,31
203003,8,38
203004,8,37
204001,8,37
204006,8,35
205001,8,36
205004,5.67,21
205008,8,32
205009,7.5,34
205013,6.67,23
205014,7.5,14
205028,6.67,37
205029,5.67,36
205036,7,33
206001,6,18
206002,7.5,37
206005,7,37
206011,8,36
207001,6.33,17
207002,5.67,18
207004,6.67,22
207006,7,26
207007,6.67,24
207008,8,18
207022,6.33,22
207023,5,20
207024,5,22
207025,5,23
207026,6.33,35
207027,5,18
207028,6.33,15
207029,5,20
207030,5,13
207031,6.33,31
207032,6.33,33
208001,6.67,17
208011,5.67,12
209019,6,15
210001,7,37
210016,6.67,31
210018,6.67,37
210039,5,12
210044,5.67,17
211008,6.67,29
211043,5.67,18
211056,7,33
211057,7.5,37
211072,6.67,11
211073,6.67,34
212001,7,22
213003,6,15
213009,5,11
213010,6,25
213013,7,32
213016,6.67,22
213019,6,26
214001,8,37
214002,6.67,35
214003,7,35
214004,8,32
214005,8,36
214006,8,37
214016,7,37
214025,6.67,36
214027,8,36
214033,6.67,20
214039,8,37
214046,8,36
214054,6,22
214055,6,22
214057,6,8
214059,6.67,36
214062,6,20
214064,5,16
214065,6.33,17
214066,5.67,11
214071,6,15
214073,6.67,14
215002,5.67,28
217001,6,11
217003,7,17
217005,6.67,17
217006,8,31
217007,7,35
217008,7.5,38
217011,8,36
217012,8,28
217013,8,19
218001,5.67,19
220003,5.67,16
220004,6.33,18
220007,6.33,28
220008,7,18
220010,6.33,19
220011,7.5,35
220015,7.5,37
222029,8,37
223003,8,37
225001,5,21
225002,5.67,24
225003,5.67,26
225004,6,22
225008,7,30
226001,5.67,17
226002,5.67,19
226003,6.67,16
226004,5.67,15
226005,6,16
226006,5.67,18
226007,6,21
226008,7.5,26
226010,5.67,23
226011,6,11
226053,5,6
226054,5,13
226055,8,27
226056,6,37
226057,5,24
226058,5,10
226059,7.5,37
226060,5.67,8
231001,6,2
231007,6.33,NA
231014,6.67,21
231015,6.67,9
232003,6.67,17
232004,8,37
232005,5.67,15
232006,6.33,15
232025,5.67,14
232026,7,32
232030,7.5,37
232054,6.33,18
232055,5,14
232056,6.33,13
232065,7.5,35
234001,7.5,33
234004,7.5,36
234007,7,38
234010,8,34
234011,7.5,37
234012,8,33
234023,6.67,36
234024,7,20
234025,7,36
234026,7,35
234028,6.67,26
234029,6.33,31
234030,6.67,27
234031,7,22
234032,6,13
234033,6,14
234034,5,14
234035,6,18
234045,7.5,35
234046,7.5,36
235003,6.67,32
235004,6.67,28
235005,8,36
235029,5.67,36
238002,7,36
240002,6,32
240003,6,33
240020,6,10
240021,5.67,13
240022,6.67,14
240023,5,14
240036,5.67,13
240037,7.5,30
240038,6,12
240039,7,20
240040,6.67,37
241007,5.67,14
241018,5.67,8
241019,7.5,32
241021,6,17
241023,6.67,36
241025,6.33,29
241027,6.33,28
241029,6.67,18
243022,7,17
243026,6,25
243034,7.5,36
248038,6.67,24
248052,7.5,12
257001,7.5,37
257002,7.5,35
257003,6.67,36
257004,7.5,31
257005,7,35
257012,8,36
257016,8,27
257017,8,30
262026,8,38
262027,6.67,14
262043,7,29
262047,6,11
262049,6,18
262051,6.67,37
262053,7,21
262054,5,11
262055,6,15
262056,7,23
262057,6,15
262061,5,13
262063,5.67,8
262071,6.67,34
269001,8,27
269011,7,37
269012,6,19
269013,7.5,37
302001,6.33,18
302002,6,25
302005,7.5,31
302006,7,32
302007,7,24
305005,6.67,35
305011,5,12
305014,6.67,29
305019,7,37
305020,6.67,16
305022,6,36
305026,6.67,37
309014,6.67,13
309015,7,36
309021,7,34
309026,6.33,18
309033,5,8
309035,5.67,11
309036,5,9
309043,6.67,20
310005,7,15
310007,8,28
310008,7.5,33
310009,7.5,37
310010,8,32
310011,7.5,37
310012,6,16
310013,6.67,19
310014,7.5,36
310017,7.5,37
310019,7,20
310022,6.67,22
313003,7,33
314007,8,37
314008,7,35
314010,8,30
314012,7.5,27
314014,8,37
315001,7,36
315002,7,18
315003,6,21
315004,7.5,36
315005,6.33,20
315006,5.67,5
315008,7.5,32
315009,6.33,15
315010,5.67,12
315011,7,35
315012,5,13
315013,7.5,25
315014,6.67,37
315015,7.5,30
315016,6,12
315017,5.67,17
315018,8,31
315019,6.33,21
315020,6.67,19
316003,8,37
316004,5,12
317005,7.5,28
317008,5.67,10
317011,6.67,21
317016,7.5,32
318006,6.67,12
318015,6.67,35
318018,7,35
318019,6.67,29
318021,5.67,11
318022,7.5,35
318023,5.67,22
318024,8,28
318025,6.33,18
318026,8,37
318027,5.67,18
319001,8,34
321012,7.5,36
323003,5,4
323010,6.67,33
325008,5.67,15
326006,6,7
326013,6.33,9
326018,5.67,7
326023,5,8
326025,5.67,7
326026,6.67,9
326027,6.67,6
327004,6,10
327007,7,9
327013,6,14
327024,6.33,13
327025,5.67,14
327033,6,21
327038,8,37
327041,7,30
328001,7.5,36
328003,7.5,31
328004,8,31
328005,6.67,25
328006,8,36
328007,7.5,24
328008,8,36
328009,7,20
331001,5.67,15
333011,5.67,20
333013,6.33,20
336006,6.33,23
336014,5,17
338003,5,5
338005,5.67,10
338006,7,12
338007,5.67,14
348002,7,34
348003,6.67,33
348004,7,32
348005,7,32
348006,7,36
364003,5.67,10
364004,6.67,18
364005,6.67,28
364006,7,23
364007,8,35
364008,8,37
364009,8,37
365005,8,32
365006,5.67,13
365008,7.5,34
365011,6.67,9
365012,8,34
365016,7.5,36
365017,8,37
365018,7.5,21
365019,7,35
365020,8,36
365021,7.5,37
365022,7.5,36
365023,8,37
