ID,group,raw
201001,5,59
201008,7,97
201010,7,60
203001,7,75
203002,7,88
203003,7,110
203004,7,79
204001,7,79
204006,7,103
205001,7,67
205004,5,66
205008,7,76
205009,7,80
205013,6,62
205014,7,50
205028,6,51
205029,5,91
205036,7,49
206001,6,64
206002,7,103
206005,7,93
206011,7,89
207001,6,41
207002,5,21
207004,6,23
207006,7,35
207007,6,35
207008,7,11
207022,6,36
207023,5,46
207024,5,51
207025,5,44
207026,6,83
207027,5,51
207028,6,47
207029,5,52
207030,5,22
207031,6,54
207032,6,59
208001,6,22
208011,5,21
209019,6,43
210001,7,79
210016,6,88
210018,6,91
210039,5,56
210044,5,66
211008,6,59
211043,5,54
211056,7,50
211057,7,74
211072,6,36
211073,6,59
212001,7,29
213003,6,56
213009,5,57
213010,6,74
213013,7,79
213016,6,27
213019,6,59
214001,7,88
214002,6,78
214003,7,80
214004,7,89
214005,7,80
214006,7,109
214016,7,78
214025,6,61
214027,7,79
214033,6,64
214039,7,76
214046,7,90
214054,6,37
214055,6,60
214057,6,34
214059,6,95
214062,6,61
214064,5,31
214065,6,49
214066,5,44
214071,6,51
214073,6,56
215002,5,86
217001,6,24
217003,7,53
217005,6,23
217006,7,45
217007,7,63
217008,7,63
217011,7,65
217012,7,39
217013,7,28
218001,5,62
220003,5,30
220004,6,36
220007,6,49
220008,7,51
220010,6,49
220011,7,54
220015,7,74
222029,7,86
223003,7,79
225001,5,69
225002,5,72
225003,5,67
225004,6,67
225008,7,59
226001,5,47
226002,5,57
226003,6,52
226004,5,36
226005,6,43
226006,5,54
226007,6,58
226008,7,73
226010,5,51
226011,6,61
226053,5,23
226054,5,36
226055,7,72
226056,6,83
226057,5,51
226058,5,54
226059,7,61
226060,5,45
231014,6,21
231015,6,12
232003,6,53
232004,7,93
232005,5,42
232006,6,42
232025,5,36
232026,7,82
232030,7,87
232054,6,60
232055,5,64
232056,6,27
232065,7,51
234001,7,69
234004,7,83
234007,7,106
234010,7,71
234012,7,95
234023,6,85
234024,7,70
234025,7,93
234026,7,86
234028,6,79
234029,6,90
234030,6,81
234031,7,57
234032,6,35
234033,6,37
234034,5,58
234035,6,39
234045,7,60
234046,7,98
235003,6,93
235004,6,80
235005,7,89
238002,7,85
240002,6,89
240003,6,63
240020,6,42
240021,5,69
240022,6,34
240023,5,46
240036,5,42
240037,7,91
240038,6,42
240039,7,57
240040,6,103
241007,5,26
241018,5,17
241019,7,65
241021,6,65
241023,6,108
241025,6,65
241027,6,85
241029,6,38
243022,7,45
243026,6,48
243034,7,53
248038,6,52
248052,7,39
257001,7,99
257002,7,78
257003,6,99
257004,7,64
257005,7,64
257012,7,77
257016,7,76
257017,7,88
262027,6,62
262043,7,83
262047,6,27
262049,6,64
262051,6,87
262053,7,90
262054,5,54
262055,6,61
262056,7,91
262057,6,65
262061,5,38
262063,5,21
262071,6,49
269001,7,69
269011,7,83
269012,6,69
269013,7,80
302001,6,29
302002,6,45
302005,7,57
302006,7,80
302007,7,73
305005,6,86
305011,5,56
305014,6,66
305019,7,75
305020,6,60
305026,6,92
309014,6,29
309015,7,98
309021,7,58
309026,6,55
309033,5,34
309035,5,40
309036,5,43
309043,6,62
310005,7,52
310007,7,78
310008,7,81
310009,7,100
310010,7,89
310011,7,96
310012,6,57
310013,6,56
310014,7,91
310017,7,88
310019,7,61
310022,6,51
313003,7,76
314007,7,88
314008,7,63
314010,7,76
314012,7,47
314014,7,91
315001,7,88
315002,7,36
315003,6,83
315004,7,84
315005,6,46
315006,5,26
315008,7,85
315009,6,53
315010,5,48
315011,7,84
315012,5,61
315013,7,65
315014,6,74
315015,7,66
315016,6,50
315017,5,46
315018,7,81
315019,6,66
315020,6,76
316003,7,92
316004,5,21
317005,7,55
317008,5,41
317011,6,89
317016,7,55
318006,6,25
318015,6,81
318018,7,90
318019,6,51
318021,5,44
318022,7,92
318023,5,68
318024,7,61
318025,6,34
318026,7,97
318027,5,61
319001,7,34
321012,7,99
323003,5,34
323010,6,70
325008,5,32
326006,6,8
326023,5,27
326025,5,22
326026,6,29
326027,6,13
327004,6,33
327007,7,25
327013,6,32
327024,6,47
327025,5,56
327033,6,58
327038,7,86
327041,7,105
328001,7,119
328003,7,86
328004,7,69
328005,6,76
328006,7,103
328007,7,69
328008,7,118
328009,7,73
331001,5,49
333011,5,75
333013,6,73
336006,6,27
336014,5,26
338003,5,12
338005,5,28
338007,5,42
348002,7,91
348003,6,94
348004,7,90
348005,7,92
348006,7,84
364003,5,38
364004,6,55
364005,6,69
364006,7,61
364007,7,104
364008,7,86
364009,7,108
365005,7,84
365006,5,37
365008,7,93
365011,6,33
365012,7,59
365016,7,59
365017,7,102
365018,7,60
365019,7,65
365020,7,84
365021,7,79
365022,7,80
365023,7,72
