ID,group,raw
201001,5,10
201008,7,6
201010,8,26
203001,7,19
203002,7,14
203003,8,21
203004,8,17
204001,8,27
204006,8,18
205001,8,10
205004,5.67,10
205008,8,24
205009,7.5,9
205013,6.67,16
205014,7.5,17
205028,6.67,16
205029,5.67,21
205036,7,21
206001,6,10
206002,7.5,11
206005,7,22
206011,8,21
207001,6.33,8
207002,5.67,6
207004,6.67,5
207006,7,10
207007,6.67,12
207008,8,17
207022,6.33,10
207023,5,4
207024,5,6
207025,5,4
207026,6.33,13
207027,5,4
207028,6.33,2
207029,5,6
207030,5,4
207031,6.33,10
207032,6.33,10
208001,6.67,11
208011,5.67,2
209019,6,19
210001,7,16
210016,6.67,17
210018,6.67,21
210039,5,0
210044,5.67,14
211008,6.67,6
211043,5.67,10
211056,7,19
211057,7.5,30
211072,6.67,18
211073,6.67,18
212001,7,12
213003,6,11
213009,5,9
213010,6,19
213013,7,19
213016,6.67,13
213019,6,0
214001,8,14
214002,6.67,11
214003,7,10
214004,8,10
214005,8,10
214006,8,22
214016,7,22
214025,6.67,22
214027,8,24
214033,6.67,21
214039,8,20
214046,8,17
214054,6,28
214055,6,22
214057,6,9
214059,6.67,24
214062,6,16
214064,5,15
214065,6.33,17
214066,5.67,11
214071,6,9
214073,6.67,10
215002,5.67,10
217001,6,0
217003,7,13
217005,6.67,10
217006,8,12
217007,7,25
217008,7.5,21
217011,8,3
217012,8,21
217013,8,14
218001,5.67,16
220003,5.67,4
220004,6.33,10
220007,6.33,5
220008,7,14
220010,6.33,10
220011,7.5,20
220015,7.5,14
222029,8,22
223003,8,22
225001,5,10
225002,5.67,15
225003,5.67,12
225004,6,13
225008,7,14
226001,5.67,0
226002,5.67,3
226003,6.67,23
226004,5.67,10
226005,6,9
226006,5.67,15
226007,6,9
226008,7.5,17
226010,5.67,14
226011,6,10
226053,5,9
226054,5,13
226055,8,18
226056,6,22
226057,5,19
226058,5,16
226059,7.5,26
226060,5.67,14
231001,6,0
231007,6.33,6
231014,6.67,3
231015,6.67,2
232003,6.67,14
232004,8,17
232005,5.67,5
232006,6.33,20
232025,5.67,14
232026,7,20
232030,7.5,17
232054,6.33,18
232055,5,14
232056,6.33,17
232065,7.5,14
234001,7.5,18
234004,7.5,17
234007,7,26
234010,8,13
234011,7.5,30
234012,8,18
234023,6.67,22
234024,7,21
234025,7,17
234026,7,16
234028,6.67,18
234029,6.33,20
234030,6.67,17
234031,7,29
234032,6,13
234033,6,15
234034,5,17
234035,6,10
234045,7.5,21
234046,7.5,19
235003,6.67,9
235004,6.67,11
235005,8,16
235029,5.67,9
238002,7,22
240002,6,14
240003,6,12
240020,6,0
240021,5.67,14
240022,6.67,6
240023,5,0
240036,5.67,2
240037,7.5,15
240038,6,13
240039,7,25
240040,6.67,27
241007,5.67,0
241018,5.67,1
241019,7.5,20
241021,6,15
241023,6.67,23
241025,6.33,24
241027,6.33,20
241029,6.67,19
243022,7,17
243026,6,22
243034,7.5,27
248038,6.67,16
248052,7.5,13
257001,7.5,19
257002,7.5,27
257003,6.67,16
257004,7.5,14
257005,7,14
257012,8,16
257016,8,25
257017,8,14
262026,8,21
262027,6.67,18
262043,7,23
262047,6,15
262049,6,20
262051,6.67,23
262053,7,21
262054,5,16
262055,6,19
262056,7,23
262057,6,23
262061,5,9
262063,5.67,NA
262071,6.67,23
269001,8,20
269011,7,28
269012,6,23
269013,7.5,26
302001,6.33,14
302002,6,9
302005,7.5,24
302006,7,25
302007,7,15
305005,6.67,21
305011,5,18
305014,6.67,21
305019,7,15
305020,6.67,15
305022,6,18
305026,6.67,15
309014,6.67,17
309015,7,16
309021,7,14
309026,6.33,6
309033,5,24
309035,5.67,11
309036,5,9
309043,6.67,27
310005,7,22
