ID,group,raw
201001,5,16
201008,7,21
201010,8,29
203001,7,24
203002,7,19
203003,8,31
203004,8,30
204001,8,28
204006,8,24
205001,8,22
205004,5.67,20
205008,8,20
205009,7.5,17
205013,6.67,16
205014,7.5,10
205028,6.67,24
205029,5.67,22
205036,7,21
206001,6,17
206002,7.5,21
206005,7,31
206011,8,29
207001,6.33,16
207002,5.67,14
207004,6.67,18
207006,7,20
207007,6.67,22
207008,8,11
207022,6.33,20
207023,5,19
207024,5,18
207025,5,18
207026,6.33,21
207027,5,15
207028,6.33,10
207029,5,20
207030,5,1
207031,6.33,18
207032,6.33,20
208001,6.67,17
208011,5.67,12
209019,6,15
210001,7,30
210016,6.67,21
210018,6.67,25
210039,5,7
210044,5.67,18
211008,6.67,20
211043,5.67,12
211056,7,20
211057,7.5,29
211072,6.67,12
211073,6.67,28
212001,7,14
213003,6,11
213009,5,11
213010,6,18
213013,7,15
213016,6.67,16
213019,6,20
214001,8,27
214002,6.67,25
214003,7,21
214004,8,18
214005,8,22
214006,8,28
214016,7,25
214025,6.67,26
214027,8,29
214033,6.67,14
214039,8,18
214046,8,28
214054,6,19
214055,6,18
214057,6,6
214059,6.67,27
214062,6,16
214064,5,18
214065,6.33,18
214066,5.67,13
214071,6,11
214073,6.67,12
215002,5.67,17
217001,6,11
217003,7,14
217005,6.67,12
217006,8,24
217007,7,22
217008,7.5,33
217011,8,19
217012,8,18
217013,8,20
218001,5.67,18
220003,5.67,14
220004,6.33,13
220007,6.33,15
220008,7,15
220010,6.33,19
220011,7.5,18
220015,7.5,19
222029,8,29
223003,8,21
225001,5,13
225002,5.67,18
225003,5.67,19
225004,6,17
225008,7,11
226001,5.67,15
226002,5.67,18
226003,6.67,14
226004,5.67,13
226005,6,19
226006,5.67,17
226007,6,17
226008,7.5,14
226010,5.67,16
226011,6,8
226053,5,5
226054,5,12
226055,8,16
226056,6,30
226057,5,16
226058,5,15
226059,7.5,29
226060,5.67,7
231001,6,1
231007,6.33,3
231014,6.67,3
231015,6.67,1
232003,6.67,14
232004,8,29
232005,5.67,13
232006,6.33,14
232025,5.67,13
232026,7,19
232030,7.5,24
232054,6.33,15
232055,5,14
232056,6.33,11
232065,7.5,20
234001,7.5,23
234004,7.5,31
234007,7,30
234010,8,22
234012,8,20
234023,6.67,28
234024,7,18
234025,7,28
234026,7,20
234028,6.67,16
234029,6.33,18
234030,6.67,17
234031,7,19
234032,6,11
234033,6,9
234034,5,11
234035,6,13
234045,7.5,21
234046,7.5,28
235003,6.67,17
235004,6.67,17
235005,8,31
235029,5.67,25
238002,7,29
240002,6,21
240003,6,21
240020,6,11
240021,5.67,12
240022,6.67,10
240023,5,10
240036,5.67,9
240037,7.5,17
240038,6,10
240039,7,18
240040,6.67,24
241007,5.67,12
241018,5.67,5
241019,7.5,24
241021,6,17
241023,6.67,24
241025,6.33,18
241027,6.33,14
241029,6.67,11
243022,7,17
243026,6,22
243034,7.5,26
248038,6.67,19
248052,7.5,12
257001,7.5,26
257002,7.5,18
257003,6.67,23
257004,7.5,17
257005,7,23
257012,8,26
257016,8,21
257017,8,19
262026,8,24
262027,6.67,14
262043,7,21
262047,6,16
262049,6,16
262051,6.67,25
262053,7,20
262054,5,8
262055,6,16
262056,7,14
262057,6,20
262061,5,13
262063,5.67,1
262071,6.67,20
269001,8,18
269011,7,26
269012,6,18
269013,7.5,24
302001,6.33,19
302002,6,12
302005,7.5,19
302006,7,23
302007,7,19
305005,6.67,20
305011,5,12
305014,6.67,19
305019,7,29
305020,6.67,12
305022,6,30
305026,6.67,25
309014,6.67,14
309015,7,22
309021,7,19
309026,6.33,14
309033,5,18
309035,5.67,10
309036,5,1
309043,6.67,13
310005,7,15
310007,8,12
310008,7.5,18
310009,7.5,22
310010,8,15
310011,7.5,27
310012,6,12
310013,6.67,14
310014,7.5,27
310017,7.5,30
310019,7,18
310022,6.67,18
313003,7,20
314007,8,28
314008,7,21
314010,8,21
314012,7.5,12
314014,8,23
315001,7,29
315002,7,12
315003,6,18
315004,7.5,26
315005,6.33,12
315006,5.67,6
315008,7.5,17
315009,6.33,9
315010,5.67,11
315011,7,22
315012,5,12
315013,7.5,19
315014,6.67,20
315015,7.5,20
315016,6,12
315017,5.67,12
315018,8,22
315019,6.33,17
315020,6.67,13
316003,8,31
316004,5,13
317005,7.5,19
317008,5.67,6
317011,6.67,18
317016,7.5,17
318006,6.67,11
318015,6.67,25
318018,7,26
318019,6.67,24
318021,5.67,7
318022,7.5,29
318023,5.67,17
318024,8,19
318025,6.33,12
318026,8,22
318027,5.67,14
319001,8,21
321012,7.5,30
323003,5,1
323010,6.67,21
325008,5.67,15
326006,6,6
326018,5.67,1
326023,5,2
326025,5.67,10
326026,6.67,5
326027,6.67,4
327004,6,10
327007,7,9
327013,6,12
327024,6.33,15
327025,5.67,10
327033,6,18
327038,8,27
327041,7,24
328001,7.5,27
328003,7.5,21
328004,8,22
328005,6.67,19
328006,8,30
328007,7.5,18
328008,8,26
328009,7,19
331001,5.67,17
333011,5.67,19
333013,6.33,13
336006,6.33,16
336014,5,20
338003,5,9
338005,5.67,3
338006,7,15
338007,5.67,11
348002,7,23
348003,6.67,24
348004,7,26
348005,7,20
348006,7,30
364003,5.67,11
364004,6.67,16
364005,6.67,25
364006,7,20
364007,8,29
364008,8,28
364009,8,32
365005,8,17
365006,5.67,2
365008,7.5,22
365011,6.67,6
365012,8,15
365016,7.5,21
365017,8,20
365018,7.5,15
365019,7,20
365020,8,30
365021,7.5,31
365022,7.5,23
365023,8,30
