ID,TODEparent_tot,TODEteacher_tot
201001,56, 
201008,57, 
201010,44, 
203002,57, 
203003,37, 
203004,33,37
205001,42,32
205004,44,34
205008,70,44
205009,36,39
205013,52, 
205014,66,75
205028,28,31
205036,43, 
206002,46,40
206005,35, 
206011,52, 
207001,56,53
207002,57,58
207004,61,62
207006,55,53
207007,59,53
207008,75,72
207022,57,54
207023,58,56
207024,66,62
207025,60,59
207026,55,53
207027,59,59
207028,68,66
207029,55,57
207030,66,65
207031,55,54
207032,47,53
208001,59,46
208011,55,29
210016,38, 
210018,47, 
210039,53, 
210044,55, 
213003,39,53
213010,33, 
213013,47, 
213016,47, 
214001,46,30
214002,50,30
214003,33,28
214004,39,40
214005,50,50
214006,40,33
214016,35, 
214025,36,44
214027,34,30
214033,50, 
214039,32,40
214046,32, 
214054,44,48
214055,40,35
214057,68, 
214059,30,29
214062,37,33
214065,53, 
214066,61, 
214073,69, 
215002,44,30
217001, ,56
217003, ,44
217005, ,54
217006,52, 
217008, ,44
217012, ,52
218001,30, 
222029,50, 
223003,57, 
225001,30,45
225002,49,40
225003,41,32
225004,40,38
225008,54,59
226001,49,62
226002,64,87
226003, ,80
226004,65,72
226005,52,56
226006, ,65
226008,65,72
226010,60,54
226011,62,74
226054,53, 
226055,60, 
226056,27, 
226059,34, 
232003,59, 
232004,32,32
232005,63,41
232006,58,42
232026,50, 
232030,31, 
232054,41,49
232055, ,42
232056, ,61
232065,42,39
234001, ,38
234004, ,32
234007, ,30
234010, ,31
234012, ,56
234024, ,49
234025, ,28
234026, ,32
234028, ,49
234029, ,49
234030, ,52
234031, ,52
234045, ,39
234046, ,59
235003,28,28
235004,35,28
235005,28,34
240002,29, 
240003,31,43
240020, ,57
240021, ,39
240022, ,45
240023, ,33
240036,48,71
240037,30, 
240038,64,54
241007,44,55
241018,71,71
241019,57, 
241021,43,32
241023,32,29
241025,44,34
243026,54,47
248038,59,56
248052, ,67
262027, ,51
262043,47, 
262047,48,55
262051,50, 
262053,29, 
262055,54, 
262056,51, 
262057,44,42
262063,58,56
269011,33, 
269012,48, 
269013,27, 
302001,50, 
302002,34, 
302006,55, 
302007,63, 
309014,65,43
309015,32,27
309021,28,28
309026, ,47
309033, ,32
309035, ,31
309036, ,35
309043, ,36
310007, ,77
310008,27,54
310009,49,50
310010,56,65
310011,28, 
310012,77,65
310014, ,50
310019,49, 
313003,39, 
314007,33, 
314008,63, 
314010,58, 
314014,42, 
316003,37, 
316004,62, 
317005,38, 
317008,64, 
317011,52, 
317016,69, 
318022,43, 
318023,42, 
327004, ,55
327007,82,79
327013,64,63
327024,73, 
327025,54, 
327033,51, 
327038, ,54
327041, ,53
328001, ,35
328003,69,51
328004, ,59
328006, ,31
328007, ,37
328008, ,60
328009, ,55
331001,35, 
333011,41, 
365005, ,57
365008, ,56
365011, ,75
365012, ,58
365016, ,31
365017, ,48
365018, ,66
365019, ,58
365020, ,32
365021, ,27
365022, ,33
365023, ,27
