ID,DRIQ_adult
201030,176
201033,231
201035,193
201039,205
201040,223
201041,220
201042,217
201049,245
203019,181
203020,188
203021,227
203022,205
203023,199
203024,156
203025,211
203026,218
203027,200
204002,201
204003,202
204008,174
204009,203
204016,196
205011,223
205015,208
205024,205
205025,227
205026,245
205034,205
206006,223
206012,196
206013,210
206014,186
206015,216
206016,172
206017,232
206018,241
206019,214
206021,211
208003,203
208005,202
208006,227
208007,190
208008,219
208009,247
208025,189
208028,194
209003,232
209004,225
209005,214
209009,199
209010,206
209013,218
209014,214
209016,189
209017,236
209018,245
209020,221
209021,200
210002,184
210003,162
210004,172
210005,175
210006,141
210013,162
210014,200
210015,164
210022,209
210028,232
210033,185
210045,180
211005,144
211012,226
211013,239
211015,171
211019,203
211022,217
211023,216
211025,235
211026,218
211031,180
211037,170
211045,219
211046,209
211048,188
211053,217
211054,218
211058,185
211059,230
211061,217
211070,226
212030,167
212034,154
212036,209
212037,198
212039,201
212040,167
212043,170
212045,191
212047,158
212048,218
212049,165
212050,127
213007,226
214010,236
214011,227
214019,190
214020,253
214022,211
214023,202
214030,194
214036,196
214037,210
214038,204
214042,214
214043,218
214045,206
214048,225
214049,200
214050,201
216006,245
217023,206
217024,191
217025,171
217026,173
217027,192
218018,169
218019,200
218025,213
218028,211
218032,229
218035,188
218037,202
218040,185
219002,183
219003,199
219004,214
219005,202
222009,202
222010,215
222012,212
222015,232
222017,233
222018,195
222021,209
222025,225
223035,175
223038,185
223039,179
223040,187
223041,156
223043,205
223045,207
223046,164
223050,171
224006,242
224007,223
224012,222
227019,225
227025,215
227028,227
227030,183
228001,220
228002,210
228003,194
228005,189
228008,183
232015,204
232034,196
232036,194
232039,208
232040,231
232044,221
232046,206
232048,244
232049,248
232057,211
232068,182
232070,215
233001,174
233006,202
233014,188
233015,191
233016,175
233017,167
233018,171
233019,174
233020,178
236035,197
236037,234
236038,228
236040,221
236042,205
236049,231
238001,226
239002,160
239003,186
239004,200
239009,189
239010,215
239014,189
239018,175
239023,203
241005,199
243002,221
243003,233
243015,210
243016,170
243020,222
248010,230
248026,202
248028,202
248029,254
248032,208
248055,208
248058,199
248059,207
249011,178
249013,152
249022,152
253007,169
255011,201
258001,197
258002,239
258003,227
258004,213
258005,182
258006,180
258008,216
258009,176
258010,186
258012,243
258013,203
258014,224
258015,219
258016,159
258018,166
258020,145
258021,213
258022,231
258023,154
258024,175
258025,209
258026,179
258027,194
258028,214
258029,211
258030,228
258031,187
259035,208
259045,148
260008,154
260011,174
261005,176
261032,164
261034,170
262032,214
262033,200
262039,194
262044,180
262060,235
263008,175
264001,203
264009,218
264015,198
264016,168
264029,203
264031,175
264044,220
264049,236
266018,127
266020,139
266021,172
268001,227
268002,238
268003,196
268004,210
271012,210
271013,192
271014,185
301004,200
301005,202
301006,169
301008,208
301009,201
301010,253
301011,177
301013,224
301014,213
301015,198
301016,227
302040,202
313018,209
313019,220
313021,193
313022,216
313023,205
313024,197
313025,183
314001,228
314002,246
314004,157
316015,205
316016,187
319009,218
325001,189
325005,161
325006,182
325007,186
333001,186
333002,167
333003,173
333004,192
333005,194
333006,195
333007,190
338016,185
342014,175
342025,152
342026,219
342029,178
342032,149
342035,168
342042,119
342046, 
342050,113
346001,194
346010,144
354040,139
354041,187
354042,152
354043,239
354044,193
354045,163
354046,196
354047,179
401003,190
401005,166
401006,153
401007,209
401008,221
501010,193
501011,198
501015,200
501019,225
501025,171
501026,222
999002,209
