ID,DRIW_age,DRIQ_age
201001,213, 
201008,202, 
201010, ,180
201017, ,242
201020, ,204
201021, ,208
201022, ,228
201023, ,233
201024, ,190
201027, ,215
201028, ,213
201032, ,240
202001, ,240
202002, ,237
202003, ,209
202004, ,219
203001,225, 
203002,184, 
203003, ,244
203004, ,229
203006, ,193
203007, ,229
203008, ,175
203009, ,229
203010, ,231
203011, ,199
203012, ,240
203013, ,234
203015, ,197
203016, ,239
203017, ,200
203018, ,226
203028, ,172
204001, ,199
204004, ,213
204005, ,219
204006, ,196
204007, ,210
204010, ,213
204011, ,204
204012, ,234
204013, ,219
204014, ,245
204017, ,201
205001, ,204
205004,210, 
205008, ,180
205009,194, 
205010, ,234
205012, ,226
205013,178, 
205014,156, 
205016, ,223
205017, ,260
205019, ,204
205021, ,217
205028,241, 
205029,254, 
205030, ,242
205031, ,224
205032, ,231
205035, ,253
205036, ,167
205037, ,226
205039, ,193
205040, ,192
206001,207, 
206002, ,232
206004, ,230
206005,260, 
206007, ,213
206008, ,204
206009, ,203
206010, ,201
206011, ,238
207001,199, 
207002,227, 
207004,196, 
207006,245, 
207007,208, 
207009, ,191
207010, ,202
207011, ,207
207012, ,204
207013, ,173
207014, ,226
207015, ,217
207016, ,223
207017, ,177
207018, ,233
207019, ,239
207020, ,238
207021, ,217
207022,242, 
207023,260, 
207024,260, 
207025,206, 
207026,244, 
207027,241, 
207028,138, 
207029,233, 
207030,183, 
207031,234, 
207032,230, 
208001,214, 
208011,232, 
208013, ,191
208015, ,186
208017, ,235
208019, ,216
208023, ,167
208024, ,198
209007, ,239
209015, ,173
209019,177, 
210001,254, 
210007, ,201
210008, ,212
210009, ,215
210010, ,205
210011, ,210
210012, ,206
210016,210, 
210018,219, 
210019, ,214
210025, ,243
210030, ,203
210031, ,178
210032, ,187
210034, ,197
210035, ,204
210036, ,212
210037, ,203
210039,202, 
210040, ,220
210041, ,243
210042, ,198
210043, ,207
210044,190, 
210046, ,186
210047, ,177
210048, ,163
211002, ,229
211006, ,218
211007, ,224
211008,227, 
211009, ,187
211010, ,190
211014, ,211
211016, ,225
211017, ,194
211018, ,170
211020, ,204
211021, ,191
211024, ,198
211027, ,191
211028, ,217
211029, ,178
211030, ,197
211032, ,250
211033, ,213
211034, ,197
211036, ,166
211038, ,199
211039, ,202
211041, ,184
211042, ,219
211043,188, 
211049, ,196
211050, ,181
211051, ,191
211052, ,160
211056,213, 
211057, ,192
211062, ,186
211063, ,200
211064, ,205
211065, ,199
211066, ,187
211067, ,169
211068, ,190
211069, ,241
211071, ,187
211072,143, 
211073,237, 
211075, ,198
212001,158, 
212003, ,211
212004, ,191
212006, ,200
212007, ,184
212008, ,203
212009, ,195
212010, ,185
212011, ,201
212012, ,188
212013, ,213
212014, ,227
212015, ,240
212016, ,221
212017, ,247
212018, ,193
212019, ,222
212020, ,220
212021, ,184
212022, ,149
212023, ,187
212024, ,231
212025, ,226
212026, ,244
212027, ,241
212028, ,220
212029, ,195
213002, ,187
213003,178, 
213005, ,199
213008, ,224
213009,208, 
213010,195, 
213013, ,176
213016,183, 
213017, ,218
213018, ,222
213019,206, 
214001, ,233
214002,236, 
214003,224, 
214004, ,204
214005, ,202
214006, ,227
214012, ,210
214013, ,228
214015, ,238
214016,210, 
214017, ,237
214018, ,197
214021, ,249
214024, ,209
214025,234, 
214027, ,223
214028, ,209
214029, ,217
214031, ,222
214032, ,222
214033,184, 
214034, ,231
214035, ,185
214039, ,205
214040, ,234
214041, ,185
214046, ,218
214051, ,237
214052, ,216
214053, ,207
214054,204, 
214055,222, 
214056, ,202
214057,162, 
214058, ,201
214059,248, 
214060, ,244
214062,186, 
214064,220, 
214065,171, 
214066,164, 
214067, ,216
214068, ,216
214069, ,213
214071,189, 
214072, ,228
214073,153, 
214074, ,176
214075, ,164
215002,218, 
216004, ,238
216005, ,229
217001,197, 
217003,173, 
217005,194, 
217007,190, 
217008, ,235
217011, ,187
217012, ,163
217013, ,174
217015, ,222
217016, ,215
217017, ,225
217019, ,198
217020, ,173
217021, ,190
217022, ,232
218001,208, 
218003, ,178
218004, ,193
218005, ,234
218006, ,219
218007, ,247
218009, ,226
218010, ,200
218011, ,217
218012, ,232
218013, ,201
218014, ,196
219006, ,183
219007, ,183
219008, ,213
220003,200, 
220004,194, 
220007,193, 
220008,177, 
220010,179, 
220011, ,208
220015, ,232
220016, ,205
220017, ,205
220018, ,173
220019, ,179
220020, ,162
220021, ,176
221001, ,191
221002, ,178
221003, ,194
221004, ,193
221005, ,167
221006, ,223
221007, ,168
221008, ,152
221009, ,215
221011, ,185
221012, ,209
221013, ,184
221014, ,178
221015, ,186
221016, ,162
221017, ,163
221018, ,164
221019, ,197
222023, ,233
222026, ,206
222028, ,208
222029, ,231
223002, ,182
223003, ,231
223005, ,202
223006, ,177
223007, ,223
223008, ,155
223009, ,159
223010, ,206
223011, ,206
223012, ,169
223013, ,224
223014, ,198
223015, ,220
223016, ,175
223017, ,192
223018, ,172
223019, ,200
223020, ,153
223021, ,196
223023, ,202
223024, ,184
223027, ,214
223028, ,199
223029, ,206
223030, ,189
223031, ,187
223032, ,181
223033, ,203
223034, ,175
223036, ,179
223037, ,188
223042, ,191
223047, ,202
223048, ,177
223049, ,204
223051, ,191
223052, ,174
223053, ,211
223054, ,183
223055, ,202
223056, ,207
223058, ,165
223061, ,177
223062, ,197
223063, ,198
223064, ,209
223065, ,154
223066, ,175
223067, ,174
223068, ,190
223069, ,162
223070, ,179
223071, ,160
223072, ,144
223073, ,177
223074, ,195
223075, ,175
225001,213, 
225002,209, 
225003,209, 
225004,208, 
225005, ,214
225006, ,202
225008,193, 
225009, ,185
225010, ,208
226001,208, 
226002,207, 
226003,170, 
226004,198, 
226005,186, 
226006,207, 
226007,193, 
226008,184, 
226010,211, 
226011,159, 
226013, ,234
226014, ,195
226015, ,212
226019, ,219
226020, ,190
226022, ,209
226023, ,200
226024, ,158
226025, ,185
226026, ,210
226027, ,205
226028, ,192
226029, ,240
226030, ,214
226032, ,245
226034, ,197
226036, ,218
226037, ,215
226038, ,201
226040, ,244
226041, ,246
226043, ,215
226044, ,247
226045, ,207
226046, ,193
226048, ,194
226049, ,206
226050, ,241
226053,176, 
226054,200, 
226055, ,158
226056,257, 
226057,229, 
226058,201, 
226059, ,230
226060,175, 
227005, ,202
227006, ,214
227007, ,214
227008, ,217
227011, ,218
227012, ,157
227016, ,187
227017, ,202
227021, ,243
227026, ,194
228004, ,216
228006, ,213
228007, ,179
228009, ,209
228010, ,181
231014,179, 
231043, ,175
232001, ,184
232002, ,186
232003,174, 
232004, ,206
232005,177, 
232006,177, 
232008, ,215
232009, ,192
232010, ,192
232011, ,214
232012, ,244
232013, ,225
232014, ,185
232017, ,200
232018, ,225
232022, ,189
232023, ,174
232024, ,202
232025,210, 
232026,207, 
232027, ,219
232028, ,203
232029, ,202
232030,220, 
232032, ,217
232050, ,217
232051, ,231
232052, ,206
232053, ,168
232054,179, 
232055,212, 
232056,170, 
232058, ,197
232059, ,204
232060, ,232
232063, ,211
232064, ,209
232065, ,219
232066, ,193
232069, ,175
232071, ,220
232072, ,225
232075, ,203
234001, ,193
234004, ,219
234007, ,230
234010, ,181
234011, ,250
234012, ,201
234017, ,239
234018, ,210
234019, ,209
234020, ,204
234021, ,215
234023,235, 
234024,166, 
234025,211, 
234026,222, 
234028,209, 
234029,220, 
234030,206, 
234031,170, 
234032,189, 
234033,167, 
234034,190, 
234035,171, 
234038, ,230
234040, ,208
234041, ,230
234042, ,215
234043, ,204
234045, ,238
234046, ,218
234047, ,194
234048, ,239
234049, ,197
234050, ,227
234051, ,197
