ID,DRIW_grade,DRIQ_grade
201001,216, 
201008,204, 
201010, ,191
201017, ,236
201020, ,201
201021, ,204
201022, ,234
201023, ,232
201024, ,187
201027, ,223
201028, ,205
201032, ,222
202001, ,228
202002, ,227
202003, ,194
202004, ,212
203001,260, 
203002,194, 
203003, ,243
203004, ,223
203006, ,196
203007, ,235
203008, ,176
203009, ,227
203010, ,231
203011, ,198
203012, ,241
203013, ,233
203015, ,199
203016, ,244
203017, ,205
203018, ,228
203028, ,168
204001, ,203
204004, ,216
204005, ,221
204006, ,199
204007, ,215
204010, ,213
204011, ,205
204012, ,236
204013, ,224
204014, ,247
204017, ,199
205001, ,207
205004,225, 
205008, ,183
205009,204, 
205010, ,233
205012, ,227
205013,222, 
205014,169, 
205016, ,227
205017, ,260
205019, ,207
205021, ,219
205028,236, 
205029,259, 
205030, ,235
205031, ,229
205032, ,232
205035, ,253
205036, ,151
205037, ,223
205039, ,197
205040, ,196
206001,232, 
206002, ,221
206004, ,231
206005,260, 
206007, ,221
206008, ,206
206009, ,208
206010, ,211
206011, ,233
207001,234, 
207002,241, 
207004,191, 
207006,247, 
207007,203, 
207009, ,188
207010, ,198
207011, ,209
207012, ,209
207013, ,177
207014, ,226
207015, ,224
207016, ,232
207017, ,181
207018, ,242
207019, ,240
207020, ,239
207021, ,224
207022,259, 
207023,254, 
207024,259, 
207025,208, 
207026,240, 
207027,240, 
207028,137, 
207029,222, 
207030,177, 
207031,221, 
207032,227, 
208001,254, 
208011,213, 
208013, ,182
208015, ,191
208017, ,235
208019, ,228
208023, ,157
208024, ,197
209007, ,228
209015, ,166
209019,200, 
210001,253, 
210007, ,199
210008, ,214
210009, ,218
210010, ,209
210011, ,219
210012, ,208
210016,249, 
210018,214, 
210019, ,212
210025, ,238
210030, ,202
210031, ,177
210032, ,185
210034, ,195
210035, ,205
210036, ,214
210037, ,188
210039,194, 
210040, ,219
210041, ,245
210042, ,192
210043, ,198
210044,206, 
210046, ,183
210047, ,176
210048, ,159
211002, ,235
211006, ,217
211007, ,205
211008,259, 
211009, ,185
211010, ,197
211014, ,214
211016, ,227
211017, ,196
211018, ,163
211020, ,210
211021, ,186
211024, ,201
211027, ,197
211028, ,229
211029, ,181
211030, ,198
211032, ,243
211033, ,216
211034, ,187
211036, ,163
211038, ,198
211039, ,201
211041, ,185
211042, ,222
211043,167, 
211049, ,194
211050, ,176
211051, ,187
211052, ,154
211056,219, 
211057, ,185
211062, ,187
211063, ,202
211064, ,209
211065, ,199
211066, ,189
211067, ,172
211068, ,194
211069, ,243
211071, ,190
211072,148, 
211073,240, 
211075, ,197
212001,157, 
212003, ,208
212004, ,200
212006, ,197
212007, ,185
212008, ,208
212009, ,196
212010, ,183
212011, ,204
212012, ,194
212013, ,217
212014, ,229
212015, ,240
212016, ,219
212017, ,246
212018, ,191
212019, ,214
212020, ,210
212021, ,184
212022, ,141
212023, ,184
212024, ,222
212025, ,209
212026, ,239
212027, ,225
212028, ,205
212029, ,190
213002, ,183
213003,204, 
213005, ,209
213008, ,226
213009,198, 
213010,183, 
213013, ,168
213016,188, 
213017, ,219
213018, ,225
213019,195, 
214001, ,234
214002,234, 
214003,226, 
214004, ,208
214005, ,205
214006, ,230
214012, ,210
214013, ,232
214015, ,239
214016,219, 
214017, ,233
214018, ,197
214021, ,249
214024, ,208
214025,260, 
214027, ,225
214028, ,214
214029, ,218
214031, ,218
214032, ,230
214033,228, 
214034, ,237
214035, ,187
214039, ,215
214040, ,236
214041, ,181
214046, ,228
214051, ,240
214052, ,213
214053, ,206
214054,193, 
214055,210, 
214056, ,197
214057,186, 
214058, ,198
214059,251, 
214060, ,243
214062,212, 
214064,211, 
214065,169, 
214066,176, 
214067, ,224
214068, ,218
214069, ,210
214071,215, 
214072, ,229
214073,155, 
214074, ,181
214075, ,158
215002,233, 
216004, ,240
216005, ,231
217001,222, 
217003,175, 
217005,179, 
217006,190, 
217007,199, 
217008, ,230
217011, ,190
217012, ,166
217013, ,177
217015, ,217
217016, ,212
217017, ,227
217019, ,206
217020, ,170
217021, ,194
217022, ,238
218001,223, 
218003, ,186
218004, ,191
218005, ,229
218006, ,224
218007, ,245
218009, ,230
218010, ,198
218011, ,222
218012, ,224
218013, ,203
218014, ,189
219006, ,186
219007, ,185
219008, ,212
220003,215, 
220004,230, 
220007,179, 
220008,186, 
220010,166, 
220011, ,204
220015, ,227
220016, ,213
220017, ,201
220018, ,174
220019, ,182
220020, ,164
220021, ,178
221001, ,185
221002, ,182
221003, ,194
221004, ,192
221005, ,162
221006, ,218
221007, ,163
221008, ,145
221009, ,212
221011, ,185
221012, ,215
221013, ,188
221014, ,179
221015, ,178
221016, ,161
221017, ,157
221018, ,158
221019, ,193
222023, ,234
222026, ,207
222028, ,216
222029, ,233
223002, ,185
223003, ,232
223005, ,199
223006, ,185
223007, ,225
223008, ,154
223009, ,162
223010, ,211
223011, ,209
223012, ,174
223013, ,223
223014, ,198
223015, ,220
223016, ,180
223017, ,192
223018, ,171
223019, ,205
223020, ,150
223021, ,198
223023, ,207
223024, ,188
223027, ,218
223028, ,200
223029, ,208
223030, ,188
223031, ,181
223032, ,173
223033, ,205
223034, ,172
223036, ,176
223037, ,191
223042, ,190
223047, ,203
223048, ,178
223049, ,202
223051, ,194
223052, ,170
223053, ,211
223054, ,180
223055, ,201
223056, ,209
223058, ,163
223061, ,170
223062, ,197
223063, ,198
223064, ,207
223065, ,148
223066, ,172
223067, ,176
223068, ,189
223069, ,162
223070, ,180
223071, ,154
223072, ,135
223073, ,174
223074, ,191
223075, ,173
225001,215, 
225002,212, 
225003,224, 
225004,223, 
225005, ,210
225006, ,200
225008,194, 
225009, ,187
225010, ,212
226001,223, 
226002,222, 
226003,204, 
226004,213, 
226005,212, 
226006,222, 
226007,219, 
226008,192, 
226010,226, 
226011,186, 
226013, ,229
226014, ,204
226015, ,208
226019, ,226
226020, ,192
226022, ,207
226023, ,202
226024, ,160
226025, ,182
226026, ,216
226027, ,203
226028, ,189
226029, ,236
226030, ,220
226032, ,244
226034, ,195
226036, ,216
226037, ,217
226038, ,207
226040, ,245
226041, ,256
226043, ,217
226044, ,251
226045, ,211
226046, ,200
226048, ,196
226049, ,208
226050, ,245
226053,170, 
226054,204, 
226055, ,159
226056,249, 
226057,219, 
226058,204, 
226059, ,225
226060,192, 
227005, ,204
227006, ,217
227007, ,216
227008, ,223
227011, ,218
227012, ,150
227016, ,191
227017, ,197
227021, ,247
227026, ,194
228004, ,203
228006, ,209
228007, ,180
228009, ,199
228010, ,175
231014,172, 
231043, ,171
232001, ,186
232002, ,184
232003,209, 
232004, ,210
232005,194, 
232006,203, 
232008, ,213
232009, ,189
232010, ,187
232011, ,211
232012, ,248
232013, ,217
232014, ,184
232017, ,199
232018, ,208
232022, ,191
232023, ,182
232024, ,206
232025,225, 
232026,216, 
232027, ,221
232028, ,200
232029, ,208
232030,234, 
232032, ,204
232050, ,214
232051, ,231
232052, ,204
232053, ,162
232054,177, 
232055,204, 
232056,168, 
232058, ,193
232059, ,205
232060, ,223
232063, ,214
232064, ,210
232065, ,215
232066, ,194
232069, ,174
232071, ,210
232072, ,229
232075, ,200
234001, ,190
234004, ,208
234007, ,219
234010, ,185
234011, ,242
234012, ,205
234017, ,234
234018, ,199
234019, ,206
234020, ,200
234021, ,203
234023,229, 
234024,166, 
234025,214, 
234026,225, 
234028,204, 
234029,207, 
234030,201, 
234031,171, 
234032,214, 
234033,194, 
234034,194, 
234035,196, 
234038, ,221
234040, ,211
234041, ,232
234042, ,207
234043, ,200
234045, ,233
234046, ,214
234047, ,191
234048, ,239
234049, ,194
234050, ,227
234051, ,189
235001, ,220
235003,239, 
235004,231, 
235005, ,203
235026, ,224
236001,218, 
236003,238, 
236004,257, 
236005,213, 
236006, ,196
236007, ,260
236008, ,242
236010, ,198
236013, ,245
236015, ,212
236016, ,224
236019, ,208
236024, ,189
236025, ,209
236026, ,214
236027, ,185
236029, ,235
236031, ,230
236041, ,226
236043, ,215
236044, ,211
236045,248, 
236047,179, 
236048,222, 
238002,246, 
239001, ,218
239011, ,183
239017, ,247
239019, ,230
239020, ,208
239021,201, 
239022, ,178
240002,242, 
240003,229, 
240004, ,218
