ID,group,raw
201001,2,98
201008,4,109
201010,6,117
201017,8,138
201020,10,112
201021,8,125
201022,12,127
201023,14,134
201024,14,126
201027,20,130
201028,24,157
201032,26,149
202001,26,152
202002,26,128
202003,26,132
202004,26,145
203001,2,105
203002,4,102
203003,6,125
203004,6,110
203006,10,114
203007,10,125
203008,12,127
203009,12,123
203010,13,132
203011,12,132
203012,12,146
203013,12,138
203015,15,130
203016,16,134
203017,20,140
203018,24,132
203028,13,123
204001,6,117
204004,8,125
204005,14,130
204006,6,119
204007,14,121
204010,20,132
204011,14,132
204012,12,123
204013,12,125
204014,14,126
204017,18,140
205001,6,125
205004,2,105
205008,6,123
205009,4,112
205010,16,136
205012,10,121
205013,2,102
205014,4,102
205016,16,140
205017,8,154
205019,10,127
205021,14,143
205028,4,127
205029,2,109
205030,23,173
205031,18,152
205032,23,134
205035,20,143
205036,5,121
205037,22,123
205039,16,121
205040,14,115
206001,2,105
206002,6,127
206004,14,145
206005,3,141
206007,17,132
206008,14,136
206009,13,125
206010,7,110
206011,6,117
207001,2,98
207002,2,98
207004,4,102
207006,4,116
207007,4,112
207009,8,114
207010,8,112
207011,10,119
207012,12,123
207013,12,114
207014,16,136
207015,15,134
207016,15,132
207017,15,115
207018,15,136
207019,15,149
207020,15,140
207021,17,140
207022,1,82
207023,1,109
207024,1,105
207025,1,102
207026,3,98
207027,1,105
207028,3,95
207029,1,98
207030,1,102
207031,3,109
207032,3,112
208001,2,127
208011,4,149
208013,6,132
208015,20,123
208017,18,143
208019,8,130
208023,10,123
208024,12,123
209007,24,138
209015,20,126
209019,1,109
210001,4,116
210007,12,127
210008,6,127
210009,6,127
210010,18,140
210011,20,136
210012,24,140
210016,2,112
210018,4,105
210019,11,117
210025,9,123
210030,25,136
210031,21,132
210032,17,132
210034,23,115
210035,15,123
210036,13,117
210037,5,110
210039,1,95
210040,17,119
210041,21,140
210042,23,125
210043,5,114
210044,1,112
210046,9,121
210047,21,126
210048,23,136
211002,10,146
211006,20,123
211007,8,121
211008,2,112
211009,22,138
211010,12,146
211014,12,138
211016,8,121
211017,20,130
211018,22,126
211020,20,134
211021,26,145
211024,16,123
211027,17,138
211028,9,125
211029,19,125
211030,23,138
211032,23,136
211033,11,123
211034,9,119
211036,17,130
211038,23,130
211039,17,128
211041,19,132
211042,19,134
211043,3,119
211049,23,132
211050,23,126
211051,9,117
211052,17,130
211056,3,119
211057,5,119
211062,15,128
211063,17,136
211064,21,130
211065,25,119
211066,21,132
211067,15,140
211068,21,123
211069,21,138
211071,21,134
211072,3,105
211073,3,116
211075,13,130
212001,4,98
212003,10,125
212004,8,123
212006,14,125
212007,16,126
212008,18,138
212009,18,132
212010,18,134
212011,20,132
212012,20,132
212013,20,130
212014,20,143
212015,22,149
212016,22,136
212017,23,165
212018,23,136
212019,23,140
212020,24,149
212021,24,138
212022,24,115
212023,24,136
212024,24,152
212025,26,138
212026,26,165
212027,26,145
212028,26,140
212029,26,130
213002,24,149
213003,1,105
213005,7,119
213008,7,127
213009,1,102
213010,3,112
213013,5,121
213016,3,112
213017,15,132
213018,19,134
213019,3,105
214001,6,125
214002,4,119
214003,4,119
214004,6,125
214005,6,114
214006,6,125
214012,14,128
214013,16,125
214015,10,121
214016,4,112
214017,20,138
214018,24,121
214021,8,146
214024,14,117
214025,2,127
214027,6,130
214028,18,138
214029,14,123
214031,8,127
214032,8,121
214033,2,116
214034,20,138
214035,20,126
214039,6,121
214040,10,130
214041,8,119
214046,6,127
214051,17,126
214052,11,127
214053,13,123
214054,3,119
214055,3,105
214056,7,119
214057,1,102
214058,9,127
214059,3,123
214060,15,132
214062,1,116
214064,1,105
214065,3,95
214066,1,109
214067,9,141
214068,17,145
214069,9,121
214071,1,109
214072,11,132
214073,3,105
214074,11,127
214075,7,114
215002,2,123
216004,8,132
216005,24,138
217001,2,80
217003,4,102
217005,4,91
217006,4,88
217007,4,105
217008,6,114
217011,6,110
217012,6,102
217013,6,110
217015,8,110
217016,8,123
217017,8,121
217019,12,125
217020,12,121
217021,16,143
217022,18,149
218001,2,102
218003,8,130
218004,10,117
218005,10,125
218006,12,135
218007,16,128
218009,22,134
218010,22,138
218011,24,140
218012,24,138
218013,24,126
218014,26,143
219006,7,114
219007,14,132
219008,13,125
220003,2,98
220004,2,102
220007,4,102
220008,4,109
220010,4,105
220011,6,123
220015,6,123
220016,8,125
220017,8,123
220018,8,105
220019,8,123
220020,8,119
220021,8,119
221001,24,132
221002,20,134
221003,22,130
221004,22,128
221005,22,143
221006,26,130
221007,22,126
221008,22,134
221009,22,115
221010,26,126
221011,24,134
221012,20,128
221013,20,126
221014,20,128
221015,26,138
221016,20,138
221017,22,119
221018,22,128
221019,26,130
222023,6,123
222026,22,136
222028,10,130
222029,6,132
223002,9,110
223003,6,117
223005,10,127
223006,8,117
223007,10,125
223008,10,127
223009,12,130
223010,13,126
223011,14,130
223012,10,135
223013,12,141
223014,14,117
223015,14,128
223016,12,123
223017,18,128
223018,18,117
223019,20,132
223020,18,125
223021,18,138
223023,18,134
223024,20,121
223027,24,132
223028,15,123
223029,7,114
223030,24,121
223031,24,143
223032,26,119
223033,9,119
223034,19,119
223036,13,126
223037,7,117
223042,21,119
223047,19,125
