grade_equiv,phmc_raw_min,phmc_raw_max,iwsc_raw_min,iwsc_raw_max,rlnc_raw_min,rlnc_raw_max,pwrc_raw_min,pwrc_raw_max,wpcc_raw_min,wpcc_raw_max,wmc_raw_min,wmc_raw_max,panc_raw_min,panc_raw_max,iwrc_raw_min,iwrc_raw_max,orec_raw_min,orec_raw_max,blnc_raw_min,blnc_raw_max,segc_raw_min,segc_raw_max,rwsc_raw_min,rwsc_raw_max,sre1c_raw_min,sre1c_raw_max,sre2c_raw_min,sre2c_raw_max,rnlc_raw_min,rnlc_raw_max,lmc_raw_min,lmc_raw_max,rpwc_raw_min,rpwc_raw_max,riwc_raw_min,riwc_raw_max,sslc_raw_min,sslc_raw_max,lvc_raw_min,lvc_raw_max,ganc_raw_min,ganc_raw_max
< start grade,0,19,0,4,0,35,0,20,0,8,0,3,0,15,0,20,-20,34,0,15,0,14,0,5,0,6,0,17,0,50,0,3,0,9,0,24,0,8,0,8,0,8
1-Fall,20,24,5,6,36,42,21,24,9,11,4,4,16,18,21,23,35,51,16,16,15,16,6,8,7,9,,,51,59,4,4,10,14,25,31,9,11,9,10,9,10
1-Spring,25,27,7,8,43,47,25,26,12,12, ,,,,24,24,52,60,,,17,17,9,10,10,11,,,60,64,,,15,17,32,39,12,12,11,12,11,11
2-Fall,28,29,9,11,48,52,27,28,13,14, ,,19,19,25,26,61,68,,,,,11,12,12,13,,,65,69,,,18,19,40,46,13,13,,,12,13
2-Spring,30,31,12,14,53,57,29,30,15,16,,,,,27,28,69,76,17,17,18,18,13,15,14,15,,,70,75,5,5,20,22,47,53,,,13,14,14,14
3-Fall,32,32,15,17,58,61,31,32,17,18,5,5,20,21,29,30,77,82,,,,,16,17,16,17,,,76,79,,,23,24,54,59,14,14,15,15,15,15
3-Spring,33,34,18,19,62,66,33,34,19,20, ,,,,,,83,87,,,19,19,18,19,18,18,,,80,83,,,25,26,60,63,,,16,17,16,16
4-Fall,35,36,20,21,67,70,35,35,21,22, ,,,,31,32,88,92,,,,,20,21,19,19,,,84,87,,,27,27,64,68,15,15,,,17,17
4-Spring,,,22,23,71,74,36,37,23,23, ,,22,22,,,93,96,18,18,,,22,23,20,20,,,88,91,6,6,28,29,69,71,,,18,19,18,18
5-Fall,37,38,24,24,75,77,,,24,25,6,6,,,33,34,97,100,,,20,20,24,24,21,21,,,92,95,,,30,31,72,74,,,,,19,19
5-Spring,39,39,25,26,78,81,38,39,26,27, ,,23,23,,,101,103,,,,,25,26,22,24,,,96,99,,,32,32,75,77,16,16,20,21,20,20
6-Fall,,,27,27,82,84,,,28,28, ,,,,35,35,104,106,19,19,,,27,27,,,18,21,100,103,,,33,33,78,79,,,,,21,21
6-Spring,,,28,28,85,87,40,40,29,30, ,,24,24,,,107,109,,,,,28,29,,,22,22,104,106,7,7,34,34,80,81,,,22,22,,
7-Fall,40,41,29,29,88,90,41,41,31,31,7,7,,,36,36,110,112,20,20,21,21,30,30,,,23,24,107,109,,,35,35,82,82,,,,,22,23
7-Spring,,,,,91,93,,,32,32,,,,,,,113,115,,,,,31,31,,,25,25,110,112,,,36,36,83,84,,,23,24,,
8-Fall,,,30,31,94,96,42,42,33,33,,,25,25,,,116,117,,,,,32,32,,,26,26,113,114,,,37,37,85,85,,,,,,
8-Spring,,,,,97,98,,,34,35,,,,,37,37,118,120,21,21,,,33,33,,,,,115,117,,,,,86,86,,,25,25,24,24
9-Fall,,,,,99,101,,,36,36,,,,,,,121,122,,,,,34,34,,,27,27,118,120,,,38,38,,,,,,,,
9-Spring,,,32,32,102,103,43,43,37,37,,,,,,,123,125,,,,,,,,,28,28,121,122,,,,,87,87,17,17,26,26,25,25
10-Fall,,,,,104,105,,,—,,,,,,38,39,126,128,22,22,,,35,36,,,,,123,124,,,39,39,,,,,,,,
10-Spring,,,,,106,107,,,38,38,,,26,26,,,129,131,,,,,,,,,29,29,125,126,,,,,88,88,,,27,27,,
11-Fall,,,33,34,108,109,,,39,39,,,,,,,132,135,,,22,22,,,,,,,127,128,,,40,40,,,,,,,,
11-Spring,42,42,,,110,111,44,44,—,,,,,,,,136,139,,,,,,,,,30,30,129,130,8,8,,,89,90,,,28,28,26,26
12-Fall,,,,,112,112,,,40,40,8,8,,,40,41,140,144,23,23,,,37,37,,,31,32,131,131,,,41,41,,,,,,,,
12-Spring,43,43,35,37,113,122,45,45,—,, ,,27,28,42,43,145,160,24,24,23,23,38,38,,,33,36,132,132,9,9,42,44,91,95,18,20,29,30,27,28
>stop grade,44,45,38,44,123,200,46,47,41,59,9,20,29,40,44,55,161,384,25,29,24,29,39,44,25,63,37,51,133,200,10,20,45,60,96,100,21,42,31,38,29,40
