raw,18.0-23.11,24.0-39.11,40.0-49.11,50.0-59.11,60.0-69.11,70.0-89.11
0,49,48,49,49,51,54
1,51,50,50,51,52,56
2,52,52,52,53,54,57
3,54,54,54,54,56,59
4,56,55,55,56,57,60
5,58,57,57,58,59,62
6,59,59,59,59,60,63
7,61,60,60,61,62,65
8,63,62,62,63,64,67
9,65,64,64,64,65,68
10,66,66,65,66,67,70
11,68,67,67,67,68,71
12,70,69,69,69,70,73
13,71,71,70,71,72,74
14,73,72,72,72,73,76
15,75,74,74,74,75,78
16,77,76,75,76,77,79
17,78,77,77,77,78,81
18,80,79,79,79,80,83
19,82,81,80,81,82,85
20,84,83,82,82,83,88
21,86,85,84,84,86,91
22,88,86,86,86,89,94
23,90,88,88,88,91,97
24,92,90,90,90,94,99
25,94,92,91,93,97,101
26,96,94,93,96,100,102
27,98,96,95,97,101,104
28,100,99,98,100,103,105
29,103,101,100,101,104,106
30,106,103,102,102,105,107
31,108,106,104,104,107,109
32,112,109,107,107,109,111
33,115,112,110,109,110,114
34,120,116,113,112,113,117
35,125,120,117,116,117,121
36,130,125,121,120,121,126
37,130,130,126,125,126,130
38,130,130,130,130,130,130
39,130,130,130,130,130,130
40,130,130,130,130,130,130
