raw,6.0-6.3,6.4-6.7,6.8-6.11,7.0-7.3,7.4-7.7,7.8-7.11,8.0-8.5,8.6-8.11,9.0-9.5,9.6-9.11,10.0-10.5,10.6-10.11,11.0-11.5,11.6-11.11,12.0-12.5,12.6-12.11,13.0-13.11,14.0-14.11,15.0-16.11,17.0-18.11
0,74,74,73,72,71,70,70,69,67,65,64,62,61,60,59,58,57,55,53,51
1,76,75,75,74,73,72,72,70,68,66,65,63,62,61,60,59,58,56,54,52
2,78,77,77,76,75,74,74,71,69,67,66,65,63,62,61,60,59,57,55,53
3,80,79,79,78,77,76,75,72,70,69,67,66,64,63,62,61,60,58,56,54
4,82,81,80,79,78,77,76,74,72,70,68,67,65,64,63,62,61,59,57,55
5,84,83,82,81,80,79,78,75,73,71,69,68,67,65,64,63,62,60,58,56
6,86,85,84,83,82,81,78,76,74,72,71,69,68,66,65,64,63,61,59,57
7,88,87,86,85,84,82,80,77,75,73,72,70,69,68,66,65,64,62,60,58
8,90,89,88,87,85,83,81,78,76,75,73,71,70,69,68,66,65,63,61,59
9,92,91,90,89,86,84,82,80,78,76,74,72,71,70,69,68,66,64,62,60
10,94,93,92,90,88,86,83,81,79,77,75,74,72,71,70,69,67,65,63,61
11,96,95,94,91,89,87,85,82,80,78,76,75,73,72,71,70,68,66,64,62
12,97,97,96,93,91,88,86,84,81,79,78,76,74,73,72,71,69,67,65,63
13,99,98,97,94,92,90,87,85,83,81,79,77,76,74,73,72,70,69,66,64
14,100,99,98,96,93,91,89,86,84,82,80,78,77,75,74,73,71,70,67,65
15,103,100,99,97,95,93,90,87,85,83,81,79,78,77,75,74,73,71,69,66
16,107,102,100,99,96,94,91,89,86,84,82,81,79,78,76,75,74,72,70,67
17,111,107,103,100,98,95,93,90,88,85,83,82,80,79,78,76,75,73,71,68
18,112,108,105,102,99,97,94,91,89,87,85,83,81,80,79,77,76,74,72,70
19,114,110,107,103,101,98,95,93,90,88,86,84,83,81,80,79,77,75,73,71
20,116,112,108,105,102,100,97,94,91,89,87,85,84,82,81,80,78,76,74,72
21,118,114,110,107,104,101,98,95,93,90,88,87,85,84,82,81,79,78,75,73
22,120,116,112,108,105,103,100,97,94,92,90,88,86,85,83,82,81,79,76,74
23,122,117,113,110,107,104,101,98,95,93,91,89,87,86,85,83,82,80,78,75
24,125,119,115,112,108,106,103,99,97,94,92,90,89,87,86,85,83,81,79,77
25,127,121,117,113,110,107,104,101,98,96,94,92,90,88,87,86,84,82,80,78
26,129,124,119,115,112,109,106,102,100,97,95,93,91,90,88,87,85,84,81,79
27,130,126,121,117,113,110,107,104,101,98,96,94,93,91,90,88,87,85,83,80
28,130,128,123,119,115,112,109,105,102,100,98,96,94,92,91,90,88,86,84,82
29,130,130,125,121,117,114,110,107,104,101,99,97,95,94,92,91,89,87,85,83
30,130,130,127,123,119,116,112,108,105,103,100,98,97,95,94,92,91,89,86,85
31,130,130,129,125,121,117,114,110,107,104,102,100,98,96,95,94,92,90,88,86
32,130,130,130,127,123,119,115,112,108,106,103,101,99,98,96,95,93,91,89,87
33,130,130,130,129,125,121,117,113,110,107,105,103,101,99,98,96,95,93,91,89
34,130,130,130,130,127,123,119,115,112,109,106,104,102,101,99,98,96,94,92,90
35,130,130,130,130,129,125,121,117,113,110,108,106,104,102,101,99,98,96,94,92
36,130,130,130,130,130,127,123,119,115,112,109,107,105,104,102,101,99,97,95,93
37,130,130,130,130,130,129,125,120,117,114,111,109,107,105,104,102,101,99,97,95
38,130,130,130,130,130,130,127,122,119,116,113,111,109,107,105,104,102,100,98,97
39,130,130,130,130,130,130,129,124,121,117,115,112,110,108,107,106,104,102,100,98
40,130,130,130,130,130,130,130,127,123,119,116,114,112,110,109,107,106,104,102,100
41,130,130,130,130,130,130,130,129,125,121,118,116,114,112,110,109,107,106,104,102
42,130,130,130,130,130,130,130,130,127,123,120,118,116,114,112,111,109,107,106,104
43,130,130,130,130,130,130,130,130,129,126,122,120,118,116,114,113,111,109,107,106
44,130,130,130,130,130,130,130,130,130,128,125,122,120,118,116,115,113,111,109,108
45,130,130,130,130,130,130,130,130,130,130,127,124,122,120,118,117,115,113,112,109
46,130,130,130,130,130,130,130,130,130,130,130,127,124,122,121,119,117,116,114,111
47,130,130,130,130,130,130,130,130,130,130,130,129,127,125,123,122,120,118,116,113
48,130,130,130,130,130,130,130,130,130,130,130,130,130,128,126,124,122,121,118,115
49,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129,127,125,123,121,117
50,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,128,126,123,119
51,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129,126,121
52,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129,123
53,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,125
54,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,127
55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,128
56,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
57,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
58,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
59,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
60,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
