raw,18.0-23.11,24.0-39.11,40.0-49.11,50.0-59.11,60.0-69.11,70.0-89.11
0,40,40,40,40,42,47
1,40,40,40,40,44,49
2,40,40,40,40,46,51
3,40,40,40,40,48,53
4,40,40,40,40,50,55
5,40,40,40,40,52,57
6,40,40,40,41,53,59
7,40,40,40,43,55,61
8,40,40,40,45,57,63
9,40,40,41,47,58,65
10,42,41,43,49,59,66
11,44,43,45,51,61,67
12,46,46,47,53,62,69
13,48,48,49,54,63,70
14,50,49,51,56,65,71
15,52,51,53,57,66,72
16,53,53,54,59,67,74
17,55,55,56,60,68,75
18,56,56,57,62,69,76
19,58,58,59,63,71,78
20,59,59,60,64,72,79
21,61,60,62,65,73,80
22,62,62,63,67,74,81
23,63,63,64,68,75,82
24,65,64,65,69,76,83
25,66,66,67,70,77,84
26,67,67,68,71,78,85
27,68,68,69,72,79,86
28,69,69,70,73,80,87
29,71,70,71,74,81,88
30,72,71,72,76,82,89
31,73,72,73,77,83,90
32,74,74,75,78,84,91
33,75,75,76,79,85,92
34,76,76,77,80,86,93
35,77,77,78,81,87,94
36,78,78,79,82,88,95
37,79,79,80,83,89,96
38,80,80,81,84,90,97
39,81,81,82,84,90,98
40,82,82,83,85,91,99
41,83,83,84,86,92,100
42,84,84,85,87,93,101
43,85,85,85,88,94,102
44,86,86,86,89,95,103
45,87,86,87,90,96,104
46,88,87,88,91,97,105
47,89,88,89,92,98,106
48,89,89,90,93,98,107
49,90,90,91,94,99,108
50,91,91,92,95,100,109
51,92,92,93,95,101,110
52,93,93,94,96,102,111
53,94,94,95,97,103,112
54,95,95,95,98,104,113
55,96,96,96,99,105,114
56,97,96,97,100,106,115
57,98,97,98,101,106,115
58,98,98,99,102,107,116
59,99,99,99,102,108,116
60,100,100,100,103,109,117
61,101,101,101,104,110,118
62,102,102,102,105,111,119
63,103,103,103,106,112,120
64,104,103,104,107,113,121
65,105,104,105,108,114,122
66,105,105,106,109,115,123
67,106,106,107,110,116,124
68,107,107,108,110,116,125
69,108,108,109,111,117,126
70,109,109,110,112,118,127
71,110,110,111,113,119,128
72,111,111,111,114,120,129
73,112,112,112,115,121,130
74,113,112,113,116,122,130
75,114,113,114,117,123,130
76,114,114,115,118,125,130
77,115,115,116,119,126,130
78,116,116,117,120,127,130
79,117,117,118,121,128,130
80,118,118,119,122,129,130
81,119,119,120,123,130,130
82,120,120,121,124,130,130
83,121,121,122,125,130,130
84,122,122,123,126,130,130
85,123,123,124,127,130,130
86,124,124,125,129,130,130
87,126,125,126,130,130,130
88,127,126,127,130,130,130
89,128,128,129,130,130,130
90,129,129,130,130,130,130
91,130,130,130,130,130,130
92,130,130,130,130,130,130
93,130,130,130,130,130,130
