ss,RFQ_combo_raw,RFW_combo_raw
130,248--260,250--260
129,246--247,-
128,245,248--249
127,243--244,-
126,242,246--247
125,240--241,-
124,239,239--245
123,237--238,238
122,236,-
121,234--235,236--237
120,233,235
119,231--232,232--234
118,229--230,-
117,228,231
116,226--227,230
115,225,227--229
114,223--224,226
113,221--222,225
112,220,224
111,218--219,223
110,216--217,221--222
109,215,218--220
108,213--214,216--217
107,211--212,211--215
106,210,210
105,208--209,209
104,206--207,207--208
103,204--205,203--206
102,202--203,201--202
101,201,191--200
100,199--200,187--190
99,197--198,185--186
98,195--196,181--184
97,193--194,179--180
96,191--192,178
95,189--190,176--177
94,187--188,175
93,185--186,168--174
92,183--184,167
91,181--182,164--166
90,179--180,163
89,177--178,162
88,175--176,-
87,173--174,161
86,171--172,-
85,168--170,159--160
84,166--167,158
83,164--165,157
82,161--163,154--156
81,159--160,153
80,157--158,-
79,154--156,145--152
78,152--153,-
77,149--151,-
76,147--148,139--144
75,145--146,-
74,141--144,132--138
73,139--140,-
72,136--138,129--131
71,133--135,-
70,130--132,-
69,127--129,126--128
68,124--126,-
67,122--123,-
66,117--121,-
65,114--116,-
64,110--113,-
63,108--109,-
62,105--107,80--125
61,80--104,-
60,-,-
59,-,-
58,-,-
57,-,-
56,-,-
55,-,-
54,-,-
53,-,-
52,-,-
51,-,-
50,-,-
49,-,-
48,-,-
47,-,-
46,-,-
45,-,-
44,-,-
43,-,-
42,-,-
41,-,-
40,-,-
