raw,18.0-23.11,24.0-39.11,40.0-49.11,50.0-59.11,60.0-69.11,70.0-89.11
0,54,55,56,57,58,62
1,56,56,57,58,60,64
2,58,58,59,60,62,65
3,59,60,60,62,63,67
4,61,61,62,63,65,68
5,62,63,64,65,66,70
6,64,64,65,66,68,71
7,65,66,67,68,69,73
8,67,67,68,69,71,74
9,68,69,70,71,72,76
10,70,70,71,72,74,77
11,72,72,73,74,75,79
12,73,73,74,75,77,80
13,75,75,76,77,78,82
14,76,76,77,78,80,84
15,78,78,79,80,82,85
16,79,80,80,82,83,87
17,81,81,82,83,85,88
18,82,83,84,85,86,90
19,84,84,85,86,88,92
20,86,86,87,88,90,94
21,87,87,88,90,91,95
22,89,89,90,91,93,97
23,90,91,92,93,95,99
24,92,92,93,95,97,101
25,94,94,95,96,98,103
26,96,96,97,98,100,105
27,97,98,99,100,102,107
28,99,100,101,102,104,109
29,101,101,103,104,106,111
30,103,103,105,106,108,113
31,105,105,107,108,110,116
32,107,108,109,110,113,119
33,109,110,111,113,115,122
34,111,112,113,115,118,126
35,114,114,116,118,121,130
36,117,117,119,121,125,130
37,119,120,122,125,129,130
38,123,123,126,129,130,130
39,127,128,130,130,130,130
40,130,130,130,130,130,130
