raw,18.0-23.11,24.0-39.11,40.0-49.11,50.0-59.11,60.0-69.11,70.0-89.11
0,40,40,40,40,40,40
1,40,40,40,40,40,40
2,40,40,40,40,40,40
3,40,40,40,40,40,40
4,40,40,40,40,40,42
5,42,40,40,40,40,43
6,43,40,40,40,40,44
7,45,40,40,40,40,45
8,46,40,40,40,40,46
9,48,40,40,40,40,47
10,49,40,40,40,40,48
11,51,40,40,40,40,49
12,52,41,40,40,40,50
13,54,42,40,40,42,51
14,55,44,40,40,43,53
15,57,45,40,40,44,54
16,58,47,41,41,46,55
17,60,49,42,43,47,56
18,61,50,44,44,48,57
19,63,52,46,46,50,59
20,65,53,47,47,51,60
21,66,55,49,49,53,61
22,68,57,50,51,54,62
23,69,58,52,52,56,64
24,71,60,54,54,57,65
25,73,62,55,55,59,67
26,74,63,57,57,60,68
27,76,65,59,59,62,69
28,78,67,61,61,64,71
29,79,69,62,62,65,72
30,81,71,64,64,67,74
31,83,72,66,66,69,76
32,84,74,68,68,71,77
33,86,76,70,70,73,79
34,88,78,72,72,75,81
35,90,80,74,74,77,82
36,91,82,76,76,79,84
37,93,84,78,78,81,86
38,95,86,81,81,83,88
39,97,88,83,83,86,90
40,99,90,85,86,88,92
41,101,93,88,88,91,94
42,102,95,90,91,94,97
43,104,97,93,94,97,99
44,106,99,96,97,100,102
45,108,102,99,100,104,105
46,110,104,102,104,108,108
47,112,106,105,108,112,112
48,114,109,108,112,118,116
49,116,112,112,117,128,121
50,118,114,116,124,130,129
51,120,117,120,130,130,130
52,122,120,125,130,130,130
53,124,123,130,130,130,130
54,126,126,130,130,130,130
55,129,129,130,130,130,130
