raw,18.0-23.11,24.0-39.11,40.0-49.11,50.0-59.11,60.0-69.11,70.0-89.11
1,40,40,40,40,40,44
2,40,40,40,40,40,46
3,40,40,40,40,40,48
4,40,40,40,40,40,50
5,41,40,40,40,40,51
6,42,40,40,40,42,53
7,44,40,40,40,43,55
8,45,41,40,41,45,57
9,47,42,41,42,47,58
10,48,44,42,44,48,60
11,50,45,44,45,50,62
12,51,47,45,47,52,64
13,53,48,47,49,53,65
14,55,50,48,50,55,67
15,56,51,50,52,57,69
16,58,53,52,54,59,70
17,60,54,53,56,61,72
18,61,56,55,57,63,74
19,63,58,57,59,64,75
20,65,60,58,61,66,77
21,67,61,60,63,68,79
22,69,63,62,65,70,80
23,71,65,64,67,72,82
24,73,67,66,69,74,84
25,75,69,68,71,76,85
26,77,71,70,73,78,87
27,79,74,73,75,80,89
28,82,76,75,78,82,91
29,84,78,77,80,84,92
30,86,81,80,82,86,94
31,89,83,82,85,88,96
32,91,86,85,87,91,98
33,94,89,88,90,93,100
34,97,92,91,93,95,103
35,100,95,94,95,97,105
36,103,99,98,98,100,108
37,106,103,101,101,102,111
38,110,107,105,104,105,117
39,114,112,110,108,108,120
40,118,118,115,111,111,120
41,123,127,121,115,114,120
42,129,130,130,120,117,120
43,130,130,130,125,121,120
44,130,130,130,130,127,120
