raw,agestrat
7,70.0-89.11
8,70.0-89.11
9,70.0-89.11
10,70.0-89.11
11,70.0-89.11
12,70.0-89.11
13,70.0-89.11
14,70.0-89.11
15,70.0-89.11
16,70.0-89.11
17,70.0-89.11
18,60.0-69.11
18,70.0-89.11
19,60.0-69.11
19,70.0-89.11
20,60.0-69.11
20,70.0-89.11
21,60.0-69.11
21,70.0-89.11
22,60.0-69.11
22,70.0-89.11
23,60.0-69.11
23,70.0-89.11
24,60.0-69.11
24,70.0-89.11
25,60.0-69.11
25,70.0-89.11
26,60.0-69.11
26,70.0-89.11
27,60.0-69.11
27,70.0-89.11
28,60.0-69.11
28,70.0-89.11
29,60.0-69.11
29,70.0-89.11
30,60.0-69.11
30,70.0-89.11
31,60.0-69.11
31,70.0-89.11
32,60.0-69.11
32,70.0-89.11
33,60.0-69.11
33,70.0-89.11
34,60.0-69.11
34,70.0-89.11
35,60.0-69.11
35,70.0-89.11
36,60.0-69.11
37,40.0-49.11
37,50.0-59.11
38,40.0-49.11
38,50.0-59.11
39,40.0-49.11
39,50.0-59.11
40,40.0-49.11
40,50.0-59.11
41,40.0-49.11
41,50.0-59.11
42,40.0-49.11
42,50.0-59.11
43,40.0-49.11
43,50.0-59.11
44,40.0-49.11
44,50.0-59.11
45,24.0-39.11
45,40.0-49.11
45,50.0-59.11
46,40.0-49.11
46,50.0-59.11
47,40.0-49.11
47,50.0-59.11
