raw,18.0-23.11,24.0-39.11,40.0-49.11,50.0-59.11,60.0-69.11,70.0-89.11
1,49,49,50,51,53,60
2,51,51,52,53,55,63
3,53,53,54,55,57,65
4,55,55,56,57,59,68
5,56,57,57,59,61,70
6,58,58,59,60,63,72
7,60,60,61,62,65,75
8,61,62,62,64,67,77
9,63,63,64,66,69,79
10,65,65,66,67,70,81
11,66,66,67,69,72,84
12,68,68,69,71,74,86
13,69,70,71,72,76,88
14,71,71,72,74,77,90
15,72,73,74,76,79,92
16,74,74,75,77,81,94
17,75,76,77,79,83,96
18,77,77,78,80,84,97
19,78,79,80,82,86,99
20,80,80,81,84,88,101
21,81,82,83,85,89,103
22,83,83,84,87,91,104
23,84,85,86,88,93,106
24,86,86,88,90,95,108
25,87,88,89,92,96,109
26,89,89,91,93,98,111
27,90,91,92,95,100,112
28,92,92,94,96,101,114
29,93,94,95,98,103,115
30,95,95,97,100,105,116
31,96,97,99,101,106,118
32,98,98,100,103,108,119
33,100,100,102,105,110,120
34,101,102,103,106,111,122
35,103,103,105,108,113,123
36,105,105,107,110,115,124
37,106,107,109,112,117,125
38,108,109,110,114,118,127
39,110,110,112,115,120,128
40,112,112,114,117,122,129
41,114,114,116,119,124,130
42,116,116,118,121,125,130
43,118,119,121,123,127,130
44,120,121,123,126,129,130
45,123,124,125,128,130,130
46,126,126,128,130,130,130
47,129,130,130,130,130,130
48,130,130,130,130,130,130
49,130,130,130,130,130,130
50,130,130,130,130,130,130
51,130,130,130,130,130,130
