raw,18.0-23.11,24.0-39.11,40.0-49.11,50.0-59.11,60.0-69.11,70.0-89.11
0,44,43,43,45,49,57
1,45,44,44,46,50,58
2,46,45,45,47,50,58
3,48,46,46,48,51,59
4,49,47,47,49,52,60
5,50,49,48,50,53,60
6,51,50,49,51,54,61
7,53,51,50,52,55,62
8,54,52,51,53,55,63
9,55,53,52,54,56,63
10,57,55,54,54,57,64
11,58,56,55,55,58,65
12,59,57,56,56,59,66
13,61,58,57,57,60,66
14,62,60,58,58,61,67
15,63,61,59,59,62,68
16,65,62,60,60,62,69
17,66,64,61,62,63,70
18,68,65,63,63,64,70
19,69,66,64,64,65,71
20,70,68,65,65,66,72
21,72,69,66,66,67,73
22,73,71,68,67,68,74
23,75,72,69,68,69,75
24,76,74,70,69,70,76
25,78,75,72,71,71,77
26,80,77,73,72,73,78
27,81,78,74,73,74,79
28,83,80,76,74,75,80
29,84,82,77,76,76,81
30,86,83,79,77,77,82
31,88,85,80,78,78,83
32,89,87,82,80,80,84
33,91,89,84,81,81,85
34,93,91,86,83,82,86
35,95,93,87,84,84,87
36,97,95,89,86,85,89
37,99,97,92,88,87,90
38,101,100,94,90,88,91
39,103,102,96,92,90,93
40,105,105,99,94,92,95
41,107,108,102,96,94,96
42,110,112,106,99,96,98
43,112,117,111,102,98,100
44,115,126,118,107,101,103
