raw,18.0-23.11,24.0-39.11,40.0-49.11,50.0-59.11,60.0-69.11,70.0-89.11
1,40,40,40,40,47,67
2,40,40,40,40,50,69
3,40,40,40,43,53,71
4,40,40,40,46,55,73
5,40,40,41,49,58,76
6,40,40,45,52,61,78
7,41,43,48,55,63,80
8,45,47,51,58,66,82
9,49,50,55,60,69,85
10,53,54,58,63,71,87
11,57,57,61,66,74,89
12,61,61,64,69,77,91
13,65,65,68,72,79,94
14,69,68,71,75,82,96
15,72,72,74,78,85,98
16,76,76,77,81,87,100
17,80,79,81,84,90,103
18,84,83,84,87,93,105
19,88,86,87,90,95,107
20,92,90,90,93,98,109
21,96,94,94,96,101,112
22,100,97,97,99,103,114
23,103,101,100,102,106,116
24,107,105,103,105,109,119
25,111,108,107,108,111,121
26,115,112,110,111,114,123
27,119,115,113,114,117,125
28,123,119,116,117,119,128
29,127,123,120,120,122,130
