raw,1-Fall,1-Spring,2-Fall,2-Spring,3-Fall,3-Spring,4-Fall,4-Spring,5-Fall,5-Spring,6-Fall,6-Spring,7-Fall,7-Spring,8-Fall,8-Spring,9-Fall,9-Spring,10-Fall,10-Spring,11-Fall,11-Spring,12-Fall,12-Spring
0,65,63,61,59,57,56,54,53,52,52,51,50,50,49,49,49,49,49,49,49,49,50,50,50
1,68,65,63,61,59,58,56,55,54,53,53,52,51,51,51,51,50,50,50,51,51,51,51,52
2,70,68,65,63,61,60,58,57,56,55,54,54,53,53,52,52,52,52,52,52,52,52,53,53
3,72,70,67,65,63,62,60,59,58,57,56,55,55,54,54,54,53,53,53,53,53,54,54,54
4,75,72,70,68,66,64,62,61,60,59,58,57,56,56,55,55,55,55,55,55,55,55,55,56
5,77,75,72,70,68,66,64,63,62,60,59,59,58,57,57,57,56,56,56,56,56,56,57,57
6,80,77,74,72,70,68,66,65,63,62,61,60,60,59,59,58,58,58,58,58,58,58,58,58
7,82,79,77,74,72,70,68,67,65,64,63,62,61,61,60,60,60,59,59,59,59,59,59,60
8,85,82,79,77,74,72,71,69,67,66,65,64,63,63,62,62,61,61,61,61,61,61,61,61
9,87,84,82,79,77,75,73,71,70,68,67,66,65,64,64,63,63,63,62,62,62,62,62,63
10,90,87,84,82,79,77,75,73,72,70,69,68,67,66,66,65,65,64,64,64,64,64,64,64
11,92,89,87,84,82,79,77,75,74,72,71,70,69,68,67,67,66,66,66,65,65,65,66,66
12,95,92,89,87,84,82,80,78,76,74,73,72,71,70,69,69,68,68,67,67,67,67,67,67
13,97,95,92,89,87,84,82,80,78,77,75,74,73,72,71,70,70,69,69,69,69,69,69,69
14,100,97,95,92,89,87,85,83,81,79,78,76,75,74,73,72,72,71,71,71,71,71,71,71
15,103,100,97,95,92,89,87,85,83,81,80,78,77,76,75,74,74,73,73,73,72,72,72,73
16,106,103,100,97,95,92,90,88,86,84,82,81,79,78,77,77,76,75,75,75,74,74,74,74
17,108,106,103,100,98,95,93,90,88,87,85,83,82,81,80,79,78,77,77,77,76,76,76,76
18,111,109,106,103,101,98,96,93,91,89,87,86,84,83,82,81,80,80,79,79,79,78,78,79
19,114,112,109,107,104,101,99,96,94,92,90,89,87,86,85,84,83,82,82,81,81,81,81,81
20,117,115,113,110,107,105,102,100,97,95,93,92,90,89,87,86,85,85,84,84,83,83,83,83
21,120,118,116,114,111,108,106,103,101,99,97,95,93,92,90,89,88,87,87,86,86,86,86,86
22,124,122,120,117,115,112,110,107,105,103,100,98,97,95,94,92,91,91,90,89,89,89,89,89
23,127,125,123,121,119,117,115,112,110,107,105,103,101,99,98,96,95,94,93,93,93,93,93,93
24,130,129,127,126,124,122,120,118,115,113,110,108,106,104,102,101,100,99,98,97,97,97,98,112
25,130,130,130,130,130,129,128,127,125,123,121,118,115,112,110,108,107,106,105,105,109,107,106,112
