raw,agestrat
1,8-Fall
1,9-Spring
1,10-Fall
1,10-Spring
1,11-Fall
1,11-Spring
1,12-Fall
1,12-Spring
2,9-Fall
2,10-Fall
2,10-Spring
2,11-Fall
2,11-Spring
2,12-Fall
2,12-Spring
3,9-Spring
3,10-Fall
3,10-Spring
3,11-Fall
3,11-Spring
3,12-Fall
3,12-Spring
4,9-Spring
4,10-Fall
4,10-Spring
4,11-Fall
4,11-Spring
4,12-Fall
4,12-Spring
5,10-Fall
5,10-Spring
5,11-Fall
5,11-Spring
5,12-Fall
5,12-Spring
6,9-Spring
6,10-Spring
6,11-Fall
6,11-Spring
6,12-Fall
6,12-Spring
7,10-Fall
7,11-Fall
7,11-Spring
7,12-Fall
7,12-Spring
8,10-Fall
8,10-Spring
8,11-Fall
8,11-Spring
8,12-Fall
8,12-Spring
9,10-Spring
9,11-Fall
9,11-Spring
9,12-Fall
9,12-Spring
10,10-Fall
10,11-Fall
10,11-Spring
10,12-Fall
10,12-Spring
11,10-Spring
11,11-Spring
11,12-Fall
11,12-Spring
12,11-Fall
12,11-Spring
12,12-Fall
12,12-Spring
13,10-Spring
13,11-Spring
13,12-Fall
13,12-Spring
14,11-Fall
14,12-Fall
14,12-Spring
15,11-Spring
15,12-Fall
15,12-Spring
16,11-Spring
16,12-Spring
17,12-Fall
17,12-Spring
18,12-Fall
18,12-Spring
19,12-Fall
20,12-Fall
21,12-Spring
22,12-Spring
25,12-Fall
25,12-Spring
