raw,6.0-6.3,6.4-6.7,6.8-6.11,7.0-7.3,7.4-7.7,7.8-7.11,8.0-8.5,8.6-8.11,9.0-9.5,9.6-9.11,10.0-10.5,10.6-10.11,11.0-11.5,11.6-11.11,12.0-12.5,12.6-12.11,13.0-13.11,14.0-14.11,15.0-16.11,17.0-18.11
1,73,70,67,64,62,60,57,54,52,50,48,46,44,43,41,40,40,40,40,40
2,75,71,68,65,63,61,58,55,53,51,49,47,45,44,42,41,40,40,40,40
3,76,73,69,67,64,62,59,56,54,51,49,48,46,44,43,42,40,40,40,40
4,77,74,71,68,65,63,60,57,55,52,50,48,47,45,44,42,41,40,40,40
5,79,75,72,69,66,64,61,58,56,53,51,49,47,46,44,43,41,40,40,40
6,80,76,73,70,67,65,62,59,57,54,52,50,48,47,45,44,42,40,40,40
7,81,78,74,71,69,66,63,60,58,55,53,51,49,48,46,45,43,41,40,40
8,83,79,76,73,70,67,64,61,59,56,54,52,50,48,47,46,44,42,40,40
9,84,80,77,74,71,68,66,62,60,57,55,53,51,49,48,46,45,42,40,40
10,86,82,78,75,72,70,67,64,61,58,56,54,52,50,49,47,45,43,40,40
11,87,83,80,77,74,71,68,65,62,59,57,55,53,51,50,48,46,44,41,40
12,89,85,81,78,75,72,69,66,63,60,58,56,54,52,51,49,47,45,42,40
13,90,86,83,79,76,74,71,67,64,62,59,57,55,53,52,50,48,46,43,40
14,92,88,84,81,78,75,72,68,65,63,60,58,56,54,53,51,49,47,44,41
15,94,90,86,82,79,76,73,70,67,64,62,59,57,55,54,52,50,48,45,42
16,96,91,87,84,81,78,75,71,68,65,63,61,59,57,55,53,51,49,46,43
17,97,93,89,86,82,79,76,73,69,67,64,62,60,58,56,55,53,50,47,44
18,99,95,91,87,84,81,78,74,71,68,65,63,61,59,57,56,54,51,48,46
19,101,97,93,89,86,83,79,76,72,69,67,65,62,60,59,57,55,53,50,47
20,103,99,95,91,88,84,81,77,74,71,68,66,64,62,60,59,56,54,51,48
21,105,101,97,93,89,86,83,79,76,73,70,67,65,63,62,60,58,55,53,50
22,108,103,99,95,91,88,85,81,77,74,72,69,67,65,63,62,59,57,54,52
23,110,105,101,97,93,90,86,83,79,76,73,71,69,67,65,63,61,59,56,54
24,112,107,103,99,95,92,88,84,81,78,75,73,70,68,67,65,63,60,58,56
25,115,110,105,101,98,94,91,87,83,80,77,75,72,70,68,67,65,62,60,58
26,117,112,108,104,100,97,93,89,85,82,79,77,74,72,70,69,67,65,62,61
27,120,115,110,106,103,99,95,91,87,84,81,79,77,75,73,71,69,67,65,64
28,123,118,113,109,105,102,98,94,90,87,84,81,79,77,75,74,72,70,68,67
29,126,121,116,112,108,104,100,96,93,89,86,84,82,80,78,76,74,73,71,70
30,130,124,119,115,111,107,103,99,95,92,89,87,84,83,81,79,78,76,74,73
31,130,128,123,118,114,111,107,102,99,95,92,90,88,86,84,83,81,79,78,76
32,130,130,127,122,118,114,110,106,102,99,96,93,91,89,88,87,85,83,81,79
33,130,130,130,126,122,118,114,110,106,103,100,97,95,93,92,91,89,87,85,82
34,130,130,130,130,126,122,118,114,110,107,104,102,100,98,96,95,93,91,88,85
35,130,130,130,130,130,127,123,119,115,112,109,106,104,103,101,100,98,95,91,87
36,130,130,130,130,130,130,128,124,120,117,114,112,109,108,106,104,102,99,94,89
37,130,130,130,130,130,130,130,130,126,122,120,117,115,112,110,108,106,102,97,92
38,130,130,130,130,130,130,130,130,130,128,125,122,120,117,115,113,109,105,100,94
39,130,130,130,130,130,130,130,130,130,130,130,128,125,122,119,116,113,108,103,96
40,130,130,130,130,130,130,130,130,130,130,130,130,129,126,123,120,116,111,105,98
41,130,130,130,130,130,130,130,130,130,130,130,130,130,130,127,124,119,114,107,100
42,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,127,122,117,110,102
43,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,125,119,112,104
44,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,128,122,114,106
45,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,124,116,108
46,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,127,118,110
47,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129,121,112
48,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,123,114
49,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,125,116
50,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,128,119
51,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,122
52,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129
53,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129
54,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129
55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129
