raw,6.0-6.3,6.4-6.7,6.8-6.11,7.0-7.3,7.4-7.7,7.8-7.11,8.0-8.5,8.6-8.11,9.0-9.5,9.6-9.11,10.0-10.5,10.6-10.11,11.0-11.5,11.6-11.11,12.0-12.5,12.6-12.11,13.0-13.11,14.0-14.11,15.0-16.11,17.0-18.11
0,63,62,60,58,57,55,53,51,49,48,46,44,43,41,40,40,40,40,40,40
1,74,72,70,69,67,66,64,62,60,58,56,55,53,52,51,50,48,47,45,45
2,83,82,80,78,77,75,74,72,70,68,67,65,64,62,61,60,59,57,56,55
3,92,91,89,88,86,85,83,81,79,78,76,74,73,72,71,69,68,67,65,64
4,101,99,98,96,95,93,92,90,88,86,85,83,82,81,79,78,77,75,74,73
5,109,108,106,104,103,101,100,98,96,94,93,91,90,89,87,86,85,83,82,81
6,117,115,113,112,110,109,107,105,103,102,100,99,97,96,95,94,92,91,89,88
7,124,122,120,119,117,116,114,112,110,109,107,106,104,103,102,101,99,97,96,94
8,130,129,127,125,124,122,121,119,117,115,113,112,110,109,108,107,105,104,102,100
9,130,130,130,130,130,128,127,125,123,121,119,118,116,115,114,113,111,109,107,105
10,130,130,130,130,130,130,130,130,128,126,125,123,122,120,119,118,116,114,112,110
11,130,130,130,130,130,130,130,130,130,130,130,128,127,125,124,123,121,119,117,115
12,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129,128,126,124,121,119
13,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,128,126,123
14,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129,127
15,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
16,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
17,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
18,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
19,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
20,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
