raw,6.0-6.3,6.4-6.7,6.8-6.11,7.0-7.3,7.4-7.7,7.8-7.11,8.0-8.5,8.6-8.11,9.0-9.5,9.6-9.11,10.0-10.5,10.6-10.11,11.0-11.5,11.6-11.11,12.0-12.5,12.6-12.11,13.0-13.11,14.0-14.11,15.0-16.11,17.0-23.4
1,68,66,65,63,62,61,60,58,57,56,56,55,54,54,53,53,52,51,51,50
2,72,70,68,67,65,64,63,61,60,59,58,57,56,55,55,54,54,53,52,51
3,76,74,72,70,68,67,65,64,62,61,60,59,58,57,57,56,55,55,54,52
4,80,77,75,73,71,70,68,66,65,63,62,61,60,59,59,58,57,56,55,54
5,84,81,79,77,75,73,71,69,67,66,65,63,62,62,61,60,59,58,57,55
6,88,85,82,80,78,76,74,72,70,68,67,66,65,64,63,62,61,60,58,57
7,92,89,86,83,81,79,77,75,73,71,69,68,67,66,65,64,63,62,60,58
8,97,93,90,87,85,82,80,78,75,73,72,70,69,68,67,66,65,63,62,59
9,101,97,94,91,88,86,83,80,78,76,74,73,71,70,69,68,67,65,63,61
10,106,102,98,95,92,89,86,83,81,79,77,75,74,72,71,70,69,67,65,62
11,111,106,102,98,95,93,90,86,84,81,79,78,76,74,73,72,71,69,67,64
12,116,110,106,102,99,96,93,89,87,84,82,80,78,77,75,74,73,71,69,65
13,121,115,110,106,103,100,96,93,90,87,85,83,81,79,78,76,75,73,71,67
14,126,120,115,111,107,103,100,96,93,90,87,85,83,81,80,79,77,75,72,69
15,130,125,120,115,111,107,103,99,96,93,90,88,86,84,82,81,79,77,74,70
16,130,130,124,119,115,111,107,103,99,96,93,90,88,86,85,83,81,79,76,72
17,130,130,129,124,119,115,111,106,102,99,96,93,91,89,87,85,83,81,78,74
18,130,130,130,129,124,119,114,110,105,102,99,96,94,91,90,88,86,83,80,76
19,130,130,130,130,128,124,118,113,109,105,102,99,96,94,92,90,88,85,82,78
20,130,130,130,130,130,128,123,117,112,108,105,102,99,97,95,93,90,88,84,80
21,130,130,130,130,130,130,127,121,116,112,108,105,102,100,97,95,93,90,87,82
22,130,130,130,130,130,130,130,125,120,115,111,108,105,102,100,98,95,92,89,84
23,130,130,130,130,130,130,130,129,124,119,115,111,108,105,103,101,98,95,91,86
24,130,130,130,130,130,130,130,130,128,123,118,114,111,108,106,103,101,97,94,88
25,130,130,130,130,130,130,130,130,130,126,122,118,114,111,109,106,103,100,96,91
26,130,130,130,130,130,130,130,130,130,130,126,121,118,115,112,109,106,103,99,93
27,130,130,130,130,130,130,130,130,130,130,130,125,121,118,115,112,109,105,101,96
28,130,130,130,130,130,130,130,130,130,130,130,129,125,121,118,116,112,108,104,99
29,130,130,130,130,130,130,130,130,130,130,130,130,129,125,122,119,115,111,107,102
30,130,130,130,130,130,130,130,130,130,130,130,130,130,129,125,122,119,114,110,105
31,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129,126,122,118,113,109
32,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,126,121,117,114
33,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,125,120,120
34,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129,124,129
35,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129,130
36,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
37,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
38,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
