raw,1-Fall,1-Spring,2-Fall,2-Spring,3-Fall,3-Spring,4-Fall,4-Spring,5-Fall,5-Spring
1,82,75,69,63,57,52,46,41,40,40
2,84,78,72,66,60,55,49,44,40,40
3,87,81,75,69,63,58,53,47,42,40
4,90,84,77,72,66,61,56,51,46,41
5,93,86,80,74,69,64,59,54,49,45
6,95,89,83,77,72,67,62,57,53,48
7,98,92,86,80,75,69,65,60,56,52
8,101,94,88,83,77,72,68,63,59,56
9,103,97,91,86,80,75,71,67,63,59
10,106,100,94,88,83,78,74,70,66,63
11,109,103,97,91,86,81,77,73,69,66
12,112,105,99,94,89,84,80,76,72,70
13,114,108,102,97,91,87,83,79,76,73
14,117,111,105,99,94,90,85,82,79,76
15,120,113,108,102,97,93,88,85,82,79
16,122,116,110,105,100,95,91,88,85,83
17,125,119,113,108,103,98,94,91,88,86
18,128,122,116,110,105,101,97,94,91,89
19,130,124,119,113,108,104,100,97,94,92
20,130,127,121,116,111,107,103,99,97,95
21,130,130,124,119,114,109,106,102,100,98
22,130,130,127,121,117,112,108,105,102,100
23,130,130,129,124,119,115,111,108,105,103
24,130,130,130,127,122,118,114,111,108,106
25,130,130,130,130,125,120,117,113,111,109
26,130,130,130,130,128,123,119,116,113,111
27,130,130,130,130,130,126,122,119,116,114
28,130,130,130,130,130,129,125,121,119,116
29,130,130,130,130,130,130,127,124,121,119
30,130,130,130,130,130,130,130,127,124,121
31,130,130,130,130,130,130,130,129,126,124
32,130,130,130,130,130,130,130,130,129,126
33,130,130,130,130,130,130,130,130,130,129
34,130,130,130,130,130,130,130,130,130,130
35,130,130,130,130,130,130,130,130,130,130
36,130,130,130,130,130,130,130,130,130,130
37,130,130,130,130,130,130,130,130,130,130
38,130,130,130,130,130,130,130,130,130,130
39,130,130,130,130,130,130,130,130,130,130
40,130,130,130,130,130,130,130,130,130,130
41,130,130,130,130,130,130,130,130,130,130
42,130,130,130,130,130,130,130,130,130,130
43,130,130,130,130,130,130,130,130,130,130
44,130,130,130,130,130,130,130,130,130,130
45,130,130,130,130,130,130,130,130,130,130
46,130,130,130,130,130,130,130,130,130,130
47,130,130,130,130,130,130,130,130,130,130
48,130,130,130,130,130,130,130,130,130,130
49,130,130,130,130,130,130,130,130,130,130
50,130,130,130,130,130,130,130,130,130,130
51,130,130,130,130,130,130,130,130,130,130
52,130,130,130,130,130,130,130,130,130,130
53,130,130,130,130,130,130,130,130,130,130
54,130,130,130,130,130,130,130,130,130,130
55,130,130,130,130,130,130,130,130,130,130
56,130,130,130,130,130,130,130,130,130,130
57,130,130,130,130,130,130,130,130,130,130
58,130,130,130,130,130,130,130,130,130,130
59,130,130,130,130,130,130,130,130,130,130
60,130,130,130,130,130,130,130,130,130,130
61,130,130,130,130,130,130,130,130,130,130
62,130,130,130,130,130,130,130,130,130,130
63,130,130,130,130,130,130,130,130,130,130
