raw,1-Fall,1-Spring,2-Fall,2-Spring,3-Fall,3-Spring,4-Fall,4-Spring,5-Fall,5-Spring,6-Fall,6-Spring,7-Fall,7-Spring,8-Fall,8-Spring,9-Fall,9-Spring,10-Fall,10-Spring,11-Fall,11-Spring,12-Fall,12-Spring
0,83,79,75,72,68,65,62,59,56,54,52,50,48,47,45,44,43,43,42,42,41,41,41,41
1,84,81,77,74,70,67,64,61,58,56,54,52,50,49,47,46,45,44,44,43,43,43,43,43
2,86,83,79,76,72,69,66,63,60,58,56,54,52,50,49,48,47,46,46,45,45,45,45,45
3,88,85,81,78,74,71,68,65,63,60,58,56,54,52,51,50,49,48,47,47,46,46,46,46
4,90,87,83,80,77,73,70,67,65,62,60,58,56,54,53,52,51,50,49,49,48,48,48,48
5,92,89,85,82,79,76,73,70,67,64,62,60,58,56,55,54,53,52,51,50,50,50,50,50
6,94,91,87,84,81,78,75,72,69,67,64,62,60,59,57,56,55,54,53,52,52,52,52,52
7,96,93,89,86,83,80,77,74,72,69,67,65,63,61,59,58,57,56,55,54,54,54,54,54
8,98,95,91,88,85,82,79,77,74,71,69,67,65,63,61,60,59,58,57,56,56,56,56,56
9,100,97,94,91,88,85,82,79,76,74,72,69,67,65,64,62,61,60,59,59,58,58,58,58
10,102,99,96,93,90,87,84,82,79,77,74,72,70,68,66,65,64,62,62,61,60,60,60,60
11,105,101,98,95,92,90,87,84,82,79,77,75,72,71,69,67,66,65,64,63,63,63,63,63
12,107,104,100,98,95,92,90,87,84,82,80,77,75,73,72,70,69,68,67,66,65,65,65,65
13,109,106,103,100,97,95,92,90,87,85,83,80,78,76,75,73,72,70,69,69,68,68,68,68
14,112,109,106,103,100,98,95,93,90,88,86,84,82,80,78,76,75,73,73,72,71,71,71,71
15,115,111,108,106,103,101,98,96,94,91,89,87,85,83,81,80,78,77,76,75,75,74,75,75
16,118,115,111,109,106,104,102,99,97,95,93,91,89,87,85,84,82,81,80,79,79,78,79,79
17,123,118,115,112,110,107,105,103,101,99,97,95,93,92,90,88,87,85,84,84,83,83,83,84
18,130,123,119,116,114,111,109,108,106,104,102,101,99,97,95,94,92,91,90,89,89,89,90,91
19,130,130,126,122,119,117,115,113,112,110,109,107,106,105,103,102,100,99,98,98,97,98,99,100
20,130,130,130,130,129,128,124,123,123,124,124,123,122,122,123,129,120,117,115,113,112,112,111,112
