raw,6.0-6.3,6.4-6.7,6.8-6.11,7.0-7.3,7.4-7.7,7.8-7.11,8.0-8.5,8.6-8.11,9.0-9.5,9.6-9.11,10.0-10.5,10.6-10.11,11.0-11.5,11.6-11.11,12.0-12.5,12.6-12.11,13.0-13.11,14.0-14.11,15.0-16.11,17.0-23.4
1,83,80,78,76,75,73,71,69,68,66,65,64,63,62,61,61,60,59,59,60
2,85,83,81,79,77,75,74,72,70,68,67,66,65,64,63,63,62,61,60,62
3,88,86,83,81,80,78,76,74,72,71,69,68,67,66,65,64,63,63,62,63
4,91,88,86,84,82,80,78,76,74,73,71,70,69,68,67,66,65,64,63,64
5,93,91,88,86,84,82,80,78,76,74,73,72,70,69,68,68,67,66,65,65
6,96,93,90,88,86,84,82,80,78,76,75,73,72,71,70,69,68,67,66,66
7,98,95,93,90,88,86,84,82,80,78,76,75,74,73,72,71,70,69,68,67
8,100,97,95,92,90,88,86,84,82,80,78,77,75,74,73,72,71,70,69,68
9,102,99,97,94,92,90,88,85,83,81,80,78,77,76,75,74,73,71,70,69
10,104,101,99,96,94,92,90,87,85,83,81,80,78,77,76,75,74,73,71,70
11,106,103,101,98,96,94,91,89,87,85,83,81,80,79,77,76,75,74,73,71
12,108,105,102,100,98,96,93,91,88,86,84,83,81,80,79,78,77,75,74,72
13,110,107,104,102,99,97,95,92,90,88,86,84,83,81,80,79,78,76,75,73
14,112,109,106,103,101,99,96,94,91,89,87,86,84,83,82,80,79,78,76,74
15,114,111,108,105,103,100,98,95,93,91,89,87,85,84,83,82,80,79,77,75
16,116,112,110,107,104,102,100,97,94,92,90,88,87,85,84,83,82,80,78,76
17,117,114,111,108,106,104,101,98,96,93,91,90,88,87,85,84,83,81,79,77
18,119,116,113,110,108,105,103,100,97,95,93,91,89,88,87,85,84,82,80,78
19,121,118,114,112,109,107,104,101,98,96,94,92,91,89,88,87,85,83,81,79
20,123,119,116,113,111,108,105,102,100,98,95,94,92,90,89,88,86,84,82,79
21,124,121,118,115,112,110,107,104,101,99,97,95,93,92,90,89,87,86,84,80
22,126,122,119,116,114,111,108,105,103,100,98,96,94,93,91,90,88,87,85,81
23,127,124,121,118,115,113,110,107,104,101,99,97,96,94,93,91,90,88,86,82
24,129,125,122,119,116,114,111,108,105,103,100,99,97,95,94,92,91,89,87,83
25,130,127,124,121,118,115,112,109,106,104,102,100,98,96,95,94,92,90,88,84
26,130,128,125,122,119,117,114,111,108,105,103,101,99,97,96,95,93,91,89,84
27,130,130,127,123,121,118,115,112,109,106,104,102,100,99,97,96,94,92,90,85
28,130,130,128,125,122,119,116,113,110,108,105,103,101,100,98,97,95,93,91,86
29,130,130,129,126,123,121,118,114,111,109,107,104,103,101,99,98,96,94,92,87
30,130,130,130,128,125,122,119,116,113,110,108,106,104,102,100,99,97,95,93,88
31,130,130,130,129,126,123,120,117,114,111,109,107,105,103,102,100,98,96,94,88
32,130,130,130,130,127,125,122,118,115,112,110,108,106,104,103,101,99,97,95,89
33,130,130,130,130,129,126,123,119,116,114,111,109,107,105,104,102,100,98,96,90
34,130,130,130,130,130,127,124,121,118,115,112,110,108,106,105,103,101,99,97,91
35,130,130,130,130,130,128,125,122,119,116,114,111,109,108,106,104,102,100,98,91
36,130,130,130,130,130,130,127,123,120,117,115,112,110,109,107,105,104,101,99,92
37,130,130,130,130,130,130,128,124,121,118,116,114,112,110,108,107,105,102,100,93
38,130,130,130,130,130,130,129,125,122,120,117,115,113,111,109,108,106,103,101,94
39,130,130,130,130,130,130,130,127,123,121,118,116,114,112,110,109,107,104,102,95
40,130,130,130,130,130,130,130,128,125,122,119,117,115,113,111,110,108,105,103,95
41,130,130,130,130,130,130,130,129,126,123,120,118,116,114,112,111,109,107,104,96
42,130,130,130,130,130,130,130,130,127,124,122,119,117,115,114,112,110,108,105,97
43,130,130,130,130,130,130,130,130,128,125,123,120,118,116,115,113,111,109,106,98
44,130,130,130,130,130,130,130,130,129,126,124,121,119,117,116,114,112,110,107,99
45,130,130,130,130,130,130,130,130,130,128,125,123,121,119,117,115,113,111,108,99
46,130,130,130,130,130,130,130,130,130,129,126,124,122,120,118,116,114,112,109,100
47,130,130,130,130,130,130,130,130,130,130,127,125,123,121,119,118,116,113,110,101
48,130,130,130,130,130,130,130,130,130,130,128,126,124,122,120,119,117,114,111,102
49,130,130,130,130,130,130,130,130,130,130,130,127,125,123,121,120,118,115,112,103
50,130,130,130,130,130,130,130,130,130,130,130,128,126,124,123,121,119,117,114,104
51,130,130,130,130,130,130,130,130,130,130,130,130,127,126,124,122,120,118,115,104
52,130,130,130,130,130,130,130,130,130,130,130,130,129,127,125,124,121,119,116,105
53,130,130,130,130,130,130,130,130,130,130,130,130,130,128,126,125,123,120,117,106
54,130,130,130,130,130,130,130,130,130,130,130,130,130,129,128,126,124,122,119,107
55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129,127,125,123,120,108
56,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129,127,125,122,109
57,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,128,126,124,110
58,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,128,126,111
59,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,128,112
