raw,1-Fall,1-Spring,2-Fall,2-Spring,3-Fall,3-Spring,4-Fall,4-Spring,5-Fall,5-Spring,6-Fall,6-Spring,7-Fall,7-Spring,8-Fall,8-Spring,9-Fall,9-Spring,10-Fall,10-Spring,11-Fall,11-Spring,12-Fall,12-Spring
0,74,70,66,62,59,56,54,52,50,48,47,47,46,46,46,46,46,46,47,47,48,49,49,50
1,75,71,67,64,60,57,55,53,51,49,48,48,47,47,47,47,47,47,47,48,49,49,50,51
2,76,72,69,65,62,58,56,54,52,50,49,48,48,48,47,47,47,48,48,49,49,50,51,51
3,77,74,70,66,63,60,57,55,53,51,50,49,49,48,48,48,48,48,49,49,50,50,51,52
4,79,75,71,67,64,61,58,56,54,52,51,50,50,49,49,49,49,49,49,50,50,51,52,53
5,80,76,72,68,65,62,59,57,55,53,52,51,50,50,50,50,50,50,50,51,51,52,52,53
6,81,77,73,70,66,63,60,58,56,54,53,52,51,51,50,50,50,51,51,51,52,52,53,54
7,82,78,74,71,68,64,62,59,57,55,54,53,52,52,51,51,51,51,52,52,52,53,54,54
8,83,79,76,72,69,66,63,60,58,56,55,54,53,53,52,52,52,52,52,53,53,54,54,55
9,84,80,77,73,70,67,64,61,59,58,56,55,54,53,53,53,53,53,53,53,54,54,55,56
10,85,82,78,75,71,68,65,63,60,59,57,56,55,54,54,54,53,54,54,54,55,55,56,56
11,86,83,79,76,72,69,66,64,62,60,58,57,56,55,55,54,54,54,55,55,55,56,56,57
12,87,84,80,77,74,70,68,65,63,61,59,58,57,56,56,55,55,55,55,56,56,56,57,58
13,89,85,82,78,75,72,69,66,64,62,60,59,58,57,56,56,56,56,56,56,57,57,58,58
14,90,86,83,79,76,73,70,67,65,63,61,60,59,58,57,57,57,57,57,57,57,58,58,59
15,91,87,84,81,77,74,71,69,66,64,62,61,60,59,58,58,58,58,58,58,58,59,59,60
16,92,89,85,82,79,75,73,70,67,65,64,62,61,60,59,59,59,58,58,59,59,59,60,61
17,93,90,86,83,80,77,74,71,69,66,65,63,62,61,60,60,59,59,59,59,60,60,61,61
18,94,91,88,84,81,78,75,72,70,68,66,64,63,62,61,61,60,60,60,60,61,61,61,62
19,95,92,89,86,82,79,76,74,71,69,67,65,64,63,62,62,61,61,61,61,61,62,62,63
20,97,93,90,87,84,81,78,75,72,70,68,66,65,64,63,63,62,62,62,62,62,63,63,64
21,98,95,91,88,85,82,79,76,74,71,69,68,66,65,64,64,63,63,63,63,63,63,64,64
22,99,96,93,90,86,83,80,78,75,73,71,69,67,66,65,65,64,64,64,64,64,64,65,65
23,100,97,94,91,88,85,82,79,76,74,72,70,69,67,66,66,65,65,65,65,65,65,66,66
24,101,98,95,92,89,86,83,80,78,75,73,71,70,69,68,67,66,66,66,66,66,66,67,67
25,103,100,97,93,90,87,85,82,79,77,75,73,71,70,69,68,67,67,67,67,67,67,68,68
26,104,101,98,95,92,89,86,83,81,78,76,74,72,71,70,69,68,68,68,68,68,68,68,69
27,105,102,99,96,93,90,87,85,82,80,77,75,74,72,71,70,70,69,69,69,69,69,69,70
28,106,104,101,98,95,92,89,86,83,81,79,77,75,74,72,71,71,70,70,70,70,70,71,71
29,108,105,102,99,96,93,90,88,85,83,80,78,76,75,74,73,72,71,71,71,71,71,72,72
30,109,106,103,101,98,95,92,89,87,84,82,80,78,76,75,74,73,73,72,72,72,72,73,73
31,111,108,105,102,99,96,94,91,88,86,83,81,79,78,77,75,75,74,74,73,73,74,74,74
32,112,109,106,104,101,98,95,93,90,87,85,83,81,79,78,77,76,75,75,75,75,75,75,75
33,114,111,108,105,102,100,97,94,92,89,87,85,83,81,80,78,78,77,76,76,76,76,76,77
34,115,112,110,107,104,101,99,96,93,91,89,86,84,83,81,80,79,78,78,78,77,77,78,78
35,117,114,111,109,106,103,101,98,95,93,91,88,86,85,83,82,81,80,79,79,79,79,79,79
36,119,116,113,110,108,105,102,100,97,95,93,90,88,86,85,84,82,82,81,81,81,81,81,81
37,121,118,115,112,110,107,104,102,99,97,95,92,90,89,87,86,84,84,83,82,82,82,82,83
38,123,120,117,114,112,109,107,104,102,99,97,95,93,91,89,88,86,86,85,84,84,84,84,84
39,126,122,119,116,114,111,109,106,104,102,99,97,95,93,91,90,89,88,87,87,86,86,86,86
40,129,125,121,119,116,114,111,109,107,104,102,100,98,96,94,93,91,90,89,89,89,88,89,89
41,130,128,124,121,119,116,114,112,109,107,105,103,101,99,97,96,94,93,92,92,91,91,91,91
42,130,130,128,125,122,119,117,115,113,110,108,106,104,103,101,99,98,97,96,95,95,94,94,95
43,130,130,130,129,125,123,120,118,116,114,112,111,109,107,105,104,102,101,100,100,99,99,99,99
44,130,130,130,130,130,128,125,123,121,119,117,116,115,113,112,111,110,109,108,107,107,106,106,105
45,130,130,130,130,130,130,130,130,128,126,125,124,124,124,125,125,125,125,125,124,122,120,118,115
