T_score,parent_raw,self_raw,teacher_raw
80,100--104,130--140,106--120
79,97--99,125--129,-
78,-,123--124,-
77,95--96,122,105
76,92--94,120--121,-
75,91,-,-
74,89--90,117--119,103--104
73,88,115--116,101--102
72,87,112--114,98--100
71,85--86,111,95--97
70,84,107--110,94
69,82--83,106,93
68,80--81,104--105,-
67,78--79,103,92
66,77,101--102,89--91
65,75--76,100,87--88
64,74,98--99,85--86
63,72--73,97,84
62,71,95--96,83
61,70,94,81--82
60,68--69,92--93,78--80
59,67,91,77
58,65--66,90,75--76
57,63--64,88--89,73--74
56,62,87,71--72
55,60--61,86,69--70
54,59,84--85,68
53,57--58,83,66--67
52,56,81--82,65
51,55,79--80,64
50,53--54,78,62--63
49,52,76--77,61
48,50--51,74--75,58--60
47,48--49,72--73,56--57
46,46--47,71,54--55
45,45,69--70,51--53
44,43--44,67--68,49--50
43,41--42,66,46--48
42,39--40,63--65,44--45
41,38,61--62,42--43
40,26--37,25--60,30--41
