raw,6.0-8.11,9.0-18.11
30,40,40
31,40,40
32,40,40
33,40,40
34,40,40
35,40,40
36,40,40
37,40,40
38,40,40
39,40,40
40,40,40
41,40,40
42,40,40
43,40,40
44,40,40
45,40,41
46,40,41
47,40,42
48,40,43
49,40,43
50,40,44
51,40,44
52,41,45
53,42,46
54,42,46
55,43,47
56,43,47
57,44,48
58,44,48
59,45,49
60,45,49
61,46,50
62,46,50
63,47,51
64,47,52
65,48,52
66,48,53
67,49,53
68,49,54
69,50,54
70,50,55
71,51,55
72,51,56
73,52,57
74,52,57
75,53,58
76,53,58
77,54,59
78,54,59
79,55,60
80,55,61
81,56,61
82,56,62
83,57,63
84,57,63
85,58,64
86,58,65
87,59,66
88,59,66
89,60,67
90,61,68
91,61,69
92,62,71
93,62,73
94,63,75
95,64,75
96,64,75
97,65,75
98,66,75
99,66,75
100,67,75
101,68,75
102,69,75
103,70,75
104,71,75
105,73,75
106,76,75
107,76,75
108,76,75
109,76,75
110,76,75
111,76,75
112,76,75
113,76,75
114,76,75
115,76,75
116,76,75
117,76,75
118,76,75
119,76,75
120,76,75
