ID,noweight,DOB,admin_date,gender,educ,ethnic,region,demo_wt,sege_sum,sege_sum_w,rlne_sum,rlne_sum_w,rhme_sum,rhme_sum_w,snwe_sum,snwe_sum_w,lswe_sum,lswe_sum_w,lske_sum,lske_sum_w
201001,,8/1/2013,3/7/2019,female,no_college,white_asian_other,northeast_south,1.2800177008642613,16,17,58,56,17,16,15,14,16,15,26,24
201008,,11/22/2011,3/7/2019,male,no_college,white_asian_other,northeast_south,1.3676645601445174,8,9,96,98,26,26,20,20,30,30,28,28
201010,,10/2/2010,5/21/2019,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,21,20,59,50,20,16,28,23,37,30,33,27
203001,,6/19/2012,6/22/2019,male,college_plus,white_asian_other,midwest_west,0.9804988569883356,18,15,74,54,23,16,23,16,32,23,28,20
203002,1,1/11/2012,5/20/2019,male,college_plus,white_asian_other,midwest_west,0.9804988569883356,14,12,87,65,12,9,18,13,31,23,22,16
203003,,5/14/2011,6/3/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,21,16,109,75,29,19,30,20,38,25,33,22
203004,,5/4/2011,5/1/2019,female,college_plus,hispanic,midwest_west,0.7782540386225849,24,16,78,46,28,16,29,17,37,21,33,19
204001,,1/24/2011,5/11/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,24,21,78,62,29,22,27,21,37,29,33,25
204006,,4/11/2011,6/20/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,16,14,102,81,25,19,23,18,35,27,32,25
205001,,10/20/2010,4/8/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,18,16,66,52,24,18,21,16,36,28,32,25
205004,,7/10/2013,4/18/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,18,16,65,51,18,14,19,15,21,16,25,19
205008,1,2/18/2011,5/18/2019,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,24,20,75,56,24,18,19,14,32,23,30,22
205009,,9/27/2011,5/19/2019,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,16,15,79,67,19,16,16,13,34,28,30,25
205013,,8/28/2012,5/24/2019,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,13,12,61,52,28,23,15,12,23,19,26,21
205014,1,8/7/2011,5/20/2019,male,no_college,black,northeast_south,0.9929471410719494,17,14,49,37,10,7,9,7,14,10,19,14
205028,1,8/28/2012,6/5/2019,male,college_plus,hispanic,northeast_south,0.9551728082406651,16,13,50,37,29,21,23,17,37,27,33,24
205029,,8/29/2013,6/15/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,18,16,90,71,20,15,21,16,36,28,33,25
205036,,5/30/2012,7/9/2019,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,17,16,48,41,20,16,20,16,33,27,30,25
206001,,1/24/2013,3/25/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,20,18,63,50,24,18,16,12,18,14,25,19
206002,,8/28/2011,3/25/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,23,20,102,81,27,21,20,15,37,29,33,25
206005,,1/29/2012,6/17/2019,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,20,19,92,78,27,22,30,25,37,30,32,26
206011,,6/21/2011,6/19/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,20,18,88,70,30,23,28,22,36,28,33,25
207001,,1/9/2013,5/23/2019,male,college_plus,black,midwest_west,0.7118584229220695,10,6,40,21,12,6,15,8,17,9,18,9
207002,,8/12/2013,5/23/2019,female,no_college,white_asian_other,midwest_west,1.1143433504707432,5,5,20,17,9,7,13,11,18,15,17,14
207004,1,7/29/2012,5/30/2019,male,no_college,hispanic,midwest_west,1.0097655575913482,5,4,22,16,18,13,17,12,22,16,13,10
207006,,2/17/2012,5/31/2019,male,no_college,black,midwest_west,0.8644287053806907,12,9,34,22,26,16,19,12,26,16,27,17
207007,,9/26/2012,5/31/2019,male,no_college,black,midwest_west,0.8644287053806907,14,10,34,22,25,16,21,13,24,15,25,16
207008,1,12/24/2010,5/30/2019,male,no_college,hispanic,midwest_west,1.0097655575913482,17,14,10,7,11,8,10,7,18,13,16,12
207022,,2/20/2013,7/12/2019,female,no_college,black,midwest_west,0.8090317437965512,12,8,35,21,17,10,19,11,22,13,26,15
207023,,7/12/2014,8/14/2019,male,college_plus,black,midwest_west,0.7118584229220695,5,3,45,24,16,8,18,9,20,10,16,8
207024,1,5/29/2014,8/13/2019,female,no_college,black,midwest_west,0.8090317437965512,6,5,50,37,12,9,17,12,22,16,18,13
207025,,4/15/2014,8/26/2019,male,college_plus,black,midwest_west,0.7118584229220695,5,3,43,23,14,7,17,9,23,12,23,12
207026,,3/5/2013,8/26/2019,female,no_college,hispanic,midwest_west,0.9450546757630534,16,13,82,58,24,17,20,14,35,24,24,17
207027,,4/26/2014,8/26/2019,female,college_plus,black,midwest_west,0.6662389363611814,5,3,50,25,13,6,14,7,18,9,17,8
207028,,1/18/2013,8/27/2019,male,college_plus,black,midwest_west,0.7118584229220695,3,2,46,25,11,6,9,5,15,8,15,8
207029,,7/5/2014,8/29/2019,female,no_college,black,midwest_west,0.8090317437965512,7,5,51,31,13,8,19,11,20,12,22,13
