raw,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-7.5,7.6-7.11,8.0-8.5,8.6-9.3
1,79,74,69,64,59,54,50,47,43
2,81,76,72,67,61,56,52,49,45
3,84,79,74,69,63,58,54,51,47
4,87,81,77,71,65,60,56,52,49
5,89,84,79,73,67,62,58,54,51
6,92,87,81,76,70,64,60,56,53
7,95,89,84,78,72,67,62,58,55
8,98,92,86,80,74,69,64,61,57
9,100,94,89,83,76,71,66,63,59
10,103,97,91,85,79,73,69,65,61
11,106,100,94,87,81,75,71,67,64
12,109,102,96,90,83,78,73,70,67
13,111,105,99,92,86,80,75,72,69
14,114,107,101,95,88,82,78,74,72
15,117,110,104,97,90,85,80,77,76
16,120,113,107,100,93,87,83,80,79
17,122,115,109,102,95,90,85,83,83
18,125,118,112,105,98,92,88,85,88
19,128,121,115,107,100,95,91,89,93
20,130,124,117,110,103,97,93,92,101
21,130,126,120,113,106,100,96,95,113
22,130,129,123,115,108,103,99,99,113
23,130,130,125,118,111,105,102,103,113
24,130,130,128,121,114,108,106,107,113
25,130,130,130,123,116,111,109,112,113
26,130,130,130,126,119,114,112,118,113
27,130,130,130,129,122,117,116,125,113
28,130,130,130,130,125,120,120,130,113
29,130,130,130,130,128,124,124,130,113
30,130,130,130,130,130,127,129,130,113
31,130,130,130,130,130,130,130,130,113
32,130,130,130,130,130,130,130,130,113
33,130,130,130,130,130,130,130,130,113
