raw,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-9.3
1,65,54,48,42,40,40
2,79,60,48,42,40,40
3,85,72,59,42,40,40
4,90,78,68,57,45,40
5,94,83,73,64,54,40
6,98,87,78,69,60,44
7,101,90,81,73,64,49
8,103,93,85,76,68,53
9,106,96,88,79,71,56
10,109,99,90,82,74,59
11,111,101,93,84,77,62
12,113,103,95,87,79,64
13,115,105,97,89,81,67
14,117,107,99,91,83,69
15,119,109,101,93,85,71
16,121,111,103,95,87,73
17,122,113,105,97,89,75
18,124,115,107,99,91,77
19,126,116,108,100,93,78
20,127,118,110,102,94,80
21,129,119,112,104,96,82
22,130,121,113,105,98,84
23,130,122,115,107,99,85
24,130,124,116,108,101,87
25,130,125,118,110,102,88
26,130,127,119,111,103,90
27,130,128,120,112,105,92
28,130,129,122,114,106,93
29,130,130,123,115,108,95
30,130,130,124,116,109,96
31,130,130,125,118,110,98
32,130,130,127,119,111,99
33,130,130,128,120,113,101
34,130,130,129,121,114,102
35,130,130,130,122,115,104
36,130,130,130,124,116,105
37,130,130,130,125,118,107
38,130,130,130,126,119,109
39,130,130,130,127,120,110
40,130,130,130,128,121,112
41,130,130,130,129,122,114
42,130,130,130,130,123,115
43,130,130,130,130,124,117
44,130,130,130,130,126,119
45,130,130,130,130,127,121
46,130,130,130,130,128,123
47,130,130,130,130,129,125
48,130,130,130,130,130,128
49,130,130,130,130,130,130
50,130,130,130,130,130,130
51,130,130,130,130,130,130
52,130,130,130,130,130,130
53,130,130,130,130,130,130
54,130,130,130,130,130,130
55,130,130,130,130,130,130
56,130,130,130,130,130,130
57,130,130,130,130,130,130
58,130,130,130,130,130,130
