raw,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-9.3
1,93,87,82,76,69,56
2,95,89,84,78,72,58
3,97,91,86,80,74,60
4,99,93,88,82,76,62
5,101,95,89,84,77,64
6,103,97,91,85,79,66
7,105,98,93,87,81,68
8,106,100,95,89,83,69
9,108,102,97,91,84,71
10,110,104,98,92,86,73
11,111,105,100,94,88,74
12,113,107,102,96,89,76
13,115,109,103,97,91,78
14,116,110,105,99,93,79
15,118,112,107,101,94,81
16,120,114,108,102,96,83
17,121,115,110,104,98,85
18,123,117,112,106,100,86
19,125,119,113,107,101,88
20,126,120,115,109,103,90
21,128,122,117,111,105,92
22,130,124,119,113,107,95
23,130,126,120,115,109,97
24,130,128,122,117,111,100
25,130,129,124,119,113,103
26,130,130,126,121,115,106
27,130,130,128,123,118,110
28,130,130,130,125,120,116
29,130,130,130,128,123,123
30,130,130,130,130,127,128
