raw,agestrat
1,1-Spring
2,1-Spring
3,1-Spring
4,1-Spring
5,1-Spring
6,1-Spring
7,1-Spring
8,1-Spring
9,1-Spring
10,1-Spring
11,1-Spring
12,1-Spring
13,1-Spring
14,1-Spring
15,1-Spring
16,1-Spring
17,1-Spring
18,1-Spring
19,1-Spring
20,1-Spring
21,1-Spring
22,1-Spring
23,1-Spring
24,1-Spring
25,1-Spring
26,1-Spring
27,1-Spring
28,1-Spring
29,1-Spring
30,1-Spring
31,1-Spring
32,1-Spring
33,1-Spring
34,1-Spring
35,1-Spring
36,1-Spring
37,1-Spring
38,1-Spring
39,1-Spring
40,1-Spring
41,1-Spring
42,1-Spring
43,1-Spring
44,1-Spring
45,1-Spring
46,1-Spring
47,1-Spring
48,1-Spring
49,1-Spring
50,1-Spring
51,1-Spring
52,1-Spring
53,1-Spring
54,1-Spring
55,1-Spring
56,1-Spring
57,1-Spring
58,1-Spring
59,1-Spring
60,1-Spring
61,1-Spring
62,1-Spring
63,1-Spring
64,1-Spring
65,1-Spring
66,1-Spring
67,1-Spring
68,1-Spring
69,1-Spring
70,1-Spring
71,1-Spring
72,1-Spring
73,1-Spring
74,1-Spring
75,1-Spring
76,1-Spring
77,1-Spring
78,1-Spring
79,1-Spring
80,1-Spring
81,1-Spring
82,1-Spring
83,1-Spring
84,1-Spring
85,1-Spring
86,1-Spring
87,1-Spring
88,1-Spring
89,1-Spring
90,1-Spring
91,1-Spring
92,1-Spring
93,1-Spring
94,1-Spring
95,1-Spring
96,1-Spring
97,1-Spring
