raw,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-9.3
1,63,59,56,52,50,49
2,64,60,57,54,51,50
3,66,62,59,55,53,51
4,68,64,60,57,54,52
5,70,65,62,58,55,53
6,71,67,63,60,57,55
7,73,68,64,61,58,56
8,74,70,66,62,59,57
9,76,71,67,63,60,58
10,77,72,68,64,61,59
11,78,74,70,66,62,60
12,80,75,71,67,63,61
13,81,76,72,68,64,62
14,82,77,73,69,65,63
15,84,78,74,70,66,64
16,85,80,75,71,67,65
17,86,81,76,72,68,65
18,87,82,78,73,69,66
19,89,83,79,74,70,67
20,90,84,80,75,71,68
21,91,85,81,76,72,69
22,92,86,82,77,73,70
23,93,87,83,78,74,70
24,94,88,84,79,75,71
25,95,89,85,80,75,72
26,96,90,85,81,76,73
27,97,91,86,81,77,73
28,98,92,87,82,78,74
29,99,93,88,83,79,75
30,100,94,89,84,80,76
31,101,95,90,85,80,76
32,102,96,91,86,81,77
33,103,97,92,86,82,78
34,104,98,93,87,83,79
35,105,99,93,88,83,79
36,106,100,94,89,84,80
37,107,101,95,90,85,81
38,108,101,96,90,86,81
39,109,102,97,91,86,82
40,110,103,98,92,87,83
41,111,104,98,93,88,83
42,112,105,99,93,88,84
43,113,106,100,94,89,84
44,114,106,101,95,90,85
45,114,107,101,96,90,86
46,115,108,102,96,91,86
47,116,109,103,97,92,87
48,117,110,104,98,92,88
49,118,110,104,98,93,88
50,119,111,105,99,94,89
51,119,112,106,100,94,89
52,120,113,107,100,95,90
53,121,113,107,101,96,91
54,122,114,108,102,96,91
55,123,115,109,102,97,92
56,123,116,109,103,98,92
57,124,116,110,104,98,93
58,125,117,111,104,99,93
59,126,118,111,105,99,94
60,126,119,112,106,100,95
61,127,119,113,106,101,95
62,128,120,114,107,101,96
63,129,121,114,108,102,96
64,129,121,115,108,102,97
65,130,122,115,109,103,97
66,130,123,116,109,104,98
67,130,124,117,110,104,98
68,130,124,117,111,105,99
69,130,125,118,111,105,99
70,130,126,119,112,106,100
71,130,126,119,112,106,100
72,130,127,120,113,107,101
73,130,128,121,114,107,101
74,130,128,121,114,108,102
75,130,129,122,115,109,102
76,130,129,122,115,109,103
77,130,130,123,116,110,103
78,130,130,124,117,110,104
79,130,130,124,117,111,104
80,130,130,125,118,111,105
81,130,130,125,118,112,105
82,130,130,126,119,112,106
83,130,130,127,119,113,106
84,130,130,127,120,113,107
85,130,130,128,120,114,107
86,130,130,128,121,114,108
87,130,130,129,121,115,108
88,130,130,130,122,115,109
89,130,130,130,123,116,109
90,130,130,130,123,116,110
91,130,130,130,124,117,110
92,130,130,130,124,117,111
93,130,130,130,125,118,111
94,130,130,130,125,118,111
95,130,130,130,126,119,112
96,130,130,130,126,119,112
97,130,130,130,127,120,113
98,130,130,130,127,120,113
99,130,130,130,128,121,114
100,130,130,130,128,121,114
101,130,130,130,129,122,115
102,130,130,130,129,122,115
103,130,130,130,130,123,115
104,130,130,130,130,123,116
105,130,130,130,130,124,116
106,130,130,130,130,124,117
107,130,130,130,130,125,117
108,130,130,130,130,125,118
109,130,130,130,130,126,118
110,130,130,130,130,126,118
111,130,130,130,130,126,119
112,130,130,130,130,127,119
113,130,130,130,130,127,120
114,130,130,130,130,128,120
115,130,130,130,130,128,121
116,130,130,130,130,129,121
117,130,130,130,130,129,121
118,130,130,130,130,130,122
119,130,130,130,130,130,122
120,130,130,130,130,130,123
121,130,130,130,130,130,123
122,130,130,130,130,130,123
123,130,130,130,130,130,124
124,130,130,130,130,130,124
125,130,130,130,130,130,125
126,130,130,130,130,130,125
127,130,130,130,130,130,125
128,130,130,130,130,130,126
129,130,130,130,130,130,126
130,130,130,130,130,130,127
131,130,130,130,130,130,127
132,130,130,130,130,130,127
133,130,130,130,130,130,128
134,130,130,130,130,130,128
135,130,130,130,130,130,129
136,130,130,130,130,130,129
137,130,130,130,130,130,129
138,130,130,130,130,130,130
139,130,130,130,130,130,130
140,130,130,130,130,130,130
141,130,130,130,130,130,130
142,130,130,130,130,130,130
143,130,130,130,130,130,130
144,130,130,130,130,130,130
145,130,130,130,130,130,130
146,130,130,130,130,130,130
147,130,130,130,130,130,130
148,130,130,130,130,130,130
149,130,130,130,130,130,130
150,130,130,130,130,130,130
151,130,130,130,130,130,130
152,130,130,130,130,130,130
153,130,130,130,130,130,130
154,130,130,130,130,130,130
155,130,130,130,130,130,130
156,130,130,130,130,130,130
157,130,130,130,130,130,130
158,130,130,130,130,130,130
159,130,130,130,130,130,130
160,130,130,130,130,130,130
161,130,130,130,130,130,130
162,130,130,130,130,130,130
163,130,130,130,130,130,130
164,130,130,130,130,130,130
165,130,130,130,130,130,130
166,130,130,130,130,130,130
167,130,130,130,130,130,130
168,130,130,130,130,130,130
169,130,130,130,130,130,130
170,130,130,130,130,130,130
