raw,K-Fall,K-Spring,1-Fall,1-Spring,2-Fall,2-Spring
0,81,74,67,81,55,50
1,82,75,69,82,56,51
2,84,77,70,84,58,52
3,85,78,72,85,59,53
4,87,80,73,87,60,55
5,88,82,75,88,62,56
6,90,83,77,90,63,57
7,92,85,78,92,65,59
8,93,87,80,93,67,60
9,95,89,82,95,68,62
10,97,90,84,97,70,64
11,99,92,86,99,72,66
12,101,94,88,101,74,67
13,103,97,90,103,76,70
14,106,99,92,106,79,72
15,108,101,95,108,81,74
16,110,103,97,110,84,77
17,113,106,100,113,87,80
18,116,109,102,116,90,83
19,120,112,106,120,93,86
20,124,115,109,124,97,91
21,130,119,113,130,102,97
22,130,124,117,130,108,105
23,130,130,122,130,114,117
24,130,130,128,130,123,130
25,130,130,130,130,130,130
