raw,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-9.3
1,90,83,77,70,63,47
2,92,85,79,72,64,49
3,94,87,80,74,66,51
4,96,89,82,75,68,53
5,98,90,84,77,70,55
6,99,92,86,79,72,57
7,101,94,88,81,74,58
8,103,96,90,83,76,60
9,106,98,92,85,78,62
10,108,100,94,87,80,64
11,110,103,96,89,82,66
12,112,105,98,91,84,68
13,114,107,101,94,86,70
14,117,109,103,96,89,73
15,119,112,105,98,91,75
16,122,114,108,101,94,78
17,124,117,111,104,96,81
18,127,120,114,107,99,84
19,130,123,117,110,103,87
20,130,126,120,113,106,91
21,130,130,124,117,111,97
22,130,130,128,122,116,105
23,130,130,130,128,123,116
24,130,130,130,130,130,123
25,130,130,130,130,130,128
