raw,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-9.3
1,86,82,78,73,69,61
2,88,84,80,75,71,63
3,91,86,82,77,73,64
4,93,88,84,79,75,66
5,95,90,86,81,77,68
6,97,92,88,83,78,70
7,99,94,90,85,80,72
8,101,96,92,87,82,74
9,104,98,94,89,84,76
10,106,101,96,91,86,78
11,108,103,98,93,88,80
12,110,105,100,95,90,82
13,113,107,102,97,92,84
14,115,109,104,99,94,86
15,117,111,106,101,96,88
16,119,114,109,103,98,90
17,122,116,111,105,100,93
18,124,118,113,107,102,95
19,126,120,115,109,104,97
20,129,122,117,112,106,100
21,130,125,119,114,109,102
22,130,127,121,116,111,105
23,130,129,124,118,113,107
24,130,130,126,120,115,110
25,130,130,128,122,117,113
26,130,130,130,125,119,116
27,130,130,130,127,122,119
28,130,130,130,129,124,122
29,130,130,130,130,126,125
30,130,130,130,130,129,128
31,130,130,130,130,130,130
32,130,130,130,130,130,130
33,130,130,130,130,130,130
34,130,130,130,130,130,130
