raw,parent_t,teacher_t
26,,40
27,40,40
28,40,40
29,40,40
30,40,40
31,40,40
32,40,41
33,40,42
34,40,43
35,40,44
36,40,44
37,41,44
38,42,45
39,43,45
40,44,46
41,45,47
42,45,47
43,46,48
44,47,48
45,47,49
46,49,49
47,49,49
48,50,49
49,51,50
50,52,51
51,53,51
52,53,52
53,54,52
54,55,54
55,55,55
56,56,56
57,57,57
58,58,58
59,58,59
60,59,59
61,60,60
62,60,60
63,61,61
64,62,61
65,62,62
66,63,63
67,63,64
68,64,64
69,65,64
70,66,64
71,66,64
72,66,66
73,68,66
74,68,67
75,69,68
76,69,68
77,70,70
78,70,70
79,70,71
80,70,73
81,70,73
82,73,73
83,73,73
84,73,73
85,73,73
86,73,73
87,73,77
88,73,77
89,73,77
90,73,77
91,73,77
92,73,77
93,73,77
94,73,77
95,73,77
96,73,77
97,73,77
98,73,77
99,73,77
100,73,77
101,73,77
102,73,77
103,73,77
104,73,77
105,73,
106,73,
107,73,
108,73,
