raw,DRIW_age_ss,DRIQ_age_ss
80,59,57
81,59,57
82,59,57
83,59,57
84,59,57
85,59,57
86,59,57
87,59,57
88,59,57
89,59,57
90,59,57
91,59,57
92,59,57
93,59,57
94,59,57
95,59,57
96,59,57
97,59,57
98,59,57
99,59,57
100,59,57
101,59,57
102,59,57
103,59,57
104,59,57
105,59,57
106,59,57
107,59,57
108,59,57
109,59,57
110,59,57
111,59,57
112,59,57
113,59,57
114,59,57
115,59,57
116,59,57
117,59,57
118,59,57
119,59,57
120,59,57
121,59,57
122,59,58
123,59,58
124,59,59
125,59,59
126,59,60
127,59,60
128,59,61
129,59,61
130,59,61
131,59,62
132,59,63
133,59,63
134,59,64
135,59,64
136,59,65
137,59,65
138,59,66
139,59,66
140,59,67
141,62,67
142,62,68
143,63,68
144,63,69
145,63,69
146,63,70
147,63,70
148,63,71
149,63,71
150,69,72
151,69,72
152,69,73
153,71,73
154,72,74
155,72,74
156,73,75
157,73,75
158,75,76
159,75,77
160,76,77
161,77,78
162,77,78
163,78,79
164,79,79
165,79,80
166,80,80
167,81,81
168,82,81
169,82,82
170,83,82
171,84,83
172,84,84
173,85,84
174,86,85
175,86,85
176,87,86
177,88,86
178,88,87
179,89,87
180,89,88
181,90,89
182,91,89
183,91,90
184,92,90
185,93,91
186,93,91
187,94,92
188,94,93
189,95,93
190,96,94
191,96,94
192,97,95
193,97,95
194,98,96
195,99,97
196,99,97
197,100,98
198,100,98
199,101,99
200,101,100
201,102,100
202,103,101
203,103,101
204,104,102
205,104,103
206,105,103
207,105,104
208,106,104
209,107,105
210,107,106
211,108,106
212,108,107
213,109,107
214,109,108
215,110,109
216,110,109
217,111,110
218,111,111
219,112,111
220,112,112
221,113,112
222,113,113
223,114,114
224,114,114
225,115,115
226,115,116
227,116,116
228,116,117
229,117,118
230,117,118
231,117,119
232,118,119
233,119,120
234,119,121
235,120,121
236,120,122
237,121,123
238,121,123
239,122,124
240,122,125
241,123,125
242,123,126
243,124,127
244,124,127
245,125,128
246,125,129
247,125,129
248,126,130
249,127,130
250,127,130
251,127,130
252,128,130
253,128,130
254,129,130
255,129,130
256,129,130
257,130,130
258,130,130
259,130,130
260,130,130
