raw,K-Fall,K-Spring,1-Fall,1-Spring,2-Fall,2-Spring
29,40,40,40,40,40,40
30,40,40,40,40,40,40
31,40,40,40,40,40,40
32,40,40,40,40,40,40
33,40,40,40,40,40,40
34,40,40,40,40,40,40
35,40,40,40,40,40,40
36,40,40,40,40,40,40
37,40,40,40,40,40,40
38,40,40,40,40,40,40
39,40,40,40,40,40,40
40,40,40,40,40,40,40
41,40,40,40,40,40,40
42,40,40,40,40,40,40
43,40,40,40,40,40,40
44,40,40,40,40,40,40
45,40,40,40,40,40,40
46,40,40,40,40,40,40
47,40,40,40,40,40,40
48,40,40,40,40,40,40
49,40,40,40,40,40,40
50,40,40,40,40,40,40
51,40,40,40,40,40,40
52,40,40,40,40,40,40
53,40,40,40,40,40,40
54,40,40,40,40,40,40
55,40,40,40,40,40,40
56,40,40,40,40,40,40
57,40,40,40,40,40,40
58,41,40,40,40,40,40
59,44,41,40,40,40,40
60,46,42,40,40,40,40
61,48,44,40,40,40,40
62,50,46,42,40,40,40
63,52,48,44,40,40,40
64,54,50,45,40,40,40
65,56,52,47,41,40,40
66,58,54,49,43,40,40
67,60,56,51,45,40,40
68,62,58,53,46,40,40
69,64,60,54,48,41,40
70,66,62,56,49,42,40
71,68,64,58,51,44,40
72,70,65,60,53,45,40
73,72,67,61,54,47,40
74,74,69,63,56,48,41
75,76,71,65,58,50,42
76,78,73,67,59,51,44
77,80,74,68,61,53,45
78,81,76,70,63,55,46
79,83,78,72,64,56,48
80,85,79,73,66,58,49
81,87,81,75,68,59,50
82,89,83,76,69,61,52
83,90,84,78,71,62,53
84,92,86,80,72,64,55
85,94,87,81,74,65,56
86,95,89,83,75,67,57
87,97,91,84,77,69,59
88,99,92,86,79,70,60
89,100,93,87,80,72,62
90,102,95,89,82,73,63
91,104,96,90,83,75,65
92,105,98,91,85,76,66
93,107,99,93,86,78,68
94,108,101,94,87,79,69
95,110,102,95,89,81,71
96,111,103,97,90,82,73
97,113,105,98,92,84,74
98,114,106,99,93,85,76
99,116,107,101,94,87,77
100,117,108,102,96,88,79
101,118,110,103,97,90,80
102,120,111,104,98,91,82
103,121,112,105,99,92,84
104,122,113,107,101,94,85
105,124,114,108,102,95,87
106,125,115,109,103,97,88
107,126,117,110,104,98,90
108,127,118,111,105,99,91
109,129,119,112,106,100,93
110,130,120,113,108,102,94
111,130,121,114,109,103,96
112,130,122,115,110,104,97
113,130,123,116,111,105,99
114,130,124,117,112,107,100
115,130,125,118,113,108,102
116,130,126,119,114,109,103
117,130,127,120,115,110,104
118,130,128,121,116,111,106
119,130,129,122,117,112,107
120,130,130,123,118,113,108
121,130,130,124,119,114,110
122,130,130,125,120,115,111
123,130,130,125,121,116,112
124,130,130,126,121,117,113
125,130,130,127,122,118,115
126,130,130,128,123,119,116
127,130,130,129,124,120,117
128,130,130,130,125,121,118
129,130,130,130,126,122,119
130,130,130,130,127,123,120
131,130,130,130,127,124,121
132,130,130,130,128,125,122
133,130,130,130,129,126,123
134,130,130,130,130,127,124
135,130,130,130,130,127,125
136,130,130,130,130,128,126
137,130,130,130,130,129,127
138,130,130,130,130,130,128
139,130,130,130,130,130,129
140,130,130,130,130,130,130
141,130,130,130,130,130,130
142,130,130,130,130,130,130
143,130,130,130,130,130,130
144,130,130,130,130,130,130
145,130,130,130,130,130,130
146,130,130,130,130,130,130
147,130,130,130,130,130,130
148,130,130,130,130,130,130
149,130,130,130,130,130,130
150,130,130,130,130,130,130
151,130,130,130,130,130,130
152,130,130,130,130,130,130
153,130,130,130,130,130,130
154,130,130,130,130,130,130
155,130,130,130,130,130,130
156,130,130,130,130,130,130
157,130,130,130,130,130,130
158,130,130,130,130,130,130
159,130,130,130,130,130,130
160,130,130,130,130,130,130
161,130,130,130,130,130,130
162,130,130,130,130,130,130
163,130,130,130,130,130,130
164,130,130,130,130,130,130
165,130,130,130,130,130,130
166,130,130,130,130,130,130
167,130,130,130,130,130,130
168,130,130,130,130,130,130
