raw,agestrat
0,8.6-9.3
1,8.6-9.3
2,8.6-9.3
3,8.6-9.3
4,8.6-9.3
5,8.6-9.3
6,8.6-9.3
7,8.6-9.3
8,8.6-9.3
9,8.6-9.3
10,8.6-9.3
11,8.6-9.3
12,8.6-9.3
13,8.6-9.3
14,8.6-9.3
15,8.6-9.3
16,8.6-9.3
17,8.6-9.3
18,8.6-9.3
19,8.6-9.3
20,8.6-9.3
21,8.6-9.3
22,8.6-9.3
23,8.6-9.3
24,8.6-9.3
25,8.6-9.3
26,8.6-9.3
27,8.6-9.3
28,8.6-9.3
29,8.6-9.3
30,8.6-9.3
31,8.6-9.3
32,8.6-9.3
33,8.6-9.3
34,8.6-9.3
35,8.6-9.3
36,8.6-9.3
37,8.6-9.3
38,8.6-9.3
39,8.6-9.3
40,8.6-9.3
41,8.6-9.3
42,8.6-9.3
43,8.6-9.3
44,8.6-9.3
45,8.6-9.3
46,8.6-9.3
47,8.6-9.3
