raw,K-Fall,K-Spring,1-Fall,1-Spring
0,71,60,50,42
1,74,64,54,46
2,78,68,58,50
3,81,71,62,53
4,84,74,65,57
5,87,77,68,60
6,89,80,71,63
7,92,83,74,66
8,94,85,76,68
9,96,87,79,71
10,98,90,81,74
11,101,92,84,76
12,103,94,86,78
13,104,96,88,81
14,106,98,90,83
15,108,100,92,85
16,110,102,94,87
17,112,104,96,89
18,113,106,98,91
19,115,107,100,93
20,116,109,101,94
21,118,111,103,96
22,120,112,105,98
23,121,114,106,99
24,122,115,108,101
25,124,117,110,103
26,125,118,111,104
27,127,119,113,106
28,128,121,114,107
29,129,122,115,109
30,130,124,117,110
31,130,125,118,112
32,130,126,119,113
33,130,127,121,114
34,130,129,122,116
35,130,130,123,117
36,130,130,125,118
37,130,130,126,119
38,130,130,127,121
39,130,130,128,122
40,130,130,129,123
41,130,130,130,124
42,130,130,130,125
43,130,130,130,127
44,130,130,130,128
45,130,130,130,129
46,130,130,130,130
47,130,130,130,130
48,130,130,130,130
49,130,130,130,130
50,130,130,130,130
51,130,130,130,130
52,130,130,130,130
53,130,130,130,130
54,130,130,130,130
55,130,130,130,130
56,130,130,130,130
57,130,130,130,130
58,130,130,130,130
59,130,130,130,130
60,130,130,130,130
61,130,130,130,130
62,130,130,130,130
63,130,130,130,130
64,130,130,130,130
65,130,130,130,130
66,130,130,130,130
67,130,130,130,130
68,130,130,130,130
