norm_group,score,raw,ss,CI90,CI95,percentile,desc_range,prob
age,ddiw,320,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,321,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,322,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,323,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,324,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,325,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,326,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,327,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,328,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,329,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,330,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,331,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,332,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,333,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,334,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,335,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,336,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,337,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,338,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,339,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,340,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,341,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,342,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,343,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,344,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,345,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,346,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,347,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,348,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,349,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,350,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,351,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,352,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,353,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,354,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,355,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,356,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,357,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,358,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,359,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,360,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,361,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,362,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,363,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,364,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,365,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,366,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,367,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,368,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,369,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,370,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,371,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,372,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,373,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,374,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,375,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,376,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,377,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,378,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,379,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,380,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,381,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,382,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,383,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,384,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,385,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,386,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,387,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,388,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,389,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,390,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,391,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,392,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,393,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,394,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,395,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,396,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,397,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,398,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,399,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,400,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,401,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,402,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,403,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,404,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
