norm_group,test,age_min,age_max,raw,ss,CI90,CI95,percentile,equiv,desc_range
age,LWC,60,63,29,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,60,63,30,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,60,63,31,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,60,63,32,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,60,63,33,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,60,63,34,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,60,63,35,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,60,63,36,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,60,63,37,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,60,63,38,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,60,63,39,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,60,63,40,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,60,63,41,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,60,63,42,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,60,63,43,41,40 - 49,40 - 51,<.1,< Start age,Significantly Below Average
age,LWC,60,63,44,42,40 - 50,40 - 52,<.1,< Start age,Significantly Below Average
age,LWC,60,63,45,44,40 - 52,40 - 54,<.1,< Start age,Significantly Below Average
age,LWC,60,63,46,45,40 - 53,40 - 55,<.1,< Start age,Significantly Below Average
age,LWC,60,63,47,46,40 - 54,40 - 56,<.1,< Start age,Significantly Below Average
age,LWC,60,63,48,47,40 - 55,40 - 57,<.1,< Start age,Significantly Below Average
age,LWC,60,63,49,49,41 - 57,40 - 59,<.1,< Start age,Significantly Below Average
age,LWC,60,63,50,50,42 - 58,40 - 60,0.1,< Start age,Significantly Below Average
age,LWC,60,63,51,51,43 - 59,41 - 61,0.1,< Start age,Significantly Below Average
age,LWC,60,63,52,53,45 - 61,43 - 63,0.1,< Start age,Significantly Below Average
age,LWC,60,63,53,54,46 - 62,44 - 64,0.1,< Start age,Significantly Below Average
age,LWC,60,63,54,55,47 - 63,45 - 65,0.1,< Start age,Significantly Below Average
age,LWC,60,63,55,57,49 - 65,47 - 67,0.2,< Start age,Significantly Below Average
age,LWC,60,63,56,58,50 - 66,48 - 68,0.3,< Start age,Significantly Below Average
