ID,age,gender,ethnicity,SES,source
201001,5,2,3,2,matchpool
201011,6,2,3,4,matchpool
201014,6,2,3,4,matchpool
201016,8,2,3,4,matchpool
201035,68,1,3,4,matchpool
201036,68,2,3,4,matchpool
201037,31,2,3,3,matchpool
201043,41,2,3,4,matchpool
201044,35,1,3,4,matchpool
203004,7,2,7,4,matchpool
203011,10,1,3,4,matchpool
205001,8,2,3,4,matchpool
205005,20,2,3,4,matchpool
205006,37,2,3,4,matchpool
205007,17,2,3,4,matchpool
206002,7,2,3,4,matchpool
206019,43,1,3,4,matchpool
208003,20,1,2,4,matchpool
208012,21,1,3,2,matchpool
209001,65,2,3,4,matchpool
211003,7,2,3,4,matchpool
211004,17,2,3,4,matchpool
212007,13,2,2,2,matchpool
212011,15,1,2,2,matchpool
212012,16,1,2,2,matchpool
212015,16,2,2,2,matchpool
212020,16,1,2,2,matchpool
212022,17,1,2,2,matchpool
212025,18,2,2,2,matchpool
212026,18,2,2,2,matchpool
212042,56,2,2,2,matchpool
212048,66,1,2,2,matchpool
212050,73,1,2,1,matchpool
214004,8,2,3,4,matchpool
216003,68,2,3,4,matchpool
216006,76,1,3,4,matchpool
217023,30,2,3,4,matchpool
217027,54,2,3,4,matchpool
218006,11,1,3,3,matchpool
218008,14,1,1,4,matchpool
218012,16,1,3,2,matchpool
218015,20,2,7,3,matchpool
218019,37,2,3,3,matchpool
218024,43,2,1,3,matchpool
218035,82,2,3,3,matchpool
218040,89,1,3,3,matchpool
219005,63,2,7,2,matchpool
220004,6,1,2,2,matchpool
220005,6,1,2,3,matchpool
220010,6,1,2,3,matchpool
220015,7,1,2,3,matchpool
221002,14,2,2,2,matchpool
221003,16,2,2,2,matchpool
221006,18,2,2,2,matchpool
221008,15,2,2,2,matchpool
221009,16,2,2,2,matchpool
221012,15,2,2,2,matchpool
221013,16,2,2,2,matchpool
221014,15,2,2,2,matchpool
221016,15,2,2,2,matchpool
221019,18,2,2,2,matchpool
222006,7,1,6,4,matchpool
222008,19,2,3,4,matchpool
222011,24,2,3,4,matchpool
222015,19,2,3,4,matchpool
222018,20,2,3,4,matchpool
222021,21,2,2,3,matchpool
222024,24,2,2,4,matchpool
222025,49,2,3,2,matchpool
223004,8,1,7,1,matchpool
223010,12,2,7,2,matchpool
223011,12,2,7,1,matchpool
223020,14,2,7,1,matchpool
223048,11,2,7,2,matchpool
224001,41,2,3,4,matchpool
224008,6,2,2,4,matchpool
225010,13,2,7,1,matchpool
226006,5,2,7,4,matchpool
226008,7,1,2,2,matchpool
226021,14,1,3,4,matchpool
226026,10,2,3,4,matchpool
226033,10,1,2,4,matchpool
226037,10,1,2,4,matchpool
226040,10,1,3,4,matchpool
226043,9,2,3,4,matchpool
226051,15,2,3,4,matchpool
226058,5,2,3,4,matchpool
227007,12,2,3,4,matchpool
227008,11,2,3,4,matchpool
227009,12,1,3,4,matchpool
227012,8,1,3,4,matchpool
227015,14,1,3,4,matchpool
227021,13,1,3,4,matchpool
227022,45,2,3,4,matchpool
227025,47,2,3,4,matchpool
227026,14,1,3,4,matchpool
227028,50,2,3,4,matchpool
227029,74,2,3,2,matchpool
228002,74,2,3,4,matchpool
228005,47,2,3,3,matchpool
228008,20,1,3,3,matchpool
230001,18,2,3,2,matchpool
230015,14,1,3,2,matchpool
231004,6,2,3,4,matchpool
231011,7,2,3,4,matchpool
231019,9,1,6,4,matchpool
231023,9,2,3,4,matchpool
231029,10,1,6,4,matchpool
231030,11,1,3,4,matchpool
231032,12,2,3,4,matchpool
231035,13,1,2,4,matchpool
231038,13,1,3,4,matchpool
231042,14,1,2,4,matchpool
231047,17,2,3,4,matchpool
231050,18,2,3,4,matchpool
232008,10,2,3,3,matchpool
232011,17,2,3,4,matchpool
232013,16,1,3,4,matchpool
232026,7,2,3,4,matchpool
232028,9,2,3,4,matchpool
232029,10,2,7,3,matchpool
232033,59,1,3,4,matchpool
232037,46,2,3,4,matchpool
232040,27,1,3,4,matchpool
232044,63,2,3,4,matchpool
232050,17,2,3,4,matchpool
232066,15,2,7,3,matchpool
234004,7,1,2,2,matchpool
234006,7,1,2,4,matchpool
234014,8,1,7,4,matchpool
234017,8,2,7,3,matchpool
234029,6,2,2,3,matchpool
234032,6,2,2,2,matchpool
234035,6,1,7,2,matchpool
234036,6,2,2,3,matchpool
234043,11,1,7,1,matchpool
234044,11,2,2,4,matchpool
234050,10,2,6,4,matchpool
235001,8,2,3,4,matchpool
235009,13,1,3,4,matchpool
235012,8,1,3,4,matchpool
235014,7,2,3,3,matchpool
235019,8,2,3,4,matchpool
235020,11,2,3,4,matchpool
235021,6,2,3,4,matchpool
235022,15,1,3,4,matchpool
235024,10,2,3,4,matchpool
235025,6,2,3,4,matchpool
235026,11,2,3,4,matchpool
235030,8,2,3,4,matchpool
236004,7,2,3,4,matchpool
236005,7,1,3,4,matchpool
236006,8,1,3,4,matchpool
236010,8,2,3,4,matchpool
236012,10,2,3,4,matchpool
236035,44,2,3,4,matchpool
236036,18,2,7,4,matchpool
236037,48,2,3,4,matchpool
236038,50,2,3,4,matchpool
236040,55,2,3,4,matchpool
236044,8,2,3,4,matchpool
236045,7,1,3,4,matchpool
236049,22,1,2,4,matchpool
238001,20,2,3,3,matchpool
238002,7,2,3,4,matchpool
239001,18,1,3,4,matchpool
239005,17,1,3,4,matchpool
239006,49,2,3,3,matchpool
239007,15,2,3,4,matchpool
239009,19,2,7,4,matchpool
239011,18,1,3,4,matchpool
239014,77,2,3,2,matchpool
239015,53,1,3,4,matchpool
239016,13,1,3,4,matchpool
239023,51,2,3,4,matchpool
240005,12,2,4,4,matchpool
240011,8,2,3,2,matchpool
241019,7,1,3,4,matchpool
241026,5,1,7,4,matchpool
243004,13,2,3,4,matchpool
243009,18,1,1,4,matchpool
243012,14,1,7,2,matchpool
243015,37,2,3,2,matchpool
243016,36,1,3,2,matchpool
243018,7,1,3,4,matchpool
243020,20,2,3,3,matchpool
243021,28,2,7,4,matchpool
243022,7,1,3,4,matchpool
243025,16,1,3,4,matchpool
243027,15,2,3,4,matchpool
243028,16,2,3,2,matchpool
243032,8,1,2,3,matchpool
243035,6,1,2,3,matchpool
244004,6,2,2,2,matchpool
244007,7,1,2,2,matchpool
244010,7,1,2,2,matchpool
244011,8,2,2,2,matchpool
244015,9,1,2,2,matchpool
244020,9,2,7,1,matchpool
244021,9,1,7,2,matchpool
244028,12,1,2,1,matchpool
244041,13,1,2,2,matchpool
244043,13,1,2,2,matchpool
244045,13,2,2,1,matchpool
246006,12,1,7,3,matchpool
246007,9,2,7,3,matchpool
246011,13,1,7,1,matchpool
246017,18,2,7,1,matchpool
246021,8,1,7,3,matchpool
248005,7,1,7,3,matchpool
248010,20,2,3,3,matchpool
248018,20,2,3,3,matchpool
248019,24,1,3,2,matchpool
248023,14,2,3,3,matchpool
248026,21,2,3,3,matchpool
248027,21,1,7,2,matchpool
248028,21,1,3,2,matchpool
248029,21,2,3,3,matchpool
248031,17,2,3,3,matchpool
248033,15,2,2,4,matchpool
248034,13,1,2,4,matchpool
248035,15,1,6,3,matchpool
248048,16,1,7,2,matchpool
248058,71,1,3,3,matchpool
248067,14,1,2,2,matchpool
248068,15,1,2,2,matchpool
248074,14,1,7,3,matchpool
249001,20,2,3,3,matchpool
249008,40,2,3,2,matchpool
249017,14,1,7,1,matchpool
251003,11,1,3,4,matchpool
251004,17,2,3,4,matchpool
252002,11,1,7,4,matchpool
252010,10,2,7,3,matchpool
252019,16,1,3,4,matchpool
253013,11,1,3,4,matchpool
253022,13,1,3,4,matchpool
253026,8,2,3,3,matchpool
253042,15,2,3,4,matchpool
253045,16,1,3,4,matchpool
254013,8,1,3,3,matchpool
254022,11,1,7,4,matchpool
254023,17,1,3,4,matchpool
254024,14,1,3,4,matchpool
255012,8,2,2,3,matchpool
256001,10,1,3,4,matchpool
256005,13,1,3,2,matchpool
256006,7,1,3,4,matchpool
256009,8,2,3,4,matchpool
256010,6,2,3,4,matchpool
256011,10,1,3,4,matchpool
256015,14,1,3,4,matchpool
256017,14,2,3,4,matchpool
256018,10,1,3,4,matchpool
256022,13,1,3,2,matchpool
256023,14,2,3,3,matchpool
256031,18,2,3,4,matchpool
256042,15,1,3,3,matchpool
256044,12,2,3,4,matchpool
256046,8,2,2,4,matchpool
256047,12,1,3,4,matchpool
256048,13,1,6,2,matchpool
256049,12,1,3,4,matchpool
257032,6,1,2,3,matchpool
258001,20,1,3,3,matchpool
258004,24,1,3,3,matchpool
258009,54,1,2,3,matchpool
258010,51,2,3,3,matchpool
258022,56,1,3,3,matchpool
258033,11,2,3,4,matchpool
259004,7,2,2,4,matchpool
259007,16,1,2,4,matchpool
259010,6,2,2,3,matchpool
259011,18,2,3,4,matchpool
259012,12,2,1,4,matchpool
259018,9,2,7,1,matchpool
259019,8,2,7,2,matchpool
259021,16,1,7,2,matchpool
259022,17,2,7,3,matchpool
259023,21,2,2,3,matchpool
259024,18,2,6,2,matchpool
259026,20,2,2,3,matchpool
259028,11,1,2,4,matchpool
259031,9,2,2,2,matchpool
259039,11,1,6,4,matchpool
259048,11,1,2,4,matchpool
260001,11,1,3,1,matchpool
260003,9,2,3,1,matchpool
260005,8,2,2,3,matchpool
260009,9,2,3,1,matchpool
260010,12,1,3,4,matchpool
260011,25,1,3,3,matchpool
260012,8,2,3,1,matchpool
260013,10,1,6,4,matchpool
260014,7,2,6,4,matchpool
261006,8,2,3,3,matchpool
261014,14,1,3,2,matchpool
261015,18,1,7,3,matchpool
261016,11,1,7,4,matchpool
261018,16,2,7,3,matchpool
261021,17,2,7,3,matchpool
261026,14,1,7,3,matchpool
261029,15,2,3,4,matchpool
261033,12,1,3,4,matchpool
261035,16,2,3,4,matchpool
261039,11,1,3,4,matchpool
261040,13,2,3,4,matchpool
261045,11,1,7,2,matchpool
262008,6,2,3,4,matchpool
262012,13,1,3,4,matchpool
262016,8,2,3,4,matchpool
262017,14,1,6,4,matchpool
262018,12,1,6,4,matchpool
262019,10,1,6,4,matchpool
262020,7,2,6,4,matchpool
262021,14,1,3,2,matchpool
262026,8,1,3,4,matchpool
262028,18,2,3,3,matchpool
262029,18,2,3,4,matchpool
262031,21,2,1,4,matchpool
262032,21,2,3,4,matchpool
262039,20,1,3,4,matchpool
