raw,18.0-23.11,24.0-39.11,40.0-49.11,50.0-59.11,60.0-69.11,70.0-89.11
0,61,61,61,61,62,65
1,62,62,62,62,63,65
2,62,62,62,63,63,66
3,63,63,63,63,64,67
4,64,64,64,64,65,67
5,64,64,64,65,65,68
6,65,65,65,65,66,68
7,65,65,65,66,67,69
8,66,66,66,66,67,70
9,67,67,67,67,68,70
10,67,67,67,68,68,71
11,68,68,68,68,69,72
12,69,69,69,69,70,72
13,70,69,69,70,70,73
14,70,70,70,70,71,74
15,71,71,71,71,72,74
16,72,72,72,72,72,75
17,72,72,72,72,73,76
18,73,73,73,73,74,76
19,74,74,74,74,75,77
20,75,75,74,75,75,78
21,76,75,75,75,76,79
22,76,76,76,76,77,80
23,77,77,77,77,78,81
24,78,78,78,78,79,82
25,79,79,79,79,79,83
26,80,80,79,80,80,84
27,81,80,80,80,81,85
28,82,81,81,81,82,86
29,83,82,82,82,83,88
30,84,83,83,83,85,89
31,85,84,84,84,87,91
32,86,85,85,85,89,92
33,87,86,86,86,91,93
34,88,88,87,87,93,95
35,89,89,88,89,94,97
36,90,90,90,91,96,98
37,92,91,91,93,97,100
38,93,93,92,95,98,101
39,94,94,93,97,100,103
40,96,95,95,98,101,104
41,98,97,96,100,103,105
42,99,99,98,101,105,107
43,101,101,100,103,106,108
44,103,103,101,105,107,109
45,106,105,103,107,109,111
46,108,107,106,109,112,114
47,111,110,108,111,113,115
48,114,112,110,112,115,117
49,117,115,113,114,117,118
50,120,119,116,116,119,120
51,123,122,119,119,120,122
52,126,125,122,122,123,124
53,128,127,125,125,125,126
54,130,130,127,127,127,128
55,130,130,130,130,130,130
56,130,130,130,130,130,130
57,130,130,130,130,130,130
58,130,130,130,130,130,130
59,130,130,130,130,130,130
60,130,130,130,130,130,130
