raw,10.0-10.5,10.6-10.11,11.0-11.5,11.6-11.11,12.0-12.5,12.6-12.11,13.0-13.11,14.0-14.11,15.0-16.11,17.0-18.11
0,46,46,46,46,46,46,46,45,45,45
1,49,49,49,49,49,49,49,48,48,48
2,53,53,53,53,53,53,53,52,52,52
3,56,56,56,56,56,56,56,56,56,56
4,59,59,59,59,59,59,58,58,58,58
5,62,62,62,61,61,61,61,61,60,60
6,65,65,64,64,64,64,63,63,62,62
7,68,67,67,67,66,66,65,65,64,63
8,71,70,70,69,69,68,68,67,66,65
9,73,73,72,72,71,70,70,69,68,67
10,76,75,75,74,73,73,72,71,70,68
11,79,78,77,76,76,75,74,73,71,70
12,81,80,79,79,78,77,76,75,73,71
13,84,83,82,81,80,79,78,77,75,73
14,86,85,84,83,82,81,80,78,77,74
15,89,87,86,85,84,83,82,80,78,76
16,91,90,88,87,86,85,84,82,80,77
17,93,92,91,89,88,87,86,84,81,79
18,96,94,93,92,90,89,88,86,83,80
19,98,97,95,94,92,91,89,87,85,82
20,100,99,97,96,94,93,91,89,86,83
21,103,101,99,98,96,95,93,91,88,85
22,105,103,101,100,98,97,95,93,89,86
23,107,105,104,102,100,99,97,94,91,88
24,109,107,106,104,102,101,99,96,93,89
25,112,110,108,106,104,103,100,98,94,90
26,114,112,110,108,106,104,102,99,96,92
27,116,114,112,110,108,106,104,101,97,93
28,118,116,114,112,110,108,106,103,99,95
29,121,118,116,114,112,110,108,104,100,96
30,123,120,118,116,114,112,109,106,102,98
31,125,123,120,118,116,114,111,108,104,99
32,127,125,122,120,118,116,113,110,105,101
33,130,127,124,122,120,118,115,111,107,102
34,130,129,127,124,122,120,117,113,108,103
35,130,130,129,126,124,122,119,115,110,105
36,130,130,130,128,126,124,120,117,112,107
37,130,130,130,130,128,126,122,118,113,108
38,130,130,130,130,130,128,124,120,115,110
39,130,130,130,130,130,130,126,122,117,111
40,130,130,130,130,130,130,128,124,119,113
41,130,130,130,130,130,130,130,126,121,115
42,130,130,130,130,130,130,130,128,122,117
43,130,130,130,130,130,130,130,130,124,118
44,130,130,130,130,130,130,130,130,126,120
45,130,130,130,130,130,130,130,130,129,122
46,130,130,130,130,130,130,130,130,130,124
47,130,130,130,130,130,130,130,130,130,127
48,130,130,130,130,130,130,130,130,130,129
49,130,130,130,130,130,130,130,130,130,130
50,130,130,130,130,130,130,130,130,130,130
51,130,130,130,130,130,130,130,130,130,130
