agestrat,target_n,Male_census_pct,Male_actual,Male_needed,Female_census_pct,Female_actual,Female_needed,Less_than_HS_census_pct,Less_than_HS_actual,Less_than_HS_needed,HS_degree_census_pct,HS_degree_actual,HS_degree_needed,Some_college_census_pct,Some_college_actual,Some_college_needed,BA_plus_census_pct,BA_plus_actual,BA_plus_needed,Hispanic_census_pct,Hispanic_actual,Hispanic_needed,Asian_census_pct,Asian_actual,Asian_needed,Black_census_pct,Black_actual,Black_needed,White_census_pct,White_actual,White_needed,Other_census_pct,Other_actual,Other_needed,Northeast_census_pct,Northeast_actual,Northeast_needed,South_census_pct,South_actual,South_needed,Midwest_census_pct,Midwest_actual,Midwest_needed,West_census_pct,West_actual,West_needed,total_usable_cases
05,10,0.5114,1,4,0.4886,2,3,0.1147,0,1,0.2607,0,3,0.3026,2,1,0.322,1,2,0.2548,0,3,0.0482,0,0,0.1352,1,0,0.4986,2,3,0.0632,0,1,0.1598,0,2,0.3854,1,3,0.2112,0,2,0.2436,2,0,3
06,250,0.5107,11,117,0.4893,15,107,0.1147,2,27,0.2607,6,59,0.3026,5,71,0.322,13,68,0.255,7,57,0.047,1,11,0.136,6,28,0.5,11,114,0.062,1,14,0.1571,3,36,0.3859,6,90,0.2124,7,46,0.2446,9,52,25
07,250,0.5106,18,110,0.4894,27,95,0.1147,2,27,0.2607,11,54,0.3026,10,66,0.322,22,58,0.255,8,56,0.048,1,11,0.135,8,26,0.501,26,99,0.061,2,13,0.157,9,30,0.3859,15,81,0.2119,8,45,0.2452,13,48,45
08,250,0.5077,42,85,0.4923,47,76,0.1147,5,24,0.2607,20,45,0.3026,23,53,0.322,43,38,0.251,18,45,0.047,4,8,0.134,15,18,0.51,52,76,0.058,2,12,0.1583,12,28,0.3848,35,61,0.2133,23,30,0.2436,21,40,89
09,250,0.5112,55,73,0.4888,62,60,0.1147,15,14,0.2607,22,43,0.3026,22,54,0.322,58,22,0.25,27,36,0.047,3,9,0.135,22,12,0.509,57,70,0.059,8,7,0.1597,15,25,0.3844,43,53,0.213,33,20,0.2428,26,35,117
10,250,0.5107,43,85,0.4893,41,81,0.1147,9,20,0.2607,11,54,0.3026,15,61,0.322,50,30,0.25,23,40,0.047,1,11,0.134,13,20,0.514,39,90,0.056,9,5,0.1614,9,31,0.3824,36,60,0.2141,28,26,0.2422,12,49,84
11,225,0.5079,62,52,0.4921,39,72,0.1147,11,15,0.2607,14,45,0.3026,20,48,0.322,57,15,0.245,25,30,0.047,2,9,0.135,17,13,0.518,53,64,0.055,5,7,0.1612,13,23,0.383,40,46,0.2131,27,21,0.2427,22,33,101
12,225,0.5093,49,66,0.4907,51,59,0.1147,9,17,0.2607,16,43,0.3026,18,50,0.322,57,15,0.243,29,26,0.047,2,9,0.134,11,19,0.522,54,63,0.054,4,8,0.1624,11,26,0.3815,45,41,0.21560000000000001,21,28,0.2406,23,31,100
13,225,0.5128,38,77,0.4872,40,70,0.1147,6,20,0.2607,19,40,0.3026,7,61,0.322,49,23,0.237,19,34,0.047,0,11,0.135,19,11,0.527,43,76,0.053,0,12,0.1625,11,26,0.3822,32,54,0.2142,22,26,0.241,16,38,78
14,225,0.5143,43,73,0.4857,31,78,0.1147,1,25,0.2607,14,45,0.3026,14,54,0.322,45,27,0.235,16,37,0.046,1,9,0.138,9,22,0.528,44,75,0.053,4,8,0.1646,5,32,0.3851,42,45,0.2129,19,29,0.2374,8,45,74
15,225,0.5117,24,91,0.4883,39,71,0.1147,4,22,0.2607,26,33,0.3026,6,62,0.322,28,44,0.23,12,40,0.045,0,10,0.137,17,14,0.538,34,87,0.05,1,10,0.1657,9,28,0.3822,27,59,0.2157,18,31,0.2364,10,43,63
16,175,0.5115,25,65,0.4885,22,63,0.1147,2,18,0.2607,17,29,0.3026,3,50,0.322,27,29,0.226,9,31,0.046,2,6,0.14,12,13,0.538,26,68,0.05,0,9,0.1676,7,22,0.3786,14,52,0.2147,14,24,0.2391,14,28,47
17,175,0.512,19,71,0.488,30,55,0.1147,3,17,0.2607,10,36,0.3026,8,45,0.322,28,28,0.224,11,28,0.046,1,7,0.14,9,16,0.541,27,68,0.048,1,7,0.1698,4,26,0.3784,18,48,0.213,12,25,0.2388,15,27,49
18,175,0.5091,18,71,0.4909,30,56,0.1147,3,17,0.2607,23,23,0.3026,6,47,0.322,16,40,0.219,6,32,0.05,2,7,0.143,15,10,0.539,19,75,0.048,6,2,0.1772,6,25,0.3777,22,44,0.214,13,24,0.2311,7,33,48
19,175,0.515,5,85,0.485,23,62,0.1147,2,18,0.2607,16,30,0.3026,5,48,0.322,7,49,0.219,4,34,0.052,0,9,0.143,12,13,0.54,14,80,0.046,0,8,0.1805,3,29,0.3727,14,51,0.215,7,31,0.2317,6,35,28
20,100,0.5157,14,38,0.4843,27,21,0.1147,2,9,0.2607,11,15,0.3026,19,11,0.322,10,22,0.219,11,11,0.051,0,5,0.147,12,3,0.54,17,37,0.043,2,2,0.1717,1,16,0.3772,20,18,0.213,12,9,0.2381,9,15,41
21,100,0.5148,13,38,0.4852,19,30,0.1147,4,7,0.2607,16,10,0.3026,9,21,0.322,8,24,0.215,7,14,0.052,0,5,0.148,11,4,0.546,16,39,0.041,3,1,0.1722,0,17,0.3767,24,14,0.2125,7,14,0.2385,6,18,32
22,100,0.5159,4,48,0.4841,7,41,0.1147,1,10,0.2607,0,26,0.3026,6,24,0.322,4,28,0.213,2,19,0.054,0,5,0.147,2,13,0.546,7,48,0.04,0,4,0.1737,0,17,0.3732,4,33,0.21,3,18,0.2431,4,20,11
23,75,0.5106,3,35,0.4894,9,28,0.1147,0,9,0.2607,1,19,0.3026,7,16,0.322,4,20,0.209,4,12,0.056,1,3,0.148,0,11,0.548,6,35,0.039,1,2,0.1707,0,13,0.3735,5,23,0.2104,0,16,0.2454,7,11,12
24,75,0.5095,4,34,0.4905,3,34,0.1147,0,9,0.2607,2,18,0.3026,3,20,0.322,2,22,0.205,2,13,0.057,0,4,0.144,1,10,0.554,4,38,0.039,0,3,0.1724,0,13,0.3684,4,24,0.2143,0,16,0.2448,3,15,7
2540,75,0.503,27,11,0.497,51,0,0.109,3,5,0.238,17,1,0.309,24,0,0.344,36,0,0.206,24,0,0.067,0,5,0.13,7,3,0.565,49,0,0.032,0,2,0.1712,11,2,0.377,45,0,0.2019,11,4,0.2499,13,6,63
4150,75,0.495,15,22,0.505,46,0,0.1203,0,9,0.2575,14,5,0.2943,9,13,0.3279,39,0,0.174,12,1,0.062,3,2,0.124,8,1,0.615,38,8,0.025,1,1,0.1798,2,11,0.379,24,4,0.2066,26,0,0.2346,9,9,48
5160,75,0.487,18,19,0.513,26,12,0.1183,1,8,0.2937,12,10,0.3009,9,14,0.287,23,0,0.119,11,0,0.048,1,3,0.117,5,4,0.695,28,24,0.022,0,2,0.1863,7,7,0.3704,7,21,0.2191,8,8,0.2242,23,0,39
6170,75,0.4741,7,29,0.5259,26,13,0.1197,1,8,0.2819,9,12,0.2931,6,16,0.3053,18,5,0.089,4,3,0.045,0,3,0.101,4,4,0.747,26,30,0.018,0,1,0.1821,0,14,0.3756,13,15,0.2164,10,6,0.2258,10,7,33
7180,50,0.4503,10,13,0.5497,8,19,0.1779,1,8,0.3311,4,13,0.243,6,6,0.248,9,3,0.079,0,4,0.042,0,2,0.088,1,3,0.777,19,20,0.014,0,1,0.182,3,6,0.3851,1,18,0.2143,7,4,0.2187,9,2,18
8190,50,0.3908,2,18,0.6092,4,26,0.236,0,12,0.3643,3,15,0.1952,4,6,0.2044,0,10,0.07,0,4,0.037,0,2,0.074,0,4,0.807,7,33,0.011,0,1,0.2064,1,9,0.3486,1,16,0.2311,0,12,0.2139,5,6,6
